name,bbox,score,order_pre,order_final
coco_obj_1_COCO_train2014_000000363243.jpg,"[42, 0, 468, 427]",3,1,2
coco_obj_1_COCO_train2014_000000363243.jpg,"[126, 0, 382, 256]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[168, 0, 509, 341]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[0, 0, 341, 341]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[230, 16, 614, 400]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[158, 35, 542, 419]",1,2,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[0, 0, 569, 427]",4,2,1
coco_obj_1_COCO_train2014_000000363243.jpg,"[84, 0, 425, 256]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[168, 42, 509, 298]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[224, 13, 608, 301]",1,1,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[152, 86, 536, 374]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[100, 128, 484, 416]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[84, 0, 404, 427]",2,2,3
coco_obj_1_COCO_train2014_000000363243.jpg,"[168, 0, 488, 427]",1,1,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[168, 0, 360, 256]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[0, 0, 320, 427]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[275, 7, 586, 421]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[322, 6, 633, 420]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[0, 0, 512, 288]",1,1,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[84, 0, 468, 216]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[0, 42, 384, 258]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[168, 42, 552, 258]",1,2,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[229, 152, 613, 368]",0,0,0
coco_obj_1_COCO_train2014_000000363243.jpg,"[29, 200, 413, 416]",0,0,0
ava_obj_0_662622.jpg,"[160, 0, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[144, 192, 432, 480]",0,0,0
ava_obj_0_662622.jpg,"[240, 192, 528, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 96, 432, 480]",3,1,2
ava_obj_0_662622.jpg,"[144, 0, 528, 384]",0,0,0
ava_obj_0_662622.jpg,"[31, 8, 415, 392]",1,2,0
ava_obj_0_662622.jpg,"[128, 96, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[256, 192, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[240, 0, 624, 288]",0,0,0
ava_obj_0_662622.jpg,"[48, 192, 432, 480]",2,1,3
ava_obj_0_662622.jpg,"[192, 144, 576, 432]",0,0,0
ava_obj_0_662622.jpg,"[73, 6, 585, 390]",1,2,0
ava_obj_0_662622.jpg,"[240, 0, 600, 480]",0,0,0
ava_obj_0_662622.jpg,"[96, 0, 456, 480]",1,2,0
ava_obj_0_662622.jpg,"[336, 0, 624, 384]",0,0,0
ava_obj_0_662622.jpg,"[0, 0, 360, 480]",0,0,0
ava_obj_0_662622.jpg,"[176, 6, 521, 466]",0,0,0
ava_obj_0_662622.jpg,"[57, 6, 402, 466]",1,1,0
ava_obj_0_662622.jpg,"[48, 192, 560, 480]",4,1,1
ava_obj_0_662622.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_0_662622.jpg,"[192, 264, 576, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 264, 432, 480]",1,2,0
ava_obj_0_662622.jpg,"[240, 0, 624, 216]",0,0,0
ava_obj_0_662622.jpg,"[128, 221, 512, 437]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[510, 204, 820, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[408, 104, 822, 518]",1,2,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[561, 102, 975, 516]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[408, 204, 718, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[287, 10, 784, 507]",1,1,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[58, 9, 555, 506]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[408, 102, 960, 516]",1,2,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[408, 204, 822, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[561, 204, 975, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[306, 208, 720, 518]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[204, 0, 894, 518]",4,1,1
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[28, 36, 642, 496]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[510, 102, 820, 516]",1,2,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[612, 102, 922, 516]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[408, 0, 796, 518]",1,1,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[510, 204, 743, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[306, 0, 694, 518]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[149, 23, 511, 505]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[288, 102, 1024, 516]",2,2,3
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[51, 0, 971, 518]",3,1,2
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[357, 204, 909, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[102, 204, 654, 514]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[472, 153, 1024, 463]",0,0,0
k40k_obj_0_farm8_7392_26939388864_fb1a87003b_b.jpg,"[323, 1, 937, 346]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[240, 48, 624, 432]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[48, 0, 432, 384]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[240, 96, 528, 384]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[22, 92, 406, 476]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[126, 48, 510, 432]",3,1,2
coco_obj_2_COCO_train2014_000000515590.jpg,"[199, 94, 583, 478]",1,2,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[240, 96, 624, 384]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[48, 96, 432, 384]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[0, 0, 512, 384]",1,2,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[80, 58, 592, 442]",2,1,3
coco_obj_2_COCO_train2014_000000515590.jpg,"[189, 153, 573, 441]",0,0,0
coco_obj_2_COCO_train2014_000000515590.jpg,"[95, 2, 479, 290]",0,0,0
