name,bbox,score,order_pre,order_final
ava_obj_1_357020.jpg,"[126, 84, 467, 425]",0,0,0
ava_obj_1_357020.jpg,"[126, 171, 382, 427]",0,0,0
ava_obj_1_357020.jpg,"[168, 0, 594, 427]",1,1,0
ava_obj_1_357020.jpg,"[168, 126, 424, 382]",0,0,0
ava_obj_1_357020.jpg,"[10, 1, 394, 385]",0,0,0
ava_obj_1_357020.jpg,"[99, 3, 483, 387]",2,2,3
ava_obj_1_357020.jpg,"[42, 86, 497, 427]",3,2,2
ava_obj_1_357020.jpg,"[126, 0, 581, 341]",1,1,0
ava_obj_1_357020.jpg,"[126, 126, 467, 382]",0,0,0
ava_obj_1_357020.jpg,"[84, 168, 425, 424]",1,3,0
ava_obj_1_357020.jpg,"[26, 51, 410, 339]",0,0,0
ava_obj_1_357020.jpg,"[215, 135, 599, 423]",0,0,0
ava_obj_1_357020.jpg,"[168, 0, 488, 427]",1,1,0
ava_obj_1_357020.jpg,"[168, 171, 360, 427]",1,2,0
ava_obj_1_357020.jpg,"[126, 84, 382, 425]",1,3,0
ava_obj_1_357020.jpg,"[252, 0, 572, 427]",0,0,0
ava_obj_1_357020.jpg,"[5, 12, 316, 426]",0,0,0
ava_obj_1_357020.jpg,"[71, 1, 382, 415]",0,0,0
ava_obj_1_357020.jpg,"[0, 67, 640, 427]",4,1,1
ava_obj_1_357020.jpg,"[84, 42, 596, 330]",0,0,0
ava_obj_1_357020.jpg,"[126, 126, 510, 342]",1,2,0
ava_obj_1_357020.jpg,"[98, 42, 482, 258]",0,0,0
ava_obj_1_357020.jpg,"[34, 117, 418, 333]",0,0,0
ava_obj_1_357020.jpg,"[210, 114, 594, 330]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[126, 0, 554, 428]",4,1,1
coco_obj_1_COCO_train2014_000000468966.jpg,"[294, 0, 636, 342]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[210, 0, 466, 256]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[84, 42, 426, 384]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[244, 41, 628, 425]",1,2,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[0, 34, 384, 418]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[70, 0, 640, 428]",2,1,3
coco_obj_1_COCO_train2014_000000468966.jpg,"[0, 0, 456, 342]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[210, 0, 552, 256]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[243, 108, 627, 396]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[169, 76, 553, 364]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[232, 31, 616, 319]",1,2,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[168, 0, 489, 428]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[252, 0, 573, 428]",1,1,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[252, 0, 444, 256]",1,2,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[84, 0, 405, 428]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[448, 0, 640, 256]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[1, 3, 312, 417]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[0, 0, 640, 360]",3,1,2
coco_obj_1_COCO_train2014_000000468966.jpg,"[126, 42, 510, 258]",1,2,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[256, 0, 640, 216]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[126, 84, 638, 372]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[57, 174, 441, 390]",0,0,0
coco_obj_1_COCO_train2014_000000468966.jpg,"[84, 123, 468, 339]",0,0,0
ava_obj_3_5600.jpg,"[0, 96, 480, 576]",3,1,2
ava_obj_3_5600.jpg,"[0, 256, 384, 640]",1,2,0
ava_obj_3_5600.jpg,"[0, 0, 384, 384]",0,0,0
ava_obj_3_5600.jpg,"[48, 352, 336, 640]",0,0,0
ava_obj_3_5600.jpg,"[131, 89, 467, 425]",0,0,0
ava_obj_3_5600.jpg,"[111, 279, 447, 615]",0,0,0
ava_obj_3_5600.jpg,"[0, 96, 480, 456]",1,1,0
ava_obj_3_5600.jpg,"[0, 192, 480, 552]",1,2,0
ava_obj_3_5600.jpg,"[0, 0, 480, 360]",0,0,0
ava_obj_3_5600.jpg,"[48, 425, 336, 640]",0,0,0
ava_obj_3_5600.jpg,"[0, 352, 384, 640]",0,0,0
ava_obj_3_5600.jpg,"[162, 175, 450, 391]",0,0,0
ava_obj_3_5600.jpg,"[0, 0, 480, 640]",4,1,1
ava_obj_3_5600.jpg,"[48, 256, 336, 640]",1,2,0
ava_obj_3_5600.jpg,"[48, 144, 336, 528]",0,0,0
ava_obj_3_5600.jpg,"[96, 96, 384, 480]",2,3,3
ava_obj_3_5600.jpg,"[0, 96, 288, 480]",0,0,0
ava_obj_3_5600.jpg,"[53, 28, 341, 412]",0,0,0
ava_obj_3_5600.jpg,"[48, 478, 336, 640]",0,0,0
ava_obj_3_5600.jpg,"[0, 96, 480, 366]",0,0,0
ava_obj_3_5600.jpg,"[0, 424, 384, 640]",1,1,0
ava_obj_3_5600.jpg,"[0, 288, 480, 558]",0,0,0
ava_obj_3_5600.jpg,"[0, 0, 480, 270]",1,2,0
ava_obj_3_5600.jpg,"[81, 94, 369, 256]",0,0,0
places_obj_3_kasbah_00001933.jpg,"[255, 0, 767, 512]",1,1,0
places_obj_3_kasbah_00001933.jpg,"[51, 0, 563, 512]",0,0,0
places_obj_3_kasbah_00001933.jpg,"[462, 153, 769, 460]",3,2,2
places_obj_3_kasbah_00001933.jpg,"[0, 51, 409, 460]",0,0,0
places_obj_3_kasbah_00001933.jpg,"[177, 6, 638, 467]",0,0,0
places_obj_3_kasbah_00001933.jpg,"[129, 39, 590, 500]",0,0,0
