name,bbox,score,order_pre,order_final
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 480, 384]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 0, 480, 288]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 240, 480, 528]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[144, 48, 432, 336]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[69, 203, 405, 539]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[82, 326, 370, 614]",4,1,1
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 48, 480, 408]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 288, 480, 503]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 240, 480, 528]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 480, 288]",1,1,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 48, 480, 263]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[94, 303, 382, 519]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 0, 480, 384]",2,2,3
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 0, 480, 640]",3,1,2
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 240, 480, 624]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[143, 170, 431, 554]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[28, 184, 316, 568]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 48, 480, 318]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 288, 480, 450]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 240, 480, 510]",1,1,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[120, 88, 408, 250]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[184, 140, 472, 302]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[47, 2, 431, 218]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 509, 383]",1,1,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 0, 426, 427]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[336, 0, 592, 256]",2,2,3
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 0, 593, 341]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 42, 508, 298]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[244, 42, 628, 426]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[42, 42, 497, 383]",1,1,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 623, 383]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[294, 0, 635, 256]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 126, 509, 382]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 509, 298]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 17, 384, 305]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 42, 508, 383]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 0, 488, 427]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[210, 126, 402, 382]",4,2,1
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 42, 192, 298]",3,1,2
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 0, 256, 341]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[76, 10, 387, 424]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 42, 640, 402]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 0, 636, 216]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[126, 168, 510, 384]",1,1,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 84, 384, 300]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[126, 0, 638, 288]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[228, 84, 612, 300]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 320, 320]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[80, 0, 480, 400]",1,2,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[40, 40, 280, 280]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[161, 43, 461, 343]",1,1,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[65, 55, 365, 355]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[119, 96, 419, 396]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 500, 375]",2,2,3
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 80, 300, 305]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[160, 40, 460, 265]",3,1,2
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 300, 225]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[65, 29, 365, 254]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[164, 163, 464, 388]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 240, 320]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[80, 0, 320, 320]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 180, 240]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[160, 0, 460, 400]",1,1,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[260, 0, 500, 320]",4,2,1
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[116, 38, 386, 398]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 40, 500, 321]",1,6,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 400, 225]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 40, 300, 208]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[160, 40, 460, 208]",1,5,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[40, 120, 340, 288]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[21, 2, 321, 170]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[74, 0, 449, 375]",1,4,0
