name,bbox,score,order_pre,order_final
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[302, 33, 500, 231]",1,2,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[236, 0, 500, 264]",1,2,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 66, 198, 264]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 33, 264, 297]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[264, 0, 462, 198]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[106, 22, 406, 322]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[236, 0, 500, 198]",3,1,2
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[147, 0, 500, 264]",1,2,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[236, 66, 500, 264]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 33, 264, 231]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 99, 264, 297]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[47, 32, 397, 294]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[297, 0, 495, 264]",1,2,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[330, 33, 478, 231]",1,1,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[352, 0, 500, 198]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 66, 148, 264]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 33, 198, 297]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[212, 0, 455, 324]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 0, 500, 281]",4,1,1
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[200, 33, 500, 201]",2,2,3
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[100, 66, 500, 291]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[0, 66, 300, 234]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[99, 147, 399, 315]",0,0,0
k40k_obj_2_farm8_7125_7479224908_a4736a573a.jpg,"[63, 43, 363, 211]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 384, 576]",1,2,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 288, 480]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 0, 480, 480]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 288, 288, 576]",1,1,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[57, 2, 393, 338]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[97, 287, 433, 623]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 288, 407]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 384, 480]",1,2,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 288, 384, 576]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 288, 288, 503]",2,1,3
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 96, 480, 456]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[109, 204, 397, 420]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 128, 384, 640]",4,2,1
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 288, 576]",3,1,2
coco_obj_0_COCO_train2014_000000293328.jpg,"[48, 0, 432, 512]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[55, 162, 343, 546]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[32, 59, 320, 443]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[188, 55, 476, 439]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 480, 462]",1,1,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 240, 288, 402]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 288, 384, 504]",1,2,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 192, 288, 354]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[0, 144, 384, 360]",0,0,0
coco_obj_0_COCO_train2014_000000293328.jpg,"[94, 28, 430, 217]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[99, 0, 432, 333]",1,1,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[99, 33, 298, 232]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[264, 0, 463, 199]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[16, 26, 316, 326]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[193, 2, 493, 302]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[73, 1, 373, 301]",1,2,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[56, 0, 500, 333]",4,2,1
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[33, 0, 388, 266]",1,1,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[132, 33, 398, 232]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[33, 33, 299, 232]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[110, 64, 410, 289]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[188, 48, 488, 273]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[132, 33, 281, 232]",0,0,0
k40k_obj_2_farm2_1082_4730584809_ff8390b134.jpg,"[132, 0, 381, 333]",2,1,3
