name,bbox,score,order_pre,order_final
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[150, 276, 375, 500]",1,1,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 276, 299, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 200, 374, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[0, 276, 225, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[111, 222, 336, 446]",1,2,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[110, 147, 372, 409]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[150, 332, 375, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 332, 299, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[75, 275, 375, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[0, 332, 225, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[42, 238, 342, 463]",1,2,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[147, 103, 372, 271]",1,1,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[150, 200, 375, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 185, 299, 485]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 100, 374, 500]",4,1,1
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[0, 185, 225, 485]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[111, 148, 336, 448]",3,2,2
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[18, 5, 318, 405]",2,0,3
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[75, 332, 375, 500]",1,2,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[148, 374, 373, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[74, 374, 299, 500]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[148, 333, 373, 459]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[0, 370, 225, 496]",0,0,0
k40k_obj_1_farm4_3306_3657653928_3d46899f38.jpg,"[113, 215, 338, 341]",1,1,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 0, 358, 358]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 0, 478, 478]",2,2,3
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 177, 358, 535]",1,1,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[177, 240, 535, 598]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[234, 142, 618, 526]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[96, 78, 608, 590]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 59, 384, 347]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 0, 512, 384]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 118, 640, 598]",3,1,2
coco_obj_1_COCO_train2014_000000467778.jpg,"[18, 236, 402, 524]",1,2,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[128, 238, 512, 526]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[149, 177, 533, 465]",0,0,0
coco_obj_1_COCO_train2014_000000467778.jpg,"[0, 0, 448, 598]",4,1,1
