name,bbox,score,order_pre,order_final
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 375, 375]",4,2,1
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 225, 336]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 37, 225, 262]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[178, 53, 478, 353]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[89, 49, 389, 349]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[128, 4, 428, 304]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 75, 400, 375]",3,2,2
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 300, 336]",2,1,3
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[74, 148, 374, 373]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 300, 225]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[100, 74, 500, 374]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[87, 32, 437, 294]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 225, 300]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[37, 75, 262, 375]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 168, 225]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[37, 37, 205, 262]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 168, 336]",1,2,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[125, 5, 395, 365]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 148, 400, 373]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 37, 500, 318]",1,2,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 300, 279]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 185, 300, 353]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[100, 178, 400, 346]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[193, 184, 493, 352]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[51, 0, 563, 512]",3,2,2
places_obj_2_music_studio_00000395.jpg,"[204, 0, 613, 409]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[204, 0, 511, 307]",1,1,0
places_obj_2_music_studio_00000395.jpg,"[102, 0, 409, 307]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[0, 0, 409, 409]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[232, 93, 641, 502]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[1, 0, 683, 512]",4,2,1
places_obj_2_music_studio_00000395.jpg,"[102, 0, 511, 307]",1,1,0
places_obj_2_music_studio_00000395.jpg,"[153, 51, 562, 358]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[4, 126, 482, 484]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[251, 119, 660, 425]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[23, 57, 432, 363]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[102, 0, 486, 512]",1,1,0
places_obj_2_music_studio_00000395.jpg,"[204, 0, 588, 512]",1,2,0
places_obj_2_music_studio_00000395.jpg,"[0, 0, 384, 512]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[306, 0, 613, 409]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[102, 0, 332, 307]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[297, 19, 665, 509]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[0, 0, 683, 384]",2,1,3
places_obj_2_music_studio_00000395.jpg,"[153, 51, 562, 281]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[102, 0, 511, 230]",1,2,0
places_obj_2_music_studio_00000395.jpg,"[0, 102, 683, 486]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[127, 119, 605, 387]",0,0,0
places_obj_2_music_studio_00000395.jpg,"[264, 150, 673, 380]",0,0,0
places_obj_0_swamp_00001810.jpg,"[204, 0, 716, 512]",0,0,0
places_obj_0_swamp_00001810.jpg,"[255, 0, 562, 307]",0,0,0
places_obj_0_swamp_00001810.jpg,"[357, 0, 664, 307]",0,0,0
places_obj_0_swamp_00001810.jpg,"[153, 0, 562, 409]",1,2,0
places_obj_0_swamp_00001810.jpg,"[357, 0, 766, 409]",0,0,0
places_obj_0_swamp_00001810.jpg,"[36, 18, 497, 479]",1,1,0
places_obj_0_swamp_00001810.jpg,"[87, 0, 769, 512]",1,1,0
places_obj_0_swamp_00001810.jpg,"[255, 0, 664, 307]",0,0,0
places_obj_0_swamp_00001810.jpg,"[51, 0, 597, 409]",2,2,3
places_obj_0_swamp_00001810.jpg,"[51, 0, 460, 307]",0,0,0
places_obj_0_swamp_00001810.jpg,"[281, 30, 742, 375]",0,0,0
places_obj_0_swamp_00001810.jpg,"[207, 114, 668, 459]",0,0,0
places_obj_0_swamp_00001810.jpg,"[306, 0, 536, 307]",0,0,0
places_obj_0_swamp_00001810.jpg,"[306, 0, 690, 512]",0,0,0
places_obj_0_swamp_00001810.jpg,"[0, 0, 307, 409]",4,2,1
places_obj_0_swamp_00001810.jpg,"[204, 0, 588, 512]",0,0,0
places_obj_0_swamp_00001810.jpg,"[52, 12, 425, 509]",3,1,2
places_obj_0_swamp_00001810.jpg,"[133, 2, 506, 499]",0,0,0
places_obj_0_swamp_00001810.jpg,"[255, 0, 716, 259]",0,0,0
places_obj_0_swamp_00001810.jpg,"[102, 0, 717, 346]",0,0,0
places_obj_0_swamp_00001810.jpg,"[0, 51, 769, 483]",1,1,0
places_obj_0_swamp_00001810.jpg,"[102, 0, 563, 259]",0,0,0
places_obj_0_swamp_00001810.jpg,"[154, 166, 769, 512]",0,0,0
places_obj_0_swamp_00001810.jpg,"[193, 193, 654, 452]",1,2,0
places_obj_0_restaurant_patio_00002496.jpg,"[255, 102, 664, 511]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[204, 205, 511, 512]",1,2,0
places_obj_0_restaurant_patio_00002496.jpg,"[255, 153, 562, 460]",1,1,0
places_obj_0_restaurant_patio_00002496.jpg,"[0, 0, 512, 512]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[306, 102, 613, 409]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[298, 20, 758, 480]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[255, 205, 664, 512]",3,2,2
places_obj_0_restaurant_patio_00002496.jpg,"[86, 0, 768, 512]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[0, 102, 546, 511]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[255, 102, 664, 409]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[153, 153, 562, 460]",1,1,0
places_obj_0_restaurant_patio_00002496.jpg,"[112, 34, 572, 379]",0,0,0
places_obj_0_restaurant_patio_00002496.jpg,"[306, 0, 690, 512]",0,0,0
