name,bbox,score,order_pre,order_final
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 0, 510, 426]",1,3,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[168, 84, 423, 339]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[126, 126, 381, 381]",3,1,2
coco_obj_3_COCO_train2014_000000535899.jpg,"[210, 10, 594, 394]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[4, 17, 388, 401]",1,2,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[160, 33, 544, 417]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 84, 538, 424]",4,3,1
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 126, 424, 381]",1,1,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[168, 84, 508, 339]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[168, 0, 622, 340]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[206, 105, 590, 393]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[8, 27, 456, 363]",1,2,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 0, 403, 426]",1,1,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[168, 42, 423, 382]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[252, 0, 571, 426]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[210, 0, 465, 340]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 126, 275, 381]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[10, 2, 321, 416]",1,2,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 84, 596, 372]",1,2,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[0, 126, 512, 414]",2,1,3
coco_obj_3_COCO_train2014_000000535899.jpg,"[84, 126, 468, 342]",1,3,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[242, 177, 626, 393]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[31, 30, 479, 282]",0,0,0
coco_obj_3_COCO_train2014_000000535899.jpg,"[210, 123, 594, 339]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[264, 132, 463, 331]",2,2,3
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[234, 67, 500, 333]",1,4,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[132, 134, 331, 333]",1,3,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[132, 67, 398, 333]",1,5,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[198, 134, 397, 333]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[157, 3, 457, 303]",1,1,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[234, 132, 500, 331]",3,1,2
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[99, 134, 365, 333]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[132, 67, 487, 333]",1,3,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[33, 67, 388, 333]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[132, 99, 398, 298]",1,2,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[150, 39, 450, 264]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[264, 67, 463, 333]",1,1,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[231, 132, 380, 331]",1,2,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[351, 132, 500, 331]",1,3,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[132, 66, 331, 332]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[37, 1, 280, 325]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[163, 4, 406, 328]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[99, 165, 399, 333]",1,2,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[100, 108, 500, 333]",4,1,1
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[200, 132, 500, 300]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[66, 132, 366, 300]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[77, 50, 477, 275]",0,0,0
k40k_obj_3_farm8_7099_7039248397_70a2186202.jpg,"[178, 98, 478, 266]",0,0,0
places_obj_2_ruin_00003213.jpg,"[255, 102, 664, 511]",1,3,0
places_obj_2_ruin_00003213.jpg,"[51, 0, 563, 512]",0,0,0
places_obj_2_ruin_00003213.jpg,"[0, 103, 409, 512]",1,1,0
places_obj_2_ruin_00003213.jpg,"[0, 102, 307, 409]",1,2,0
places_obj_2_ruin_00003213.jpg,"[12, 0, 421, 409]",0,0,0
places_obj_2_ruin_00003213.jpg,"[176, 15, 585, 424]",1,4,0
places_obj_2_ruin_00003213.jpg,"[0, 0, 682, 512]",4,3,1
places_obj_2_ruin_00003213.jpg,"[255, 153, 664, 460]",1,2,0
places_obj_2_ruin_00003213.jpg,"[51, 102, 460, 409]",2,1,3
places_obj_2_ruin_00003213.jpg,"[245, 11, 654, 317]",0,0,0
places_obj_2_ruin_00003213.jpg,"[138, 71, 547, 377]",0,0,0
places_obj_2_ruin_00003213.jpg,"[105, 5, 514, 311]",0,0,0
places_obj_2_ruin_00003213.jpg,"[255, 0, 639, 512]",1,2,0
places_obj_2_ruin_00003213.jpg,"[51, 0, 435, 512]",1,3,0
places_obj_2_ruin_00003213.jpg,"[153, 0, 537, 512]",0,0,0
places_obj_2_ruin_00003213.jpg,"[51, 102, 281, 409]",1,1,0
places_obj_2_ruin_00003213.jpg,"[0, 51, 307, 460]",0,0,0
places_obj_2_ruin_00003213.jpg,"[112, 11, 480, 501]",0,0,0
places_obj_2_ruin_00003213.jpg,"[0, 102, 683, 486]",1,2,0
places_obj_2_ruin_00003213.jpg,"[0, 0, 683, 384]",3,3,2
places_obj_2_ruin_00003213.jpg,"[137, 204, 683, 511]",0,0,0
places_obj_2_ruin_00003213.jpg,"[72, 191, 481, 421]",0,0,0
places_obj_2_ruin_00003213.jpg,"[28, 114, 437, 344]",1,1,0
places_obj_2_ruin_00003213.jpg,"[177, 75, 655, 343]",0,0,0
ava_obj_1_919168.jpg,"[0, 182, 568, 750]",4,4,1
ava_obj_1_919168.jpg,"[0, 0, 710, 710]",1,2,0
ava_obj_1_919168.jpg,"[71, 142, 497, 567]",1,3,0
ava_obj_1_919168.jpg,"[282, 1, 708, 427]",0,0,0
ava_obj_1_919168.jpg,"[179, 61, 676, 558]",0,0,0
ava_obj_1_919168.jpg,"[9, 86, 435, 512]",1,1,0
ava_obj_1_919168.jpg,"[0, 142, 568, 568]",1,3,0
ava_obj_1_919168.jpg,"[0, 218, 710, 750]",0,0,0
ava_obj_1_919168.jpg,"[142, 142, 568, 461]",1,2,0
ava_obj_1_919168.jpg,"[71, 213, 497, 532]",1,1,0
ava_obj_1_919168.jpg,"[237, 46, 663, 365]",0,0,0
ava_obj_1_919168.jpg,"[142, 270, 639, 642]",0,0,0
ava_obj_1_919168.jpg,"[71, 0, 633, 750]",1,2,0
ava_obj_1_919168.jpg,"[0, 150, 450, 750]",3,4,2
ava_obj_1_919168.jpg,"[71, 142, 408, 592]",1,1,0
ava_obj_1_919168.jpg,"[188, 63, 614, 631]",0,0,0
ava_obj_1_919168.jpg,"[241, 149, 667, 717]",0,0,0
ava_obj_1_919168.jpg,"[105, 136, 531, 704]",2,3,3
ava_obj_1_919168.jpg,"[0, 213, 710, 612]",1,3,0
ava_obj_1_919168.jpg,"[0, 142, 568, 461]",1,2,0
ava_obj_1_919168.jpg,"[71, 213, 497, 452]",1,1,0
ava_obj_1_919168.jpg,"[84, 291, 581, 570]",0,0,0
ava_obj_1_919168.jpg,"[12, 57, 508, 336]",0,0,0
ava_obj_1_919168.jpg,"[280, 199, 706, 438]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[99, 0, 433, 334]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[33, 67, 300, 334]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[33, 0, 300, 267]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[189, 10, 489, 310]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[54, 13, 354, 313]",1,2,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[5, 13, 305, 313]",1,1,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[33, 66, 389, 333]",2,2,3
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[132, 66, 488, 333]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[99, 0, 455, 267]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[99, 134, 366, 334]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[231, 66, 498, 266]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[11, 11, 361, 273]",3,1,2
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[0, 0, 250, 334]",1,1,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[99, 0, 349, 334]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[165, 0, 415, 334]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[66, 33, 266, 300]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[241, 7, 484, 331]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[47, 7, 290, 331]",1,2,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[0, 53, 500, 334]",4,2,1
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[99, 33, 499, 258]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[198, 66, 498, 234]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[13, 85, 313, 253]",0,0,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[25, 3, 375, 199]",1,1,0
k40k_obj_0_farm1_134_371496590_37f72e51a6.jpg,"[142, 135, 442, 303]",0,0,0
ava_obj_1_742818.jpg,"[0, 42, 424, 466]",2,1,3
ava_obj_1_742818.jpg,"[0, 0, 339, 339]",1,2,0
ava_obj_1_742818.jpg,"[0, 294, 424, 718]",0,0,0
ava_obj_1_742818.jpg,"[84, 42, 338, 296]",0,0,0
ava_obj_1_742818.jpg,"[28, 164, 367, 503]",0,0,0
