name,bbox,score,order_pre,order_final
ava_obj_3_791804.jpg,"[0, 225, 455, 680]",0,0,0
ava_obj_3_791804.jpg,"[0, 180, 364, 544]",0,0,0
ava_obj_3_791804.jpg,"[0, 45, 455, 500]",0,0,0
ava_obj_3_791804.jpg,"[129, 332, 447, 650]",1,1,0
ava_obj_3_791804.jpg,"[113, 223, 431, 541]",4,2,1
ava_obj_3_791804.jpg,"[30, 130, 348, 448]",0,0,0
ava_obj_3_791804.jpg,"[0, 225, 455, 566]",1,2,0
ava_obj_3_791804.jpg,"[0, 315, 455, 656]",1,1,0
ava_obj_3_791804.jpg,"[0, 135, 455, 476]",0,0,0
ava_obj_3_791804.jpg,"[0, 0, 455, 341]",0,0,0
ava_obj_3_791804.jpg,"[17, 31, 335, 269]",0,0,0
ava_obj_3_791804.jpg,"[1, 424, 365, 697]",0,0,0
ava_obj_3_791804.jpg,"[0, 114, 455, 720]",0,0,0
ava_obj_3_791804.jpg,"[90, 225, 363, 589]",0,0,0
ava_obj_3_791804.jpg,"[91, 90, 455, 575]",2,2,3
ava_obj_3_791804.jpg,"[138, 94, 411, 458]",0,0,0
ava_obj_3_791804.jpg,"[127, 296, 400, 660]",3,1,2
ava_obj_3_791804.jpg,"[95, 20, 368, 384]",0,0,0
ava_obj_3_791804.jpg,"[0, 270, 455, 525]",1,1,0
ava_obj_3_791804.jpg,"[182, 135, 455, 288]",0,0,0
ava_obj_3_791804.jpg,"[182, 540, 455, 693]",0,0,0
ava_obj_3_791804.jpg,"[45, 225, 409, 429]",1,2,0
ava_obj_3_791804.jpg,"[0, 45, 455, 300]",0,0,0
ava_obj_3_791804.jpg,"[120, 157, 393, 310]",0,0,0
ava_obj_0_883097.jpg,"[106, 0, 638, 532]",0,0,0
ava_obj_0_883097.jpg,"[106, 0, 425, 319]",0,0,0
ava_obj_0_883097.jpg,"[265, 212, 584, 531]",0,0,0
ava_obj_0_883097.jpg,"[265, 0, 690, 425]",0,0,0
ava_obj_0_883097.jpg,"[0, 159, 319, 478]",1,1,0
ava_obj_0_883097.jpg,"[14, 26, 494, 506]",1,2,0
ava_obj_0_883097.jpg,"[0, 0, 709, 532]",2,1,3
ava_obj_0_883097.jpg,"[212, 212, 637, 531]",0,0,0
ava_obj_0_883097.jpg,"[106, 0, 531, 319]",0,0,0
ava_obj_0_883097.jpg,"[233, 0, 800, 425]",1,2,0
ava_obj_0_883097.jpg,"[197, 113, 677, 473]",0,0,0
ava_obj_0_883097.jpg,"[64, 83, 544, 443]",0,0,0
ava_obj_0_883097.jpg,"[265, 0, 664, 532]",1,1,0
ava_obj_0_883097.jpg,"[106, 0, 345, 319]",0,0,0
ava_obj_0_883097.jpg,"[0, 159, 239, 478]",0,0,0
ava_obj_0_883097.jpg,"[53, 53, 292, 372]",0,0,0
ava_obj_0_883097.jpg,"[0, 53, 319, 478]",0,0,0
ava_obj_0_883097.jpg,"[98, 1, 486, 518]",1,2,0
ava_obj_0_883097.jpg,"[0, 0, 640, 360]",3,1,2
ava_obj_0_883097.jpg,"[159, 212, 639, 482]",0,0,0
ava_obj_0_883097.jpg,"[159, 0, 639, 270]",0,0,0
ava_obj_0_883097.jpg,"[0, 0, 480, 270]",0,0,0
ava_obj_0_883097.jpg,"[212, 262, 692, 532]",0,0,0
ava_obj_0_883097.jpg,"[15, 151, 655, 511]",4,2,1
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[235, 66, 500, 331]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[231, 0, 496, 265]",1,1,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 67, 265, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[264, 0, 463, 199]",3,2,2
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 0, 265, 265]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[40, 22, 340, 322]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[58, 0, 500, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[33, 67, 387, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 0, 354, 265]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[33, 0, 298, 199]",1,2,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[198, 0, 463, 199]",1,1,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[120, 24, 420, 249]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[251, 0, 500, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 67, 199, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[330, 0, 479, 199]",1,1,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 0, 199, 265]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[146, 3, 389, 327]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[20, 1, 263, 325]",1,2,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 51, 500, 332]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[0, 33, 300, 201]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[66, 0, 466, 225]",2,3,3
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[99, 0, 399, 168]",4,2,1
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[135, 127, 485, 323]",0,0,0
k40k_obj_0_farm3_2230_2101448475_84fb7cf6e6.jpg,"[116, 68, 466, 264]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[334, 0, 815, 481]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[480, 48, 768, 336]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[288, 0, 672, 384]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[0, 0, 481, 481]",2,1,3
places_obj_1_boat_deck_00003693.jpg,"[144, 0, 625, 481]",1,2,0
places_obj_1_boat_deck_00003693.jpg,"[259, 36, 699, 476]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[288, 48, 801, 432]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[48, 0, 689, 481]",4,4,1
places_obj_1_boat_deck_00003693.jpg,"[431, 48, 815, 336]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[0, 48, 513, 432]",1,1,0
places_obj_1_boat_deck_00003693.jpg,"[223, 114, 712, 480]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[105, 88, 594, 454]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[432, 0, 792, 481]",1,2,0
places_obj_1_boat_deck_00003693.jpg,"[527, 48, 815, 432]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[336, 0, 696, 481]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[0, 0, 360, 481]",1,1,0
places_obj_1_boat_deck_00003693.jpg,"[480, 48, 696, 336]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[203, 4, 559, 478]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[0, 0, 815, 458]",3,2,2
places_obj_1_boat_deck_00003693.jpg,"[288, 96, 777, 371]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[306, 161, 795, 436]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[297, 12, 786, 287]",0,0,0
places_obj_1_boat_deck_00003693.jpg,"[103, 130, 673, 450]",1,1,0
places_obj_1_boat_deck_00003693.jpg,"[107, 3, 596, 278]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[200, 37, 500, 337]",1,2,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[275, 111, 500, 336]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[111, 0, 411, 300]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[222, 74, 447, 299]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[14, 24, 364, 374]",3,1,2
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[146, 67, 446, 367]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[200, 74, 500, 299]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[100, 37, 500, 337]",1,2,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[148, 111, 448, 336]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[74, 74, 374, 299]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[114, 30, 414, 255]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[7, 15, 307, 240]",4,1,1
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[275, 37, 500, 337]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[222, 0, 447, 300]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[296, 74, 464, 299]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[111, 0, 392, 375]",2,3,3
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[10, 4, 280, 364]",1,2,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[205, 14, 475, 374]",1,3,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[100, 74, 500, 299]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[185, 111, 485, 279]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[111, 74, 411, 242]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[37, 111, 437, 336]",1,1,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[149, 155, 449, 323]",0,0,0
k40k_obj_0_farm4_3378_4566090083_23fabeded0.jpg,"[53, 108, 353, 276]",1,2,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[33, 0, 368, 336]",4,1,1
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 268, 268]",3,2,2
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 201, 201]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[165, 0, 500, 336]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[33, 33, 234, 234]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[117, 3, 417, 303]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 447, 336]",1,2,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 268, 201]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[142, 66, 500, 334]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[45, 107, 345, 332]",1,1,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[94, 56, 394, 281]",1,4,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[114, 2, 464, 264]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[33, 0, 285, 336]",1,1,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 201, 268]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[33, 0, 184, 201]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[165, 0, 417, 336]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[248, 0, 500, 336]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[108, 9, 351, 333]",1,2,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 0, 500, 281]",2,2,3
coco_obj_1_COCO_train2014_000000412986.jpg,"[0, 33, 300, 201]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[33, 111, 433, 336]",1,1,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[100, 66, 500, 291]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[8, 144, 308, 312]",0,0,0
coco_obj_1_COCO_train2014_000000412986.jpg,"[119, 4, 469, 200]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 0, 332, 332]",1,1,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[33, 99, 298, 364]",4,2,1
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[33, 99, 232, 298]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[99, 99, 298, 298]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[125, 166, 324, 365]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[36, 19, 268, 251]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 99, 332, 348]",1,1,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 33, 332, 282]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 165, 332, 414]",1,2,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[33, 165, 232, 314]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[19, 71, 218, 220]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[9, 285, 274, 483]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 0, 332, 442]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[33, 99, 232, 364]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[99, 99, 298, 364]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[50, 125, 315, 478]",3,2,2
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[62, 186, 261, 451]",2,1,3
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[61, 2, 260, 267]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 99, 332, 285]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 165, 332, 351]",1,1,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[33, 198, 232, 310]",1,2,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[0, 33, 332, 219]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[52, 13, 317, 162]",0,0,0
k40k_obj_3_farm5_4133_5008788630_672cc1a1d4.jpg,"[117, 358, 316, 469]",0,0,0
k40k_obj_1_farm4_3235_2776714799_d46a393ca9.jpg,"[0, 0, 402, 402]",4,1,1
