name,bbox,score,order_pre,order_final
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[175, 0, 456, 281]",1,2,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[70, 0, 351, 281]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[140, 35, 351, 246]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[105, 70, 316, 281]",3,1,2
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[70, 71, 351, 352]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[1, 32, 301, 332]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[175, 35, 456, 246]",1,2,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[105, 0, 480, 281]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[70, 35, 351, 246]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[0, 35, 375, 316]",2,1,3
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[160, 109, 460, 334]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[18, 108, 318, 333]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[105, 0, 369, 352]",4,2,1
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[175, 0, 439, 352]",1,1,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[289, 0, 500, 281]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[140, 35, 298, 246]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[35, 0, 299, 352]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[239, 2, 482, 326]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[100, 35, 500, 260]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[140, 70, 440, 238]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[0, 70, 500, 351]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[35, 70, 335, 238]",1,1,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[77, 117, 377, 285]",0,0,0
k40k_obj_3_farm4_3109_2916269117_ff5009c8f9.jpg,"[69, 1, 419, 197]",1,2,0
ava_obj_2_493900.jpg,"[210, 42, 551, 383]",0,0,0
ava_obj_2_493900.jpg,"[294, 84, 635, 425]",1,2,0
ava_obj_2_493900.jpg,"[294, 84, 550, 340]",1,1,0
ava_obj_2_493900.jpg,"[378, 126, 634, 382]",0,0,0
ava_obj_2_493900.jpg,"[23, 28, 407, 412]",0,0,0
ava_obj_2_493900.jpg,"[106, 6, 490, 390]",0,0,0
ava_obj_2_493900.jpg,"[185, 42, 640, 383]",4,1,1
ava_obj_2_493900.jpg,"[42, 0, 611, 427]",0,0,0
ava_obj_2_493900.jpg,"[210, 84, 551, 340]",3,2,2
ava_obj_2_493900.jpg,"[299, 126, 640, 382]",0,0,0
ava_obj_2_493900.jpg,"[0, 0, 455, 341]",0,0,0
ava_obj_2_493900.jpg,"[1, 116, 385, 404]",0,0,0
ava_obj_2_493900.jpg,"[210, 0, 530, 427]",1,2,0
ava_obj_2_493900.jpg,"[294, 0, 614, 427]",1,1,0
ava_obj_2_493900.jpg,"[126, 0, 446, 427]",0,0,0
ava_obj_2_493900.jpg,"[384, 86, 640, 427]",0,0,0
ava_obj_2_493900.jpg,"[5, 2, 316, 416]",0,0,0
ava_obj_2_493900.jpg,"[70, 8, 381, 422]",0,0,0
ava_obj_2_493900.jpg,"[128, 84, 640, 372]",1,2,0
ava_obj_2_493900.jpg,"[210, 126, 594, 342]",2,1,3
ava_obj_2_493900.jpg,"[0, 42, 512, 330]",0,0,0
ava_obj_2_493900.jpg,"[42, 126, 554, 414]",0,0,0
ava_obj_2_493900.jpg,"[83, 110, 467, 326]",0,0,0
ava_obj_2_493900.jpg,"[204, 48, 588, 264]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 99, 333, 432]",4,1,1
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 231, 266, 497]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[33, 66, 299, 332]",1,2,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[33, 132, 232, 331]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[99, 132, 298, 331]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[64, 86, 263, 285]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 99, 333, 348]",1,1,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 231, 333, 480]",1,2,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 165, 333, 414]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[33, 66, 299, 265]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[88, 178, 321, 352]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[86, 23, 285, 172]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 99, 266, 454]",3,1,2
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[33, 99, 232, 365]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[99, 99, 298, 365]",0,0,0
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[0, 132, 199, 398]",2,2,3
k40k_obj_3_farm9_8199_8274557329_b2fe188768.jpg,"[66, 33, 332, 388]",0,0,0
