name,bbox,score,order_pre,order_final
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[165, 67, 431, 333]",1,3,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[99, 66, 365, 332]",2,2,3
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[99, 66, 298, 265]",1,1,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[33, 0, 299, 266]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[165, 0, 431, 266]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[196, 20, 496, 320]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[99, 66, 454, 332]",4,2,1
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[0, 67, 355, 333]",1,3,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[33, 66, 299, 265]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[165, 99, 431, 298]",1,1,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[0, 0, 355, 266]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[193, 3, 493, 228]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[99, 67, 298, 333]",1,1,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[165, 67, 364, 333]",3,3,2
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[99, 0, 298, 266]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[297, 66, 446, 265]",1,2,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[231, 33, 430, 299]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[35, 3, 278, 327]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[33, 99, 433, 324]",1,1,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[33, 99, 333, 267]",1,2,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[0, 33, 400, 258]",0,0,0
k40k_obj_0_farm9_8492_8411726348_658ef3f864.jpg,"[132, 99, 432, 267]",0,0,0
