name,bbox,score,order_pre,order_final
coco_obj_2_COCO_train2014_000000414588.jpg,"[294, 0, 632, 338]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[294, 0, 547, 253]",4,2,1
coco_obj_2_COCO_train2014_000000414588.jpg,"[126, 0, 549, 423]",2,1,3
coco_obj_2_COCO_train2014_000000414588.jpg,"[336, 42, 589, 295]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[378, 0, 631, 253]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[52, 24, 436, 408]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[168, 0, 619, 338]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[294, 0, 632, 253]",1,1,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[252, 42, 590, 295]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[126, 42, 464, 295]",1,2,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[42, 42, 493, 380]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[150, 77, 598, 413]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[294, 0, 611, 423]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[378, 0, 568, 253]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[168, 0, 485, 423]",1,2,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[378, 0, 631, 338]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[336, 42, 526, 295]",1,1,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[18, 8, 329, 422]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[126, 0, 638, 288]",3,1,2
coco_obj_2_COCO_train2014_000000414588.jpg,"[210, 0, 594, 216]",1,2,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[126, 42, 510, 258]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[0, 42, 512, 330]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[0, 63, 640, 423]",0,0,0
coco_obj_2_COCO_train2014_000000414588.jpg,"[50, 192, 434, 408]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[165, 0, 499, 334]",1,2,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[66, 0, 400, 334]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[264, 0, 464, 200]",1,1,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[297, 33, 497, 233]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[12, 28, 312, 328]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[139, 8, 439, 308]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[55, 0, 500, 334]",2,1,3
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[233, 33, 500, 233]",1,2,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[165, 33, 432, 233]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[33, 67, 389, 334]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[34, 19, 334, 244]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[177, 76, 477, 301]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[297, 0, 497, 267]",1,2,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[198, 0, 448, 334]",4,1,1
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[99, 67, 299, 334]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[300, 67, 500, 334]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[165, 67, 365, 334]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[38, 9, 281, 333]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[0, 53, 500, 334]",1,2,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[99, 0, 499, 225]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[200, 33, 500, 201]",3,1,2
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[165, 66, 465, 234]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[181, 132, 481, 300]",0,0,0
k40k_obj_3_farm5_4017_4227777982_5afb3b1390.jpg,"[93, 117, 393, 285]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[125, 0, 500, 375]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[222, 74, 447, 299]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[259, 37, 484, 262]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[0, 0, 375, 375]",1,1,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[89, 26, 389, 326]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[21, 35, 321, 335]",2,2,3
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[74, 37, 474, 337]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[200, 37, 500, 262]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[148, 74, 448, 299]",1,1,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[127, 145, 427, 370]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[22, 73, 372, 335]",4,2,1
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[101, 3, 401, 228]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[0, 0, 281, 375]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[111, 0, 392, 375]",1,2,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[259, 74, 427, 299]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[296, 37, 464, 262]",0,0,0
k40k_obj_1_farm4_3367_3302325850_dbb43f5aef.jpg,"[61, 0, 331, 360]",1,1,0
