name,bbox,score,order_pre,order_final
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[111, 0, 411, 300]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[74, 74, 374, 374]",2,1,3
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[111, 0, 336, 225]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[148, 74, 373, 299]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[275, 37, 500, 262]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[169, 53, 469, 353]",1,2,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[100, 0, 500, 300]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[111, 37, 411, 262]",4,1,1
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[148, 0, 448, 225]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[37, 74, 437, 374]",1,2,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[74, 74, 374, 299]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[186, 88, 486, 313]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[111, 0, 392, 375]",1,2,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[185, 0, 410, 300]",1,1,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[259, 0, 484, 300]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[74, 0, 299, 300]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[259, 37, 427, 262]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[4, 8, 274, 368]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[100, 0, 500, 225]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[111, 0, 411, 168]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[74, 148, 374, 316]",0,0,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[100, 74, 500, 299]",3,2,2
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[0, 148, 400, 373]",1,1,0
k40k_obj_1_farm4_3070_2764692767_790667f663.jpg,"[161, 180, 461, 348]",0,0,0
ava_obj_1_883592.jpg,"[300, 240, 660, 600]",4,2,1
ava_obj_1_883592.jpg,"[240, 120, 720, 600]",0,0,0
ava_obj_1_883592.jpg,"[240, 180, 600, 540]",1,1,0
ava_obj_1_883592.jpg,"[60, 0, 660, 600]",0,0,0
ava_obj_1_883592.jpg,"[262, 4, 742, 484]",0,0,0
ava_obj_1_883592.jpg,"[26, 9, 506, 489]",0,0,0
ava_obj_1_883592.jpg,"[240, 240, 720, 600]",3,2,2
ava_obj_1_883592.jpg,"[160, 120, 800, 600]",1,1,0
ava_obj_1_883592.jpg,"[320, 180, 800, 540]",0,0,0
ava_obj_1_883592.jpg,"[120, 180, 600, 540]",0,0,0
ava_obj_1_883592.jpg,"[193, 33, 753, 453]",0,0,0
ava_obj_1_883592.jpg,"[50, 104, 530, 464]",0,0,0
ava_obj_1_883592.jpg,"[300, 120, 660, 600]",1,2,0
