name,bbox,score,order_pre,order_final
coco_obj_3_COCO_train2014_000000481885.jpg,"[224, 0, 500, 276]",1,1,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[102, 0, 448, 346]",1,3,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[293, 0, 500, 207]",1,4,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[224, 70, 500, 346]",2,2,3
coco_obj_3_COCO_train2014_000000481885.jpg,"[0, 0, 276, 276]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[60, 39, 360, 339]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[131, 0, 500, 276]",4,3,1
coco_obj_3_COCO_train2014_000000481885.jpg,"[224, 0, 500, 207]",1,1,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[131, 70, 500, 346]",1,2,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[0, 0, 369, 276]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[204, 68, 480, 275]",1,4,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[109, 38, 409, 263]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[238, 0, 497, 346]",1,2,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[170, 0, 429, 346]",1,1,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[306, 0, 461, 207]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[0, 0, 207, 276]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[19, 12, 262, 336]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[80, 9, 323, 333]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[0, 0, 500, 281]",3,1,2
coco_obj_3_COCO_train2014_000000481885.jpg,"[100, 68, 500, 293]",1,2,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[200, 34, 500, 202]",1,3,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[110, 163, 410, 331]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[78, 45, 378, 213]",0,0,0
coco_obj_3_COCO_train2014_000000481885.jpg,"[92, 98, 392, 266]",0,0,0
places_obj_1_playground_00000592.jpg,"[0, 51, 512, 563]",4,1,1
places_obj_1_playground_00000592.jpg,"[153, 153, 460, 460]",1,2,0
places_obj_1_playground_00000592.jpg,"[102, 0, 511, 409]",0,0,0
places_obj_1_playground_00000592.jpg,"[102, 102, 409, 409]",0,0,0
places_obj_1_playground_00000592.jpg,"[128, 341, 435, 648]",0,0,0
places_obj_1_playground_00000592.jpg,"[60, 388, 367, 695]",0,0,0
places_obj_1_playground_00000592.jpg,"[0, 153, 512, 537]",1,1,0
places_obj_1_playground_00000592.jpg,"[103, 102, 512, 409]",0,0,0
places_obj_1_playground_00000592.jpg,"[153, 204, 460, 434]",0,0,0
places_obj_1_playground_00000592.jpg,"[102, 153, 409, 383]",0,0,0
places_obj_1_playground_00000592.jpg,"[51, 51, 460, 358]",1,2,0
places_obj_1_playground_00000592.jpg,"[190, 117, 497, 347]",0,0,0
places_obj_1_playground_00000592.jpg,"[102, 0, 511, 546]",1,2,0
places_obj_1_playground_00000592.jpg,"[153, 102, 460, 511]",0,0,0
places_obj_1_playground_00000592.jpg,"[0, 102, 409, 648]",3,1,2
places_obj_1_playground_00000592.jpg,"[205, 153, 512, 562]",0,0,0
places_obj_1_playground_00000592.jpg,"[120, 255, 478, 732]",0,0,0
places_obj_1_playground_00000592.jpg,"[6, 63, 313, 472]",0,0,0
places_obj_1_playground_00000592.jpg,"[0, 204, 512, 492]",2,1,3
places_obj_1_playground_00000592.jpg,"[51, 153, 460, 383]",1,2,0
places_obj_1_playground_00000592.jpg,"[153, 204, 460, 376]",0,0,0
places_obj_1_playground_00000592.jpg,"[153, 255, 460, 427]",0,0,0
places_obj_1_playground_00000592.jpg,"[100, 440, 458, 641]",0,0,0
places_obj_1_playground_00000592.jpg,"[151, 375, 458, 547]",0,0,0
ava_obj_0_539889.jpg,"[47, 0, 423, 376]",1,3,0
ava_obj_0_539889.jpg,"[0, 94, 471, 565]",4,1,1
ava_obj_0_539889.jpg,"[0, 282, 282, 564]",1,4,0
ava_obj_0_539889.jpg,"[94, 94, 376, 376]",1,2,0
