name,bbox,score,order_pre,order_final
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 0, 384, 384]",1,1,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[38, 38, 268, 268]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[76, 76, 306, 306]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[146, 254, 376, 484]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[16, 151, 323, 458]",2,2,3
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[21, 244, 251, 474]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[38, 38, 345, 268]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 76, 307, 306]",1,2,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[76, 76, 306, 248]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 76, 230, 248]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 114, 384, 402]",1,1,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[17, 264, 247, 436]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[38, 0, 338, 400]",4,2,1
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[76, 76, 300, 376]",3,1,2
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[76, 0, 300, 300]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[125, 62, 355, 368]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[56, 160, 286, 466]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[1, 139, 231, 445]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 38, 384, 254]",1,1,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[0, 114, 384, 330]",1,2,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[38, 0, 345, 172]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[8, 279, 276, 429]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[41, 320, 348, 492]",0,0,0
k40k_obj_1_farm6_5340_9442680857_4514c6a334.jpg,"[138, 54, 368, 183]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[214, 0, 640, 426]",1,2,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[378, 126, 633, 381]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[294, 126, 549, 381]",1,1,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[31, 21, 415, 405]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[143, 32, 527, 416]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[97, 2, 481, 386]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[252, 84, 592, 339]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[186, 42, 640, 382]",1,1,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[42, 0, 610, 426]",4,2,1
coco_obj_1_COCO_train2014_000000509876.jpg,"[252, 168, 592, 423]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[0, 0, 454, 340]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[29, 87, 477, 423]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[252, 0, 571, 426]",1,1,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[378, 42, 633, 382]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[378, 126, 569, 381]",2,2,3
coco_obj_1_COCO_train2014_000000509876.jpg,"[0, 42, 191, 297]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[82, 9, 393, 423]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[178, 10, 489, 424]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[252, 126, 636, 342]",1,2,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[126, 84, 638, 372]",3,1,2
coco_obj_1_COCO_train2014_000000509876.jpg,"[42, 42, 554, 330]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[210, 84, 594, 300]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[79, 139, 527, 391]",0,0,0
coco_obj_1_COCO_train2014_000000509876.jpg,"[30, 115, 414, 331]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[74, 0, 449, 375]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[37, 37, 337, 337]",1,2,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[111, 74, 336, 299]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[191, 10, 491, 310]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[134, 51, 434, 351]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[75, 0, 375, 300]",2,1,3
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[74, 74, 474, 374]",1,2,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[0, 0, 400, 300]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[74, 74, 374, 299]",4,1,1
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[111, 111, 411, 336]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[1, 104, 351, 366]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[190, 107, 490, 332]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[111, 0, 392, 375]",1,1,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[37, 0, 318, 375]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[148, 74, 316, 299]",1,2,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[185, 0, 466, 375]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[152, 14, 422, 374]",0,0,0
k40k_obj_2_farm1_29_37507690_8cf2906d0b.jpg,"[4, 3, 274, 363]",0,0,0
