name,bbox,score,order_pre,order_final
places_obj_1_airfield_00003689.jpg,"[171, 0, 683, 512]",1,2,0
places_obj_1_airfield_00003689.jpg,"[153, 51, 562, 460]",1,1,0
places_obj_1_airfield_00003689.jpg,"[357, 153, 664, 460]",0,0,0
places_obj_1_airfield_00003689.jpg,"[30, 56, 439, 465]",0,0,0
places_obj_1_airfield_00003689.jpg,"[256, 65, 665, 474]",0,0,0
places_obj_1_airfield_00003689.jpg,"[106, 6, 515, 415]",0,0,0
places_obj_1_airfield_00003689.jpg,"[102, 51, 648, 460]",2,2,3
places_obj_1_airfield_00003689.jpg,"[153, 102, 562, 409]",1,1,0
places_obj_1_airfield_00003689.jpg,"[10, 21, 419, 327]",0,0,0
places_obj_1_airfield_00003689.jpg,"[147, 179, 556, 485]",0,0,0
places_obj_1_airfield_00003689.jpg,"[99, 8, 508, 314]",0,0,0
places_obj_1_airfield_00003689.jpg,"[264, 182, 673, 488]",0,0,0
places_obj_1_airfield_00003689.jpg,"[357, 51, 664, 460]",0,0,0
places_obj_1_airfield_00003689.jpg,"[408, 153, 638, 460]",0,0,0
places_obj_1_airfield_00003689.jpg,"[153, 0, 460, 409]",1,2,0
places_obj_1_airfield_00003689.jpg,"[453, 102, 683, 409]",0,0,0
places_obj_1_airfield_00003689.jpg,"[212, 20, 580, 510]",1,1,0
places_obj_1_airfield_00003689.jpg,"[46, 17, 414, 507]",0,0,0
places_obj_1_airfield_00003689.jpg,"[137, 102, 683, 409]",0,0,0
places_obj_1_airfield_00003689.jpg,"[0, 128, 683, 512]",4,2,1
places_obj_1_airfield_00003689.jpg,"[0, 51, 546, 358]",3,2,2
places_obj_1_airfield_00003689.jpg,"[153, 204, 562, 434]",0,0,0
places_obj_1_airfield_00003689.jpg,"[244, 135, 653, 365]",0,0,0
places_obj_1_airfield_00003689.jpg,"[145, 104, 554, 334]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[132, 0, 465, 333]",1,2,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[198, 66, 397, 265]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[66, 67, 332, 333]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[3, 14, 303, 314]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[83, 1, 383, 301]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[192, 31, 492, 331]",1,1,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[56, 0, 500, 333]",4,1,1
coco_obj_1_COCO_train2014_000000310015.jpg,"[33, 66, 388, 332]",1,2,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[132, 66, 398, 265]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[160, 102, 460, 327]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[4, 56, 304, 281]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[161, 15, 461, 240]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[165, 0, 414, 333]",2,1,3
coco_obj_1_COCO_train2014_000000310015.jpg,"[231, 66, 430, 332]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[99, 0, 348, 333]",1,2,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[198, 66, 347, 265]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[10, 2, 253, 326]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[251, 4, 494, 328]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[0, 52, 500, 333]",3,1,2
coco_obj_1_COCO_train2014_000000310015.jpg,"[100, 33, 500, 258]",1,2,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[165, 66, 465, 234]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[33, 0, 433, 225]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[71, 125, 371, 293]",0,0,0
coco_obj_1_COCO_train2014_000000310015.jpg,"[90, 29, 390, 197]",0,0,0
k40k_obj_3_farm3_2490_3690069937_21ce920f87.jpg,"[132, 0, 465, 333]",2,2,3
