name,bbox,score,order_pre,order_final
ava_obj_2_596654.jpg,"[0, 107, 533, 640]",1,4,0
ava_obj_2_596654.jpg,"[214, 106, 533, 425]",3,3,2
ava_obj_2_596654.jpg,"[0, 0, 426, 426]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 319, 319]",0,0,0
ava_obj_2_596654.jpg,"[40, 136, 413, 509]",0,0,0
ava_obj_2_596654.jpg,"[156, 299, 475, 618]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 533, 399]",1,3,0
ava_obj_2_596654.jpg,"[0, 106, 533, 505]",0,0,0
ava_obj_2_596654.jpg,"[214, 106, 533, 345]",2,2,3
ava_obj_2_596654.jpg,"[0, 212, 533, 611]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 319, 239]",0,0,0
ava_obj_2_596654.jpg,"[25, 135, 344, 374]",0,0,0
ava_obj_2_596654.jpg,"[53, 0, 533, 640]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 384, 512]",0,0,0
ava_obj_2_596654.jpg,"[245, 106, 533, 490]",4,2,1
ava_obj_2_596654.jpg,"[0, 0, 288, 384]",0,0,0
ava_obj_2_596654.jpg,"[245, 0, 533, 384]",1,1,0
ava_obj_2_596654.jpg,"[82, 131, 401, 556]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 533, 299]",0,0,0
ava_obj_2_596654.jpg,"[0, 106, 533, 405]",0,0,0
ava_obj_2_596654.jpg,"[214, 106, 533, 285]",1,5,0
ava_obj_2_596654.jpg,"[214, 159, 533, 338]",1,6,0
ava_obj_2_596654.jpg,"[43, 250, 469, 489]",0,0,0
ava_obj_2_596654.jpg,"[133, 305, 452, 484]",0,0,0
ava_obj_1_750317.jpg,"[0, 86, 431, 517]",3,6,2
ava_obj_1_750317.jpg,"[43, 43, 387, 387]",0,0,0
ava_obj_1_750317.jpg,"[86, 86, 344, 344]",0,0,0
ava_obj_1_750317.jpg,"[123, 41, 381, 299]",0,0,0
ava_obj_1_750317.jpg,"[149, 285, 407, 543]",0,0,0
ava_obj_1_750317.jpg,"[153, 152, 411, 410]",1,2,0
ava_obj_1_750317.jpg,"[0, 86, 431, 409]",1,6,0
ava_obj_1_750317.jpg,"[0, 172, 431, 495]",1,2,0
ava_obj_1_750317.jpg,"[0, 0, 431, 323]",0,0,0
ava_obj_1_750317.jpg,"[53, 220, 311, 413]",0,0,0
ava_obj_1_750317.jpg,"[109, 57, 410, 282]",0,0,0
ava_obj_1_750317.jpg,"[55, 262, 356, 487]",0,0,0
ava_obj_1_750317.jpg,"[0, 43, 431, 617]",4,2,1
ava_obj_1_750317.jpg,"[0, 0, 344, 459]",1,5,0
ava_obj_1_750317.jpg,"[86, 172, 344, 516]",2,4,3
ava_obj_1_750317.jpg,"[43, 129, 301, 473]",1,6,0
ava_obj_1_750317.jpg,"[89, 52, 347, 396]",0,0,0
ava_obj_1_750317.jpg,"[169, 289, 427, 633]",0,0,0
ava_obj_1_750317.jpg,"[0, 129, 431, 371]",0,0,0
ava_obj_1_750317.jpg,"[129, 172, 387, 317]",1,5,0
ava_obj_1_750317.jpg,"[0, 215, 431, 457]",1,3,0
ava_obj_1_750317.jpg,"[34, 365, 378, 558]",0,0,0
ava_obj_1_750317.jpg,"[149, 46, 407, 191]",0,0,0
ava_obj_1_750317.jpg,"[123, 423, 424, 592]",0,0,0
ava_obj_1_665142.jpg,"[192, 96, 576, 480]",1,2,0
ava_obj_1_665142.jpg,"[240, 96, 528, 384]",0,0,0
ava_obj_1_665142.jpg,"[240, 0, 720, 480]",1,1,0
ava_obj_1_665142.jpg,"[192, 144, 480, 432]",0,0,0
ava_obj_1_665142.jpg,"[48, 37, 480, 469]",0,0,0
ava_obj_1_665142.jpg,"[157, 1, 589, 433]",0,0,0
ava_obj_1_665142.jpg,"[208, 96, 720, 480]",2,2,3
ava_obj_1_665142.jpg,"[192, 96, 576, 384]",0,0,0
ava_obj_1_665142.jpg,"[144, 0, 656, 384]",0,0,0
ava_obj_1_665142.jpg,"[288, 144, 672, 432]",4,4,1
ava_obj_1_665142.jpg,"[48, 48, 560, 432]",0,0,0
ava_obj_1_665142.jpg,"[33, 142, 465, 466]",0,0,0
ava_obj_1_665142.jpg,"[240, 96, 528, 480]",0,0,0
ava_obj_1_665142.jpg,"[288, 96, 504, 384]",0,0,0
ava_obj_1_665142.jpg,"[144, 0, 504, 480]",0,0,0
ava_obj_1_665142.jpg,"[240, 144, 456, 432]",1,1,0
ava_obj_1_665142.jpg,"[279, 5, 628, 470]",1,4,0
ava_obj_1_665142.jpg,"[48, 3, 397, 468]",0,0,0
ava_obj_1_665142.jpg,"[144, 144, 576, 387]",0,0,0
ava_obj_1_665142.jpg,"[96, 96, 672, 420]",1,2,0
ava_obj_1_665142.jpg,"[0, 0, 720, 405]",0,0,0
ava_obj_1_665142.jpg,"[285, 169, 717, 412]",3,5,2
ava_obj_1_665142.jpg,"[166, 16, 598, 259]",0,0,0
ava_obj_1_665142.jpg,"[264, 222, 696, 465]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[96, 192, 384, 480]",3,2,2
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 48, 384, 432]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[96, 0, 576, 480]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[217, 67, 601, 451]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[73, 89, 457, 473]",1,2,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[120, 23, 504, 407]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 192, 384, 480]",4,3,1
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 48, 512, 432]",1,3,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 96, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[96, 144, 480, 432]",1,6,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[125, 80, 637, 464]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[111, 76, 495, 364]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[96, 48, 384, 432]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[144, 0, 504, 480]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[144, 192, 359, 480]",1,2,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[144, 96, 359, 384]",2,4,3
coco_obj_0_COCO_train2014_000000456356.jpg,"[240, 0, 600, 480]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[5, 13, 350, 473]",1,6,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 192, 512, 480]",1,1,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 192, 384, 408]",1,2,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[0, 48, 640, 408]",1,3,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[48, 71, 496, 323]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[184, 158, 568, 374]",0,0,0
coco_obj_0_COCO_train2014_000000456356.jpg,"[34, 48, 418, 264]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[93, 0, 412, 319]",1,3,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[62, 0, 317, 255]",1,4,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[180, 7, 468, 295]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[0, 19, 288, 307]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[59, 22, 347, 310]",2,2,3
coco_obj_1_COCO_train2014_000000170162.jpg,"[147, 28, 435, 316]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[31, 0, 456, 319]",1,2,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[0, 0, 340, 255]",1,4,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[62, 31, 317, 222]",1,6,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[46, 69, 334, 285]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[136, 91, 424, 307]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[185, 4, 473, 220]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[93, 0, 332, 319]",3,1,2
coco_obj_1_COCO_train2014_000000170162.jpg,"[155, 0, 394, 319]",1,4,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[241, 0, 480, 319]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[31, 0, 270, 319]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[337, 62, 480, 253]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[203, 7, 436, 317]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[0, 31, 480, 301]",4,4,1
coco_obj_1_COCO_train2014_000000170162.jpg,"[96, 0, 480, 216]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[62, 31, 350, 193]",1,6,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[74, 146, 362, 308]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[139, 133, 427, 295]",0,0,0
coco_obj_1_COCO_train2014_000000170162.jpg,"[144, 35, 432, 197]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[312, 0, 640, 328]",1,5,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[394, 41, 640, 287]",1,4,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[123, 0, 533, 411]",1,2,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[82, 0, 410, 328]",1,5,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[328, 41, 574, 287]",1,6,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[227, 11, 611, 395]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[164, 0, 602, 328]",1,4,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[312, 41, 640, 287]",1,2,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[205, 41, 533, 287]",3,6,2
coco_obj_3_COCO_train2014_000000052219.jpg,"[0, 0, 547, 411]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[55, 9, 439, 297]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[151, 97, 535, 385]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[394, 0, 640, 328]",0,0,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[410, 41, 594, 287]",1,5,0
coco_obj_3_COCO_train2014_000000052219.jpg,"[123, 0, 369, 328]",1,1,0
