name,bbox,score,order_pre,order_final
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[0, 0, 375, 375]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[111, 0, 411, 300]",2,2,3
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[125, 0, 500, 375]",1,1,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[111, 0, 336, 225]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[95, 72, 395, 372]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[188, 19, 488, 319]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[0, 0, 400, 300]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[74, 0, 374, 225]",1,2,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[200, 0, 500, 225]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[148, 37, 448, 262]",3,1,2
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[117, 108, 417, 333]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[97, 51, 497, 351]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[111, 0, 392, 375]",1,2,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[185, 0, 466, 375]",1,1,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[37, 0, 318, 375]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[0, 37, 225, 337]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[259, 0, 484, 300]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[156, 8, 426, 368]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[0, 0, 500, 281]",4,1,1
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[37, 0, 337, 168]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[148, 37, 448, 205]",1,2,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[185, 0, 485, 168]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[42, 155, 342, 323]",0,0,0
k40k_obj_3_farm6_5018_5405718174_7ea3765db8.jpg,"[130, 122, 480, 318]",0,0,0
ava_obj_1_846269.jpg,"[0, 159, 531, 690]",2,1,3
ava_obj_1_846269.jpg,"[106, 106, 530, 530]",0,0,0
ava_obj_1_846269.jpg,"[106, 159, 424, 477]",1,2,0
ava_obj_1_846269.jpg,"[53, 106, 371, 424]",0,0,0
ava_obj_1_846269.jpg,"[169, 386, 487, 704]",0,0,0
ava_obj_1_846269.jpg,"[160, 69, 478, 387]",0,0,0
ava_obj_1_846269.jpg,"[106, 159, 530, 477]",1,2,0
ava_obj_1_846269.jpg,"[0, 53, 531, 451]",0,0,0
ava_obj_1_846269.jpg,"[0, 265, 531, 663]",0,0,0
ava_obj_1_846269.jpg,"[0, 371, 531, 769]",0,0,0
ava_obj_1_846269.jpg,"[53, 159, 371, 397]",1,1,0
ava_obj_1_846269.jpg,"[5, 457, 376, 735]",0,0,0
ava_obj_1_846269.jpg,"[0, 93, 531, 800]",3,1,2
ava_obj_1_846269.jpg,"[53, 53, 477, 619]",4,2,1
ava_obj_1_846269.jpg,"[106, 159, 424, 583]",0,0,0
ava_obj_1_846269.jpg,"[53, 106, 371, 530]",0,0,0
ava_obj_1_846269.jpg,"[46, 230, 364, 654]",0,0,0
ava_obj_1_846269.jpg,"[69, 285, 440, 779]",0,0,0
ava_obj_1_846269.jpg,"[0, 159, 531, 457]",1,2,0
ava_obj_1_846269.jpg,"[0, 318, 531, 616]",0,0,0
ava_obj_1_846269.jpg,"[106, 265, 530, 503]",0,0,0
ava_obj_1_846269.jpg,"[6, 237, 377, 445]",1,2,0
ava_obj_1_846269.jpg,"[15, 529, 333, 707]",0,0,0
ava_obj_1_846269.jpg,"[97, 454, 415, 632]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[657, 244, 1024, 611]",4,1,1
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[534, 122, 1024, 612]",2,4,3
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[549, 244, 916, 611]",1,3,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[657, 122, 1024, 489]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[61, 122, 551, 612]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[449, 0, 1001, 552]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[534, 246, 1024, 613]",3,2,2
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[366, 123, 1019, 613]",1,1,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[0, 122, 653, 612]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[534, 122, 1024, 489]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[61, 0, 878, 613]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[239, 79, 853, 539]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[657, 122, 1024, 612]",1,2,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[671, 246, 946, 613]",1,3,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[549, 122, 916, 612]",1,1,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[671, 122, 946, 489]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[732, 183, 1007, 550]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[442, 3, 889, 599]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[410, 244, 1024, 589]",1,2,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[205, 153, 1024, 613]",1,1,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[366, 122, 980, 467]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[0, 153, 819, 613]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[305, 183, 919, 528]",0,0,0
k40k_obj_2_farm6_5822_21637928711_b6fcbf937a_b.jpg,"[60, 203, 674, 548]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 0, 400, 400]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[80, 120, 320, 360]",3,1,2
coco_obj_1_COCO_train2014_000000288187.jpg,"[120, 80, 440, 400]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[42, 36, 342, 336]",1,2,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[160, 0, 460, 300]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[195, 53, 495, 353]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 25, 500, 400]",1,2,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 120, 300, 345]",2,1,3
coco_obj_1_COCO_train2014_000000288187.jpg,"[40, 0, 440, 300]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[80, 0, 380, 225]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[127, 44, 427, 269]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[195, 91, 495, 316]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[120, 120, 300, 360]",4,1,1
coco_obj_1_COCO_train2014_000000288187.jpg,"[40, 80, 280, 400]",1,2,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[120, 0, 420, 400]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[70, 7, 340, 367]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[224, 24, 494, 384]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[1, 1, 271, 361]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 40, 500, 321]",1,2,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 119, 500, 400]",1,1,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[80, 40, 380, 208]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[40, 0, 440, 225]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[0, 200, 300, 368]",0,0,0
coco_obj_1_COCO_train2014_000000288187.jpg,"[3, 126, 303, 294]",0,0,0
ava_obj_2_783473.jpg,"[114, 0, 497, 383]",2,1,3
ava_obj_2_783473.jpg,"[228, 0, 611, 383]",0,0,0
ava_obj_2_783473.jpg,"[38, 38, 344, 344]",0,0,0
ava_obj_2_783473.jpg,"[114, 38, 343, 267]",0,0,0
ava_obj_2_783473.jpg,"[334, 38, 640, 344]",0,0,0
ava_obj_2_783473.jpg,"[80, 27, 425, 372]",1,2,0
ava_obj_2_783473.jpg,"[130, 0, 640, 383]",1,1,0
ava_obj_2_783473.jpg,"[76, 38, 484, 344]",1,2,0
ava_obj_2_783473.jpg,"[0, 0, 408, 306]",0,0,0
ava_obj_2_783473.jpg,"[76, 38, 382, 267]",0,0,0
ava_obj_2_783473.jpg,"[114, 0, 420, 229]",0,0,0
