name,bbox,score,order_pre,order_final
ava_obj_3_504054.jpg,"[0, 0, 231, 231]",2,3,3
ava_obj_3_504054.jpg,"[196, 0, 427, 231]",0,0,0
ava_obj_3_504054.jpg,"[0, 56, 173, 229]",1,1,0
ava_obj_3_504054.jpg,"[0, 58, 231, 289]",1,2,0
ava_obj_3_504054.jpg,"[84, 0, 373, 289]",0,0,0
ava_obj_3_504054.jpg,"[211, 7, 490, 286]",0,0,0
ava_obj_3_504054.jpg,"[28, 0, 336, 231]",3,1,2
ava_obj_3_504054.jpg,"[112, 0, 420, 231]",0,0,0
ava_obj_3_504054.jpg,"[196, 56, 427, 229]",0,0,0
ava_obj_3_504054.jpg,"[0, 56, 231, 229]",1,2,0
ava_obj_3_504054.jpg,"[196, 0, 504, 231]",0,0,0
ava_obj_3_504054.jpg,"[253, 0, 637, 288]",0,0,0
ava_obj_3_504054.jpg,"[0, 0, 173, 231]",1,1,0
ava_obj_3_504054.jpg,"[168, 0, 384, 289]",0,0,0
ava_obj_3_504054.jpg,"[0, 58, 173, 289]",1,2,0
ava_obj_3_504054.jpg,"[336, 0, 509, 231]",0,0,0
ava_obj_3_504054.jpg,"[252, 0, 425, 231]",0,0,0
ava_obj_3_504054.jpg,"[84, 13, 288, 285]",0,0,0
ava_obj_3_504054.jpg,"[0, 28, 411, 259]",4,1,1
ava_obj_3_504054.jpg,"[0, 56, 308, 229]",1,2,0
ava_obj_3_504054.jpg,"[112, 56, 420, 229]",0,0,0
ava_obj_3_504054.jpg,"[112, 0, 523, 231]",0,0,0
ava_obj_3_504054.jpg,"[152, 65, 536, 281]",0,0,0
ava_obj_3_504054.jpg,"[217, 11, 601, 227]",0,0,0
places_obj_0_porch_00002676.jpg,"[0, 22, 512, 534]",3,1,2
places_obj_0_porch_00002676.jpg,"[51, 0, 460, 409]",1,3,0
places_obj_0_porch_00002676.jpg,"[102, 51, 409, 358]",1,2,0
places_obj_0_porch_00002676.jpg,"[51, 102, 358, 409]",0,0,0
places_obj_0_porch_00002676.jpg,"[60, 5, 367, 312]",1,4,0
places_obj_0_porch_00002676.jpg,"[112, 213, 419, 520]",0,0,0
places_obj_0_porch_00002676.jpg,"[103, 51, 512, 358]",1,3,0
places_obj_0_porch_00002676.jpg,"[0, 51, 409, 358]",1,1,0
places_obj_0_porch_00002676.jpg,"[0, 150, 512, 534]",0,0,0
places_obj_0_porch_00002676.jpg,"[51, 102, 358, 332]",0,0,0
places_obj_0_porch_00002676.jpg,"[114, 1, 421, 231]",1,2,0
places_obj_0_porch_00002676.jpg,"[109, 173, 416, 403]",0,0,0
places_obj_0_porch_00002676.jpg,"[112, 0, 512, 534]",2,4,3
places_obj_0_porch_00002676.jpg,"[0, 51, 320, 478]",1,3,0
places_obj_0_porch_00002676.jpg,"[102, 51, 342, 371]",1,1,0
places_obj_0_porch_00002676.jpg,"[160, 98, 467, 507]",0,0,0
places_obj_0_porch_00002676.jpg,"[203, 6, 510, 415]",4,2,1
places_obj_0_porch_00002676.jpg,"[109, 5, 416, 414]",1,5,0
places_obj_0_porch_00002676.jpg,"[0, 51, 512, 339]",1,1,0
places_obj_0_porch_00002676.jpg,"[103, 0, 512, 230]",0,0,0
places_obj_0_porch_00002676.jpg,"[0, 153, 512, 441]",0,0,0
places_obj_0_porch_00002676.jpg,"[78, 46, 385, 218]",1,3,0
places_obj_0_porch_00002676.jpg,"[107, 131, 465, 332]",0,0,0
places_obj_0_porch_00002676.jpg,"[91, 85, 398, 257]",1,2,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 51, 512, 563]",2,1,3
places_obj_2_amusement_arcade_00004334.jpg,"[51, 0, 460, 409]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[102, 102, 409, 409]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 102, 307, 409]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[93, 210, 400, 517]",1,2,0
places_obj_2_amusement_arcade_00004334.jpg,"[144, 257, 451, 564]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 51, 512, 435]",1,1,0
places_obj_2_amusement_arcade_00004334.jpg,"[103, 0, 512, 307]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 153, 409, 460]",1,2,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 0, 409, 307]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[102, 153, 409, 383]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[107, 303, 414, 533]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 0, 512, 682]",4,4,1
places_obj_2_amusement_arcade_00004334.jpg,"[102, 51, 409, 460]",1,2,0
places_obj_2_amusement_arcade_00004334.jpg,"[51, 102, 358, 511]",1,1,0
places_obj_2_amusement_arcade_00004334.jpg,"[20, 236, 327, 645]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[87, 112, 445, 589]",1,5,0
places_obj_2_amusement_arcade_00004334.jpg,"[151, 180, 509, 657]",3,3,2
places_obj_2_amusement_arcade_00004334.jpg,"[0, 102, 512, 390]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[103, 51, 512, 281]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[0, 51, 409, 281]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[111, 28, 418, 200]",0,0,0
places_obj_2_amusement_arcade_00004334.jpg,"[18, 404, 325, 576]",1,1,0
places_obj_2_amusement_arcade_00004334.jpg,"[30, 445, 337, 617]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 480, 384]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 0, 480, 288]",3,1,2
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 240, 480, 528]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[144, 48, 432, 336]",4,3,1
coco_obj_0_COCO_train2014_000000304905.jpg,"[69, 203, 405, 539]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[82, 326, 370, 614]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 48, 480, 408]",1,1,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 288, 480, 503]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 240, 480, 528]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 480, 288]",2,2,3
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 48, 480, 263]",1,3,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[94, 303, 382, 519]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 0, 480, 384]",1,2,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 0, 480, 640]",1,3,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 240, 480, 624]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[96, 0, 384, 384]",1,1,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[143, 170, 431, 554]",1,4,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[28, 184, 316, 568]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 48, 480, 318]",1,4,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[192, 288, 480, 450]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[0, 240, 480, 510]",0,0,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[120, 88, 408, 250]",1,1,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[184, 140, 472, 302]",1,3,0
coco_obj_0_COCO_train2014_000000304905.jpg,"[47, 2, 431, 218]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 509, 383]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 0, 426, 427]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[336, 0, 592, 256]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 0, 593, 341]",4,1,1
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 42, 508, 298]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[244, 42, 628, 426]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[42, 42, 497, 383]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 623, 383]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[294, 0, 635, 256]",1,1,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 126, 509, 382]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 42, 509, 298]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 17, 384, 305]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 42, 508, 383]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[168, 0, 488, 427]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[210, 126, 402, 382]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 42, 192, 298]",1,2,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 0, 256, 341]",1,1,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[76, 10, 387, 424]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 42, 640, 402]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[252, 0, 636, 216]",2,1,3
coco_obj_3_COCO_train2014_000000283955.jpg,"[126, 168, 510, 384]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[0, 84, 384, 300]",0,0,0
coco_obj_3_COCO_train2014_000000283955.jpg,"[126, 0, 638, 288]",3,2,2
coco_obj_3_COCO_train2014_000000283955.jpg,"[228, 84, 612, 300]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 320, 320]",3,2,2
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[80, 0, 480, 400]",1,3,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[40, 40, 280, 280]",0,0,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[161, 43, 461, 343]",1,5,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[65, 55, 365, 355]",1,4,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[119, 96, 419, 396]",1,1,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 0, 500, 375]",1,2,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[0, 80, 300, 305]",1,4,0
k40k_obj_0_farm5_4107_5069613360_23bda08fb8.jpg,"[160, 40, 460, 265]",1,3,0
