name,bbox,score,order_pre,order_final
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[169, 0, 500, 332]",1,2,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[33, 0, 364, 332]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[301, 66, 500, 265]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[132, 67, 397, 332]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[105, 7, 405, 307]",1,1,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[6, 23, 306, 323]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[58, 0, 500, 332]",4,2,1
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[0, 33, 354, 298]",2,1,3
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[231, 66, 496, 265]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[86, 14, 386, 239]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[120, 69, 420, 294]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[11, 106, 311, 331]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[301, 33, 500, 298]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[351, 66, 500, 265]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[165, 0, 414, 332]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[99, 0, 348, 332]",1,2,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[33, 0, 282, 332]",1,1,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[236, 3, 479, 327]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[0, 33, 500, 314]",3,1,2
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[99, 99, 499, 324]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[99, 0, 499, 225]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[99, 164, 399, 332]",0,0,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[200, 33, 500, 201]",1,2,0
k40k_obj_1_farm2_1292_1079776435_d927f60615.jpg,"[16, 118, 366, 314]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 256, 480, 640]",4,2,1
coco_obj_2_COCO_train2014_000000243472.jpg,"[192, 336, 480, 624]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[144, 288, 432, 576]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 336, 384, 624]",1,1,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[38, 4, 374, 340]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[56, 193, 344, 481]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[0, 280, 480, 640]",1,1,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[144, 336, 432, 551]",1,2,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 240, 480, 528]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[192, 288, 480, 503]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[117, 19, 405, 235]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[30, 102, 414, 390]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[192, 256, 480, 640]",3,1,2
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 256, 384, 640]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[0, 0, 480, 640]",2,2,3
coco_obj_2_COCO_train2014_000000243472.jpg,"[144, 192, 432, 576]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[50, 76, 386, 524]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[167, 24, 455, 408]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[0, 336, 480, 606]",1,1,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 424, 480, 640]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[96, 288, 480, 504]",1,3,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[144, 336, 432, 498]",1,3,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[148, 162, 436, 324]",0,0,0
coco_obj_2_COCO_train2014_000000243472.jpg,"[28, 198, 412, 414]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 256, 256]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[378, 42, 634, 298]",1,4,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 341, 341]",1,2,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[299, 42, 640, 383]",2,3,3
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 84, 256, 340]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[104, 4, 488, 388]",1,1,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 341, 256]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[42, 0, 611, 427]",4,3,1
coco_obj_0_COCO_train2014_000000217395.jpg,"[299, 42, 640, 298]",1,1,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 455, 341]",3,2,2
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 84, 341, 340]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[196, 103, 580, 391]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 256, 341]",1,3,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[448, 42, 640, 298]",1,2,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 42, 192, 298]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[378, 0, 634, 341]",1,1,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[42, 0, 234, 256]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[140, 9, 451, 423]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 0, 640, 360]",1,3,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[0, 42, 384, 258]",0,0,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[210, 84, 594, 300]",1,2,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[46, 124, 430, 340]",1,1,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[109, 149, 493, 365]",1,4,0
coco_obj_0_COCO_train2014_000000217395.jpg,"[145, 48, 529, 264]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 154, 766, 768]",1,1,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[304, 228, 764, 688]",1,3,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[228, 152, 688, 612]",1,2,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 0, 766, 614]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[259, 6, 975, 722]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[16, 89, 630, 703]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 228, 766, 688]",3,2,2
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[76, 154, 895, 768]",4,1,1
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[304, 152, 918, 612]",1,3,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 76, 766, 536]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[319, 30, 933, 490]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[12, 150, 626, 610]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 0, 728, 768]",1,3,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[304, 152, 764, 766]",1,1,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[304, 228, 649, 688]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[380, 152, 725, 612]",2,2,3
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[427, 19, 979, 755]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[18, 4, 570, 740]",0,0,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[0, 152, 1024, 728]",1,2,0
k40k_obj_1_farm4_3085_2628506055_d23f4ae7e5_b.jpg,"[152, 228, 766, 573]",1,1,0
