name,bbox,score,order_pre,order_final
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 0, 465, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 67, 266, 333]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 134, 331, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 0, 266, 266]",4,1,1
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[66, 66, 332, 332]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[82, 9, 382, 309]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 66, 487, 332]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 134, 266, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 134, 398, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[33, 67, 388, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 66, 266, 265]",3,1,2
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[21, 18, 321, 243]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 66, 149, 265]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[165, 134, 314, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 33, 199, 299]",2,1,3
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 67, 331, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[165, 0, 414, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[53, 6, 296, 330]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 165, 432, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 108, 400, 333]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 132, 300, 300]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 0, 500, 281]",1,1,0
