name,bbox,score,order_pre,order_final
coco_obj_3_COCO_train2014_000000260310.jpg,"[199, 0, 600, 402]",1,1,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[40, 0, 441, 402]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[359, 161, 600, 402]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[160, 0, 401, 241]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[145, 2, 505, 362]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[0, 15, 360, 375]",1,2,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[65, 0, 600, 402]",3,1,2
coco_obj_3_COCO_train2014_000000260310.jpg,"[279, 160, 600, 401]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[120, 0, 441, 241]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[0, 0, 428, 321]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[28, 121, 388, 391]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[162, 67, 522, 337]",1,2,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[160, 0, 461, 402]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[280, 0, 581, 402]",2,1,3
coco_obj_3_COCO_train2014_000000260310.jpg,"[359, 80, 600, 401]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[80, 0, 381, 402]",1,2,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[420, 161, 600, 402]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[7, 7, 298, 395]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[240, 160, 600, 362]",1,2,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[0, 65, 600, 402]",4,1,1
coco_obj_3_COCO_train2014_000000260310.jpg,"[80, 0, 440, 202]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[80, 0, 560, 270]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[104, 94, 464, 296]",0,0,0
coco_obj_3_COCO_train2014_000000260310.jpg,"[170, 17, 530, 219]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[96, 0, 576, 480]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[48, 96, 432, 480]",1,4,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[48, 192, 336, 480]",1,1,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[144, 192, 432, 480]",1,3,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[96, 144, 384, 432]",1,2,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[214, 71, 598, 455]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[0, 0, 640, 480]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[48, 192, 432, 480]",2,1,3
coco_obj_2_COCO_train2014_000000545213.jpg,"[144, 144, 528, 432]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[62, 67, 510, 403]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[184, 7, 568, 295]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[56, 23, 440, 311]",1,2,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[48, 0, 408, 480]",1,3,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[144, 192, 359, 480]",4,2,1
coco_obj_2_COCO_train2014_000000545213.jpg,"[144, 96, 432, 480]",1,1,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[192, 0, 552, 480]",0,0,0
coco_obj_2_COCO_train2014_000000545213.jpg,"[352, 96, 640, 480]",0,0,0
