name,bbox,score,order_pre,order_final
places_obj_1_landfill_00002302.jpg,"[102, 0, 614, 512]",1,3,0
places_obj_1_landfill_00002302.jpg,"[204, 0, 511, 307]",0,0,0
places_obj_1_landfill_00002302.jpg,"[255, 0, 664, 409]",0,0,0
places_obj_1_landfill_00002302.jpg,"[295, 36, 755, 496]",0,0,0
places_obj_1_landfill_00002302.jpg,"[24, 4, 484, 464]",1,1,0
places_obj_1_landfill_00002302.jpg,"[213, 41, 673, 501]",1,2,0
places_obj_1_landfill_00002302.jpg,"[51, 0, 733, 512]",3,2,2
places_obj_1_landfill_00002302.jpg,"[153, 0, 562, 307]",0,0,0
places_obj_1_landfill_00002302.jpg,"[0, 51, 546, 460]",1,1,0
places_obj_1_landfill_00002302.jpg,"[176, 49, 636, 394]",0,0,0
places_obj_1_landfill_00002302.jpg,"[299, 113, 759, 458]",0,0,0
places_obj_1_landfill_00002302.jpg,"[258, 6, 718, 351]",1,3,0
places_obj_1_landfill_00002302.jpg,"[153, 0, 537, 512]",1,1,0
places_obj_1_landfill_00002302.jpg,"[255, 0, 639, 512]",1,2,0
places_obj_1_landfill_00002302.jpg,"[51, 0, 435, 512]",0,0,0
places_obj_1_landfill_00002302.jpg,"[356, 0, 729, 497]",0,0,0
places_obj_1_landfill_00002302.jpg,"[3, 1, 376, 498]",0,0,0
places_obj_1_landfill_00002302.jpg,"[210, 14, 583, 511]",1,3,0
places_obj_1_landfill_00002302.jpg,"[0, 0, 768, 432]",4,2,1
places_obj_1_landfill_00002302.jpg,"[153, 0, 613, 259]",0,0,0
places_obj_1_landfill_00002302.jpg,"[154, 102, 768, 447]",2,1,3
places_obj_1_landfill_00002302.jpg,"[25, 222, 485, 480]",0,0,0
places_obj_1_landfill_00002302.jpg,"[241, 196, 701, 454]",0,0,0
places_obj_1_landfill_00002302.jpg,"[57, 119, 594, 421]",1,3,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 33, 332, 299]",1,3,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[167, 0, 500, 333]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[132, 66, 398, 332]",1,1,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[198, 33, 397, 232]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[125, 4, 425, 304]",1,2,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[4, 0, 304, 300]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 33, 421, 299]",3,2,2
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 33, 332, 232]",1,1,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[198, 33, 464, 232]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[130, 105, 430, 330]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[5, 60, 305, 285]",1,3,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[53, 105, 353, 330]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 0, 315, 333]",1,3,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[165, 0, 414, 333]",1,2,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[0, 33, 199, 299]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[132, 33, 331, 299]",1,1,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[251, 0, 500, 333]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[12, 0, 255, 324]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 33, 466, 258]",1,3,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[66, 33, 366, 201]",4,2,1
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[0, 52, 500, 333]",2,1,3
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[200, 66, 500, 234]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[165, 33, 465, 201]",0,0,0
k40k_obj_3_farm6_5032_5809289246_e6d8da324e.jpg,"[34, 120, 384, 316]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[111, 0, 486, 375]",3,3,2
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 0, 375, 375]",1,2,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[200, 37, 500, 337]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[259, 74, 484, 299]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[97, 46, 397, 346]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[18, 58, 318, 358]",1,1,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 0, 500, 375]",4,1,1
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 74, 300, 299]",1,2,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[111, 74, 411, 299]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[200, 74, 500, 299]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[105, 15, 405, 240]",1,3,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[58, 127, 358, 352]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[111, 0, 392, 375]",1,2,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 0, 281, 375]",1,3,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[61, 0, 331, 360]",1,1,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[162, 0, 432, 360]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[184, 12, 454, 372]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 37, 500, 318]",2,2,3
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 111, 400, 336]",1,1,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[0, 74, 300, 242]",1,3,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[25, 185, 325, 353]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[38, 13, 388, 209]",0,0,0
k40k_obj_3_farm4_3658_3287148604_1d1604a038.jpg,"[30, 112, 330, 280]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 86, 384, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 168, 298, 424]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[126, 168, 382, 424]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[126, 0, 554, 428]",4,3,1
coco_obj_0_COCO_train2014_000000435688.jpg,"[250, 40, 634, 424]",1,2,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[60, 3, 444, 387]",1,1,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 172, 384, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 86, 498, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[252, 172, 594, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[168, 42, 624, 384]",2,1,3
