name,bbox,score,order_pre,order_final
places_obj_2_topiary_garden_00004153.jpg,"[0, 102, 512, 614]",3,1,2
places_obj_2_topiary_garden_00004153.jpg,"[102, 51, 511, 460]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[102, 102, 409, 409]",1,2,0
places_obj_2_topiary_garden_00004153.jpg,"[56, 222, 414, 580]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[113, 167, 471, 525]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[23, 320, 330, 627]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 51, 512, 435]",1,2,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 153, 512, 537]",1,1,0
places_obj_2_topiary_garden_00004153.jpg,"[102, 102, 409, 332]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[23, 293, 330, 523]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[143, 166, 450, 396]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[73, 293, 482, 599]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 0, 512, 682]",4,2,1
places_obj_2_topiary_garden_00004153.jpg,"[102, 51, 409, 460]",2,1,3
places_obj_2_topiary_garden_00004153.jpg,"[24, 5, 331, 414]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[50, 247, 357, 656]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[185, 91, 492, 500]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[4, 97, 362, 574]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 102, 512, 390]",1,1,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 204, 512, 492]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[0, 0, 512, 288]",1,2,0
places_obj_2_topiary_garden_00004153.jpg,"[94, 221, 452, 422]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[80, 433, 438, 634]",0,0,0
places_obj_2_topiary_garden_00004153.jpg,"[133, 391, 491, 592]",0,0,0
ava_obj_2_689804.jpg,"[0, 80, 320, 400]",2,1,3
ava_obj_2_689804.jpg,"[80, 0, 400, 320]",0,0,0
ava_obj_2_689804.jpg,"[80, 80, 320, 319]",3,2,2
ava_obj_2_689804.jpg,"[40, 160, 280, 399]",0,0,0
ava_obj_2_689804.jpg,"[111, 216, 391, 496]",0,0,0
ava_obj_2_689804.jpg,"[125, 50, 365, 290]",0,0,0
ava_obj_2_689804.jpg,"[0, 40, 400, 340]",1,1,0
ava_obj_2_689804.jpg,"[0, 160, 320, 400]",0,0,0
ava_obj_2_689804.jpg,"[80, 160, 320, 340]",1,2,0
ava_obj_2_689804.jpg,"[111, 44, 391, 254]",0,0,0
ava_obj_2_689804.jpg,"[61, 230, 381, 470]",0,0,0
ava_obj_2_689804.jpg,"[95, 342, 335, 522]",0,0,0
ava_obj_2_689804.jpg,"[0, 0, 320, 426]",0,0,0
ava_obj_2_689804.jpg,"[40, 80, 280, 400]",1,2,0
ava_obj_2_689804.jpg,"[80, 0, 320, 320]",0,0,0
