name,bbox,score,order_pre,order_final
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 96, 323, 419]",1,5,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[32, 0, 290, 258]",1,1,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[32, 64, 225, 257]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 177, 323, 500]",3,4,2
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 96, 193, 289]",1,2,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[111, 1, 304, 194]",1,6,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[128, 0, 321, 145]",1,1,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 64, 258, 257]",1,4,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 128, 323, 370]",1,3,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[32, 96, 225, 241]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 224, 323, 466]",1,2,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[95, 247, 288, 391]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 70, 323, 500]",2,4,3
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[32, 96, 225, 354]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 32, 258, 376]",1,3,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[96, 0, 289, 258]",4,1,1
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 0, 193, 258]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[63, 179, 289, 480]",1,2,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[65, 0, 323, 145]",1,1,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[130, 0, 323, 109]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[0, 96, 323, 277]",1,2,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[64, 128, 257, 237]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[19, 80, 212, 188]",0,0,0
k40k_obj_2_farm1_184_369057111_9f1f09c0d5.jpg,"[13, 279, 239, 406]",1,3,0
ava_obj_1_814499.jpg,"[86, 0, 516, 430]",0,0,0
ava_obj_1_814499.jpg,"[129, 0, 387, 258]",0,0,0
ava_obj_1_814499.jpg,"[0, 0, 344, 344]",1,2,0
ava_obj_1_814499.jpg,"[225, 5, 609, 389]",0,0,0
ava_obj_1_814499.jpg,"[21, 35, 405, 419]",1,1,0
ava_obj_1_814499.jpg,"[168, 38, 552, 422]",0,0,0
ava_obj_1_814499.jpg,"[0, 0, 573, 430]",1,2,0
ava_obj_1_814499.jpg,"[86, 0, 430, 258]",1,1,0
ava_obj_1_814499.jpg,"[129, 43, 473, 301]",0,0,0
ava_obj_1_814499.jpg,"[191, 51, 575, 339]",0,0,0
ava_obj_1_814499.jpg,"[100, 85, 484, 373]",0,0,0
ava_obj_1_814499.jpg,"[4, 78, 388, 366]",0,0,0
ava_obj_1_814499.jpg,"[86, 0, 408, 430]",3,3,2
ava_obj_1_814499.jpg,"[172, 0, 494, 430]",1,2,0
ava_obj_1_814499.jpg,"[215, 0, 408, 258]",4,1,1
ava_obj_1_814499.jpg,"[0, 0, 322, 430]",0,0,0
ava_obj_1_814499.jpg,"[282, 2, 593, 416]",0,0,0
ava_obj_1_814499.jpg,"[229, 14, 540, 428]",0,0,0
ava_obj_1_814499.jpg,"[43, 0, 555, 288]",1,1,0
ava_obj_1_814499.jpg,"[43, 0, 427, 216]",2,2,3
ava_obj_1_814499.jpg,"[215, 0, 599, 216]",0,0,0
ava_obj_1_814499.jpg,"[0, 70, 640, 430]",0,0,0
ava_obj_1_814499.jpg,"[86, 43, 470, 259]",0,0,0
ava_obj_1_814499.jpg,"[175, 132, 623, 384]",0,0,0
ava_obj_3_693490.jpg,"[42, 0, 468, 427]",1,3,0
ava_obj_3_693490.jpg,"[210, 0, 636, 427]",0,0,0
ava_obj_3_693490.jpg,"[168, 42, 509, 383]",0,0,0
ava_obj_3_693490.jpg,"[42, 168, 298, 424]",1,1,0
ava_obj_3_693490.jpg,"[11, 27, 395, 411]",3,2,2
ava_obj_3_693490.jpg,"[113, 18, 497, 402]",0,0,0
ava_obj_3_693490.jpg,"[0, 0, 569, 427]",2,2,3
ava_obj_3_693490.jpg,"[84, 0, 425, 256]",0,0,0
ava_obj_3_693490.jpg,"[168, 0, 623, 341]",0,0,0
ava_obj_3_693490.jpg,"[84, 168, 425, 424]",1,1,0
ava_obj_3_693490.jpg,"[173, 137, 557, 425]",0,0,0
ava_obj_3_693490.jpg,"[143, 83, 527, 371]",0,0,0
ava_obj_3_693490.jpg,"[126, 0, 446, 427]",0,0,0
ava_obj_3_693490.jpg,"[0, 0, 320, 427]",1,2,0
ava_obj_3_693490.jpg,"[210, 0, 530, 427]",0,0,0
ava_obj_3_693490.jpg,"[84, 86, 340, 427]",4,1,1
ava_obj_3_693490.jpg,"[304, 9, 615, 423]",0,0,0
ava_obj_3_693490.jpg,"[69, 12, 380, 426]",1,3,0
ava_obj_3_693490.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_3_693490.jpg,"[42, 84, 554, 372]",1,2,0
ava_obj_3_693490.jpg,"[42, 211, 426, 427]",1,1,0
ava_obj_3_693490.jpg,"[0, 0, 384, 216]",0,0,0
ava_obj_3_693490.jpg,"[129, 31, 577, 283]",0,0,0
ava_obj_3_693490.jpg,"[169, 140, 617, 392]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 0, 512, 512]",1,1,0
places_obj_2_assembly_line_00001419.jpg,"[120, 0, 529, 409]",1,2,0
places_obj_2_assembly_line_00001419.jpg,"[153, 0, 460, 307]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 0, 307, 307]",1,3,0
places_obj_2_assembly_line_00001419.jpg,"[0, 102, 307, 409]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[130, 126, 500, 496]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 0, 529, 396]",2,1,3
places_obj_2_assembly_line_00001419.jpg,"[0, 102, 529, 498]",1,2,0
places_obj_2_assembly_line_00001419.jpg,"[0, 102, 317, 340]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[9, 224, 379, 501]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[19, 151, 389, 428]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[124, 172, 494, 449]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[102, 0, 486, 512]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 0, 384, 512]",4,1,1
places_obj_2_assembly_line_00001419.jpg,"[204, 51, 511, 460]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 102, 230, 409]",1,2,0
places_obj_2_assembly_line_00001419.jpg,"[83, 24, 400, 446]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[141, 23, 458, 445]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 51, 529, 348]",3,1,2
places_obj_2_assembly_line_00001419.jpg,"[102, 0, 525, 238]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[102, 204, 525, 442]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[0, 102, 317, 280]",1,2,0
places_obj_2_assembly_line_00001419.jpg,"[134, 163, 504, 371]",0,0,0
places_obj_2_assembly_line_00001419.jpg,"[22, 174, 392, 382]",0,0,0
ava_obj_0_946087.jpg,"[212, 53, 638, 479]",1,2,0
ava_obj_0_946087.jpg,"[265, 0, 798, 533]",1,1,0
ava_obj_0_946087.jpg,"[53, 0, 586, 533]",0,0,0
ava_obj_0_946087.jpg,"[477, 53, 796, 372]",0,0,0
ava_obj_0_946087.jpg,"[265, 106, 584, 425]",0,0,0
ava_obj_0_946087.jpg,"[14, 29, 494, 509]",0,0,0
ava_obj_0_946087.jpg,"[90, 0, 800, 533]",0,0,0
ava_obj_0_946087.jpg,"[374, 53, 800, 372]",1,2,0
ava_obj_0_946087.jpg,"[53, 0, 621, 426]",0,0,0
ava_obj_0_946087.jpg,"[212, 106, 638, 425]",0,0,0
ava_obj_0_946087.jpg,"[265, 53, 691, 372]",3,1,2
ava_obj_0_946087.jpg,"[35, 124, 515, 484]",0,0,0
ava_obj_0_946087.jpg,"[212, 106, 531, 532]",0,0,0
ava_obj_0_946087.jpg,"[265, 53, 584, 479]",0,0,0
ava_obj_0_946087.jpg,"[265, 106, 504, 425]",1,1,0
ava_obj_0_946087.jpg,"[481, 53, 800, 479]",1,2,0
ava_obj_0_946087.jpg,"[0, 0, 319, 426]",0,0,0
ava_obj_0_946087.jpg,"[93, 12, 481, 529]",0,0,0
ava_obj_0_946087.jpg,"[0, 0, 800, 450]",0,0,0
ava_obj_0_946087.jpg,"[160, 106, 800, 466]",4,1,1
ava_obj_0_946087.jpg,"[320, 53, 800, 323]",2,2,3
ava_obj_0_946087.jpg,"[215, 145, 695, 415]",0,0,0
ava_obj_0_946087.jpg,"[155, 226, 635, 496]",0,0,0
ava_obj_0_946087.jpg,"[17, 15, 497, 285]",0,0,0
ava_obj_3_323635.jpg,"[0, 0, 360, 360]",2,1,3
ava_obj_3_323635.jpg,"[108, 0, 468, 360]",0,0,0
ava_obj_3_323635.jpg,"[36, 144, 252, 360]",0,0,0
ava_obj_3_323635.jpg,"[0, 72, 216, 288]",0,0,0
ava_obj_3_323635.jpg,"[94, 29, 382, 317]",0,0,0
ava_obj_3_323635.jpg,"[168, 0, 456, 288]",1,2,0
ava_obj_3_323635.jpg,"[0, 0, 480, 360]",4,1,1
ava_obj_3_323635.jpg,"[0, 72, 288, 288]",0,0,0
ava_obj_3_323635.jpg,"[72, 0, 360, 216]",1,2,0
ava_obj_3_323635.jpg,"[0, 144, 288, 360]",0,0,0
ava_obj_3_323635.jpg,"[142, 103, 430, 319]",0,0,0
ava_obj_3_323635.jpg,"[59, 25, 395, 277]",0,0,0
ava_obj_3_323635.jpg,"[0, 0, 270, 360]",1,1,0
ava_obj_3_323635.jpg,"[210, 0, 480, 360]",0,0,0
ava_obj_3_323635.jpg,"[108, 0, 378, 360]",1,2,0
ava_obj_3_323635.jpg,"[319, 144, 480, 360]",0,0,0
ava_obj_3_323635.jpg,"[36, 144, 197, 360]",0,0,0
ava_obj_3_323635.jpg,"[58, 6, 317, 351]",0,0,0
ava_obj_3_323635.jpg,"[0, 90, 480, 360]",3,1,2
ava_obj_3_323635.jpg,"[0, 0, 384, 216]",0,0,0
ava_obj_3_323635.jpg,"[0, 72, 384, 288]",0,0,0
ava_obj_3_323635.jpg,"[0, 36, 288, 198]",0,0,0
ava_obj_3_323635.jpg,"[72, 0, 360, 162]",0,0,0
ava_obj_3_323635.jpg,"[43, 184, 331, 346]",1,2,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[0, 144, 384, 528]",1,1,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[96, 192, 384, 480]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[192, 192, 480, 480]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[0, 0, 480, 480]",1,2,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[0, 192, 288, 480]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[56, 22, 392, 358]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[0, 192, 384, 480]",2,3,3
coco_obj_2_COCO_train2014_000000338579.jpg,"[96, 240, 384, 455]",1,2,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[96, 240, 480, 528]",1,1,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[192, 240, 480, 455]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[50, 106, 434, 394]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[76, 141, 364, 357]",0,0,0
coco_obj_2_COCO_train2014_000000338579.jpg,"[0, 96, 384, 608]",4,1,1
coco_obj_2_COCO_train2014_000000338579.jpg,"[96, 192, 384, 576]",1,2,0
