name,bbox,score,order_pre,order_final
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[99, 33, 365, 299]",2,1,3
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[132, 0, 465, 333]",1,2,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[132, 99, 331, 298]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[16, 8, 316, 308]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[194, 0, 494, 300]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[56, 4, 356, 304]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[66, 33, 421, 299]",4,2,1
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[99, 66, 365, 265]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[13, 60, 313, 285]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[151, 16, 451, 241]",1,1,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[10, 0, 310, 225]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[151, 75, 451, 300]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[132, 0, 381, 333]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[66, 0, 315, 333]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[198, 33, 397, 299]",1,2,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[165, 99, 314, 298]",1,1,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[213, 4, 456, 328]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[6, 0, 249, 324]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[66, 66, 366, 234]",3,1,2
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[33, 66, 433, 291]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[33, 0, 433, 225]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[66, 132, 366, 300]",0,0,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[99, 33, 499, 258]",1,2,0
k40k_obj_1_farm1_82_243940507_787fb54a4a.jpg,"[26, 11, 326, 179]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[176, 44, 443, 311]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[132, 88, 488, 444]",4,1,1
coco_obj_0_COCO_train2014_000000038891.jpg,"[44, 90, 400, 446]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[132, 88, 399, 355]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[36, 46, 336, 346]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[141, 2, 491, 352]",1,2,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[132, 88, 432, 313]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[176, 44, 476, 269]",0,0,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[100, 88, 500, 388]",1,1,0
coco_obj_0_COCO_train2014_000000038891.jpg,"[0, 0, 500, 375]",1,2,0
