name,bbox,score,order_pre,order_final
ava_obj_0_499123.jpg,"[210, 0, 636, 426]",0,0,0
ava_obj_0_499123.jpg,"[42, 0, 468, 426]",0,0,0
ava_obj_0_499123.jpg,"[168, 42, 508, 382]",1,2,0
ava_obj_0_499123.jpg,"[5, 14, 389, 398]",0,0,0
ava_obj_0_499123.jpg,"[186, 28, 570, 412]",3,1,2
ava_obj_0_499123.jpg,"[111, 35, 495, 419]",0,0,0
ava_obj_0_499123.jpg,"[0, 0, 568, 426]",0,0,0
ava_obj_0_499123.jpg,"[186, 0, 640, 340]",0,0,0
ava_obj_0_499123.jpg,"[168, 86, 622, 426]",1,1,0
ava_obj_0_499123.jpg,"[126, 84, 466, 339]",2,2,3
ava_obj_0_499123.jpg,"[43, 128, 427, 416]",0,0,0
ava_obj_0_499123.jpg,"[97, 0, 481, 288]",0,0,0
ava_obj_0_499123.jpg,"[168, 0, 487, 426]",1,1,0
ava_obj_0_499123.jpg,"[252, 0, 571, 426]",1,2,0
ava_obj_0_499123.jpg,"[84, 0, 403, 426]",0,0,0
ava_obj_0_499123.jpg,"[0, 0, 319, 426]",0,0,0
ava_obj_0_499123.jpg,"[320, 4, 631, 418]",0,0,0
ava_obj_0_499123.jpg,"[204, 8, 515, 422]",0,0,0
ava_obj_0_499123.jpg,"[42, 84, 554, 372]",1,1,0
ava_obj_0_499123.jpg,"[126, 42, 638, 330]",0,0,0
ava_obj_0_499123.jpg,"[42, 0, 554, 288]",0,0,0
ava_obj_0_499123.jpg,"[42, 84, 426, 300]",0,0,0
ava_obj_0_499123.jpg,"[210, 84, 594, 300]",4,2,1
ava_obj_0_499123.jpg,"[105, 189, 489, 405]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[272, 0, 953, 681]",1,1,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[408, 136, 816, 544]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[408, 273, 816, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[0, 0, 681, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[170, 42, 784, 656]",1,2,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[393, 31, 1007, 645]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[116, 0, 1024, 681]",1,2,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[68, 136, 794, 680]",1,1,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[272, 136, 816, 544]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[272, 273, 816, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[81, 27, 695, 487]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[275, 0, 889, 460]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[272, 0, 782, 681]",2,1,3
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[408, 137, 816, 681]",1,2,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[514, 0, 1024, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[68, 0, 578, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[544, 273, 850, 681]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[397, 1, 894, 663]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[136, 136, 955, 596]",4,2,1
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[136, 0, 955, 460]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[204, 136, 818, 481]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[0, 221, 819, 681]",3,1,2
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[103, 256, 717, 601]",0,0,0
k40k_obj_1_farm3_2614_3720174560_9287bb1fd6_b.jpg,"[405, 100, 1019, 445]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[240, 0, 528, 288]",1,2,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 48, 384, 432]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[240, 0, 624, 384]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 96, 288, 384]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[71, 12, 455, 396]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[161, 24, 545, 408]",1,1,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[256, 0, 640, 288]",3,2,2
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 0, 640, 480]",4,1,1
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 96, 384, 384]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[48, 0, 432, 288]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[237, 151, 621, 439]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[45, 187, 429, 475]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[48, 96, 263, 384]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[48, 0, 408, 480]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[240, 0, 528, 384]",1,1,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 48, 288, 432]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[240, 0, 455, 288]",1,2,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[156, 2, 501, 462]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 0, 640, 360]",2,1,3
coco_obj_2_COCO_train2014_000000331140.jpg,"[256, 0, 640, 216]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[144, 0, 528, 216]",1,2,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[0, 96, 512, 384]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[155, 118, 539, 334]",0,0,0
coco_obj_2_COCO_train2014_000000331140.jpg,"[65, 181, 513, 433]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[160, 0, 640, 480]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[0, 0, 480, 480]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[144, 48, 528, 432]",1,2,0
places_obj_2_train_interior_00002141.jpg,"[336, 144, 624, 432]",2,1,3
places_obj_2_train_interior_00002141.jpg,"[48, 96, 336, 384]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[39, 59, 423, 443]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[0, 0, 640, 480]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[96, 48, 480, 336]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[0, 96, 384, 384]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[240, 48, 624, 336]",1,2,0
places_obj_2_train_interior_00002141.jpg,"[169, 130, 553, 418]",3,1,2
places_obj_2_train_interior_00002141.jpg,"[64, 145, 448, 433]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[280, 0, 640, 480]",1,1,0
places_obj_2_train_interior_00002141.jpg,"[48, 0, 336, 384]",0,0,0
places_obj_2_train_interior_00002141.jpg,"[96, 0, 456, 480]",0,0,0
