name,bbox,score,order_pre,order_final
coco_obj_1_COCO_train2014_000000411669.jpg,"[0, 0, 470, 470]",1,1,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[141, 47, 423, 329]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[141, 0, 517, 376]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[188, 0, 470, 282]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[170, 0, 640, 470]",3,2,2
coco_obj_1_COCO_train2014_000000411669.jpg,"[162, 72, 546, 456]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[0, 0, 626, 470]",4,1,1
coco_obj_1_COCO_train2014_000000411669.jpg,"[94, 0, 469, 282]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[188, 0, 563, 282]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[0, 0, 375, 282]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[27, 113, 411, 401]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[67, 56, 515, 392]",2,2,3
coco_obj_1_COCO_train2014_000000411669.jpg,"[94, 0, 446, 470]",1,1,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[188, 0, 399, 282]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[188, 0, 470, 376]",1,2,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[141, 47, 352, 329]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[0, 0, 352, 470]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[266, 0, 611, 460]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[0, 0, 640, 360]",1,1,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[94, 0, 478, 216]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[141, 47, 525, 263]",1,2,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[20, 157, 468, 409]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[179, 179, 627, 431]",0,0,0
coco_obj_1_COCO_train2014_000000411669.jpg,"[89, 105, 473, 321]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[204, 0, 884, 680]",4,2,1
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[340, 68, 748, 476]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[393, 20, 1007, 634]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[79, 22, 693, 636]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[148, 64, 762, 678]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[308, 4, 922, 618]",1,1,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[204, 68, 929, 612]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[272, 68, 816, 476]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[57, 3, 773, 540]",2,1,3
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[372, 47, 986, 507]",1,2,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[0, 201, 614, 661]",0,0,0
k40k_obj_1_farm4_3294_2939853883_d7e48f166d_b.jpg,"[183, 218, 797, 678]",0,0,0
