name,bbox,score,order_pre,order_final
coco_obj_2_COCO_train2014_000000311254.jpg,"[240, 48, 624, 432]",1,2,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[336, 96, 624, 384]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[74, 13, 522, 461]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[13, 32, 397, 416]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[184, 95, 568, 479]",4,1,1
coco_obj_2_COCO_train2014_000000311254.jpg,"[179, 0, 563, 384]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[240, 96, 624, 384]",1,2,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[128, 48, 640, 432]",1,1,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[192, 48, 576, 336]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[244, 180, 628, 468]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[117, 168, 501, 456]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[63, 53, 447, 341]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[336, 48, 624, 432]",3,2,2
coco_obj_2_COCO_train2014_000000311254.jpg,"[336, 96, 551, 384]",1,1,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[240, 48, 528, 432]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[149, 4, 494, 464]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[39, 0, 384, 460]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[260, 3, 605, 463]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[128, 96, 640, 384]",1,1,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[240, 192, 624, 408]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[256, 96, 640, 312]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[48, 48, 560, 336]",2,2,3
coco_obj_2_COCO_train2014_000000311254.jpg,"[0, 120, 640, 480]",0,0,0
coco_obj_2_COCO_train2014_000000311254.jpg,"[176, 5, 560, 221]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[0, 0, 495, 495]",1,1,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[0, 145, 495, 640]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[147, 294, 444, 591]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[198, 245, 495, 542]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[44, 128, 390, 474]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[135, 217, 432, 514]",3,2,2
coco_obj_0_COCO_train2014_000000320014.jpg,"[99, 294, 495, 591]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[0, 0, 495, 371]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[49, 245, 445, 542]",1,1,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[147, 343, 444, 565]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[98, 294, 395, 516]",1,2,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[5, 120, 401, 417]",0,0,0
coco_obj_0_COCO_train2014_000000320014.jpg,"[15, 0, 495, 640]",4,1,1
coco_obj_0_COCO_train2014_000000320014.jpg,"[207, 196, 495, 580]",0,0,0
