name,bbox,score,order_pre,order_final
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 0, 334, 335]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[297, 33, 497, 234]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[232, 0, 500, 268]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[89, 24, 389, 324]",1,3,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[166, 12, 466, 312]",1,2,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[123, 3, 423, 303]",3,2,2
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[33, 0, 479, 335]",2,3,3
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 0, 357, 268]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[143, 0, 500, 268]",1,2,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[33, 66, 300, 267]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 33, 267, 234]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[109, 7, 409, 232]",1,1,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[33, 0, 284, 335]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[299, 0, 500, 268]",1,2,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[350, 33, 500, 234]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 33, 201, 301]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[99, 0, 300, 268]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[159, 9, 402, 333]",1,1,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 33, 500, 314]",4,1,1
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[33, 0, 433, 225]",1,2,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[0, 33, 300, 201]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[200, 66, 500, 234]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[56, 112, 356, 280]",0,0,0
k40k_obj_1_farm3_2257_5757216046_c470c75cb5.jpg,"[13, 76, 313, 244]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 200, 508, 708]",4,1,1
places_obj_2_orchard_00002461.jpg,"[0, 150, 406, 556]",0,0,0
places_obj_2_orchard_00002461.jpg,"[50, 200, 354, 504]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 0, 508, 508]",1,2,0
places_obj_2_orchard_00002461.jpg,"[15, 366, 370, 721]",0,0,0
places_obj_2_orchard_00002461.jpg,"[122, 367, 426, 671]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 200, 406, 504]",1,2,0
places_obj_2_orchard_00002461.jpg,"[50, 200, 354, 428]",0,0,0
places_obj_2_orchard_00002461.jpg,"[100, 150, 506, 454]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 250, 508, 631]",2,1,3
places_obj_2_orchard_00002461.jpg,"[0, 100, 406, 404]",0,0,0
places_obj_2_orchard_00002461.jpg,"[73, 313, 428, 579]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 89, 508, 766]",3,2,2
places_obj_2_orchard_00002461.jpg,"[50, 150, 354, 556]",0,0,0
places_obj_2_orchard_00002461.jpg,"[50, 50, 456, 591]",1,1,0
places_obj_2_orchard_00002461.jpg,"[56, 292, 411, 765]",0,0,0
places_obj_2_orchard_00002461.jpg,"[29, 198, 384, 671]",0,0,0
places_obj_2_orchard_00002461.jpg,"[203, 193, 507, 598]",0,0,0
places_obj_2_orchard_00002461.jpg,"[0, 200, 508, 485]",1,2,0
places_obj_2_orchard_00002461.jpg,"[0, 150, 406, 378]",1,1,0
places_obj_2_orchard_00002461.jpg,"[50, 200, 354, 371]",0,0,0
places_obj_2_orchard_00002461.jpg,"[59, 265, 363, 436]",0,0,0
places_obj_2_orchard_00002461.jpg,"[2, 397, 357, 596]",0,0,0
places_obj_2_orchard_00002461.jpg,"[83, 76, 438, 275]",0,0,0
ava_obj_1_861821.jpg,"[53, 106, 372, 425]",1,1,0
ava_obj_1_861821.jpg,"[0, 0, 425, 425]",1,2,0
ava_obj_1_861821.jpg,"[0, 53, 319, 372]",0,0,0
ava_obj_1_861821.jpg,"[0, 106, 532, 638]",4,3,1
ava_obj_1_861821.jpg,"[144, 419, 516, 791]",0,0,0
ava_obj_1_861821.jpg,"[202, 297, 521, 616]",0,0,0
ava_obj_1_861821.jpg,"[0, 106, 425, 425]",3,3,2
ava_obj_1_861821.jpg,"[53, 106, 372, 345]",1,2,0
ava_obj_1_861821.jpg,"[0, 0, 425, 319]",0,0,0
