name,bbox,score,order_pre,order_final
ava_obj_3_539548.jpg,"[42, 84, 378, 420]",3,2,2
ava_obj_3_539548.jpg,"[84, 0, 504, 420]",0,0,0
ava_obj_3_539548.jpg,"[0, 168, 252, 420]",1,1,0
ava_obj_3_539548.jpg,"[210, 0, 630, 420]",0,0,0
ava_obj_3_539548.jpg,"[168, 84, 420, 336]",0,0,0
ava_obj_3_539548.jpg,"[5, 1, 389, 385]",0,0,0
ava_obj_3_539548.jpg,"[42, 0, 602, 420]",1,2,0
ava_obj_3_539548.jpg,"[0, 84, 448, 420]",2,1,3
ava_obj_3_539548.jpg,"[42, 126, 378, 378]",0,0,0
ava_obj_3_539548.jpg,"[84, 168, 420, 420]",0,0,0
ava_obj_3_539548.jpg,"[11, 7, 395, 295]",0,0,0
ava_obj_3_539548.jpg,"[178, 24, 562, 312]",0,0,0
ava_obj_3_539548.jpg,"[84, 0, 399, 420]",1,2,0
ava_obj_3_539548.jpg,"[84, 168, 273, 420]",0,0,0
ava_obj_3_539548.jpg,"[0, 84, 252, 420]",4,1,1
ava_obj_3_539548.jpg,"[168, 42, 420, 378]",0,0,0
ava_obj_3_539548.jpg,"[278, 3, 589, 417]",0,0,0
ava_obj_3_539548.jpg,"[194, 5, 505, 419]",0,0,0
ava_obj_3_539548.jpg,"[0, 126, 512, 414]",1,1,0
ava_obj_3_539548.jpg,"[0, 126, 384, 341]",0,0,0
ava_obj_3_539548.jpg,"[0, 205, 384, 420]",0,0,0
ava_obj_3_539548.jpg,"[0, 0, 640, 360]",1,2,0
ava_obj_3_539548.jpg,"[126, 84, 638, 372]",0,0,0
ava_obj_3_539548.jpg,"[162, 187, 546, 403]",0,0,0
ava_obj_3_782723.jpg,"[0, 0, 697, 697]",0,0,0
ava_obj_3_782723.jpg,"[0, 207, 418, 625]",0,0,0
ava_obj_3_782723.jpg,"[0, 0, 418, 418]",1,1,0
ava_obj_3_782723.jpg,"[276, 138, 694, 556]",0,0,0
ava_obj_3_782723.jpg,"[34, 30, 521, 517]",1,2,0
ava_obj_3_782723.jpg,"[240, 227, 658, 645]",0,0,0
ava_obj_3_782723.jpg,"[0, 0, 697, 522]",1,1,0
ava_obj_3_782723.jpg,"[0, 178, 697, 700]",0,0,0
ava_obj_3_782723.jpg,"[69, 0, 487, 313]",0,0,0
ava_obj_3_782723.jpg,"[0, 207, 418, 520]",3,2,2
ava_obj_3_782723.jpg,"[276, 207, 694, 520]",0,0,0
ava_obj_3_782723.jpg,"[102, 271, 520, 584]",0,0,0
ava_obj_3_782723.jpg,"[138, 0, 663, 700]",1,2,0
ava_obj_3_782723.jpg,"[0, 0, 420, 560]",4,1,1
ava_obj_3_782723.jpg,"[277, 140, 697, 700]",0,0,0
ava_obj_3_782723.jpg,"[382, 69, 697, 489]",0,0,0
ava_obj_3_782723.jpg,"[0, 207, 315, 627]",0,0,0
ava_obj_3_782723.jpg,"[80, 99, 498, 656]",0,0,0
ava_obj_3_782723.jpg,"[69, 0, 487, 235]",0,0,0
ava_obj_3_782723.jpg,"[0, 0, 697, 392]",0,0,0
ava_obj_3_782723.jpg,"[276, 207, 694, 442]",0,0,0
ava_obj_3_782723.jpg,"[0, 276, 418, 511]",2,1,3
ava_obj_3_782723.jpg,"[0, 207, 697, 599]",1,2,0
ava_obj_3_782723.jpg,"[132, 237, 550, 472]",0,0,0
places_obj_1_martial_arts_gym_00000369.jpg,"[0, 153, 512, 665]",4,1,1
