name,bbox,score,order_pre,order_final
ava_obj_3_722853.jpg,"[42, 0, 466, 424]",3,1,2
ava_obj_3_722853.jpg,"[84, 42, 338, 296]",2,2,3
ava_obj_3_722853.jpg,"[126, 0, 380, 254]",0,0,0
ava_obj_3_722853.jpg,"[0, 0, 339, 339]",0,0,0
ava_obj_3_722853.jpg,"[233, 24, 617, 408]",0,0,0
ava_obj_3_722853.jpg,"[148, 4, 532, 388]",0,0,0
ava_obj_3_722853.jpg,"[42, 42, 381, 296]",1,1,0
ava_obj_3_722853.jpg,"[0, 0, 452, 339]",1,2,0
ava_obj_3_722853.jpg,"[75, 0, 640, 424]",0,0,0
ava_obj_3_722853.jpg,"[126, 0, 465, 254]",0,0,0
ava_obj_3_722853.jpg,"[152, 87, 536, 375]",0,0,0
ava_obj_3_722853.jpg,"[190, 3, 574, 291]",0,0,0
ava_obj_3_722853.jpg,"[42, 0, 360, 424]",1,2,0
ava_obj_3_722853.jpg,"[126, 0, 316, 254]",1,1,0
ava_obj_3_722853.jpg,"[126, 0, 444, 424]",0,0,0
ava_obj_3_722853.jpg,"[168, 42, 358, 296]",0,0,0
ava_obj_3_722853.jpg,"[270, 6, 581, 420]",0,0,0
ava_obj_3_722853.jpg,"[200, 1, 511, 415]",0,0,0
ava_obj_3_722853.jpg,"[42, 42, 426, 258]",1,2,0
ava_obj_3_722853.jpg,"[0, 0, 512, 288]",1,1,0
ava_obj_3_722853.jpg,"[0, 42, 640, 402]",4,3,1
ava_obj_3_722853.jpg,"[0, 0, 384, 216]",0,0,0
ava_obj_3_722853.jpg,"[131, 201, 515, 417]",0,0,0
ava_obj_3_722853.jpg,"[244, 28, 628, 244]",0,0,0
coco_obj_2_COCO_train2014_000000117770.jpg,"[72, 36, 360, 324]",3,1,2
coco_obj_2_COCO_train2014_000000117770.jpg,"[108, 36, 324, 252]",0,0,0
coco_obj_2_COCO_train2014_000000117770.jpg,"[72, 0, 288, 216]",0,0,0
coco_obj_2_COCO_train2014_000000117770.jpg,"[108, 0, 468, 360]",1,3,0
