name,bbox,score,order_pre,order_final
places_obj_0_bowling_alley_00004254.jpg,"[102, 0, 511, 409]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[204, 51, 511, 358]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[153, 0, 665, 512]",1,2,0
places_obj_0_bowling_alley_00004254.jpg,"[153, 0, 460, 307]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[19, 47, 428, 456]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[273, 88, 682, 497]",1,1,0
places_obj_0_bowling_alley_00004254.jpg,"[51, 0, 597, 409]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[102, 0, 511, 307]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[204, 51, 613, 358]",2,2,3
places_obj_0_bowling_alley_00004254.jpg,"[131, 114, 609, 472]",4,1,1
places_obj_0_bowling_alley_00004254.jpg,"[58, 89, 467, 395]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[24, 195, 433, 501]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[204, 0, 511, 409]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[255, 51, 485, 358]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[306, 51, 613, 460]",1,2,0
places_obj_0_bowling_alley_00004254.jpg,"[0, 0, 307, 409]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[66, 6, 434, 496]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[214, 11, 582, 501]",1,1,0
places_obj_0_bowling_alley_00004254.jpg,"[0, 0, 683, 384]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[204, 51, 613, 281]",3,1,2
places_obj_0_bowling_alley_00004254.jpg,"[153, 102, 562, 332]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[102, 102, 648, 409]",1,2,0
places_obj_0_bowling_alley_00004254.jpg,"[75, 139, 484, 369]",0,0,0
places_obj_0_bowling_alley_00004254.jpg,"[37, 93, 446, 323]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[255, 204, 562, 511]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[204, 102, 613, 511]",4,2,1
places_obj_1_rope_bridge_00003180.jpg,"[204, 153, 511, 460]",3,1,2
places_obj_1_rope_bridge_00003180.jpg,"[153, 205, 460, 512]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[32, 12, 495, 475]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[279, 16, 742, 479]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[204, 103, 750, 512]",1,2,0
places_obj_1_rope_bridge_00003180.jpg,"[153, 205, 562, 512]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[204, 153, 613, 460]",2,1,3
places_obj_1_rope_bridge_00003180.jpg,"[255, 204, 664, 511]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[51, 51, 597, 460]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[173, 18, 636, 365]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[255, 205, 485, 512]",1,2,0
places_obj_1_rope_bridge_00003180.jpg,"[204, 0, 588, 512]",1,1,0
places_obj_1_rope_bridge_00003180.jpg,"[153, 102, 460, 511]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[357, 204, 587, 511]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[255, 102, 485, 409]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[309, 9, 684, 509]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[0, 78, 772, 512]",1,2,0
places_obj_1_rope_bridge_00003180.jpg,"[204, 204, 667, 464]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[155, 51, 772, 398]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[153, 252, 616, 512]",1,1,0
places_obj_1_rope_bridge_00003180.jpg,"[57, 129, 597, 432]",0,0,0
places_obj_1_rope_bridge_00003180.jpg,"[118, 9, 581, 269]",0,0,0
places_obj_3_campus_00000922.jpg,"[204, 0, 716, 512]",2,1,3
places_obj_3_campus_00000922.jpg,"[0, 0, 512, 512]",0,0,0
places_obj_3_campus_00000922.jpg,"[362, 102, 771, 511]",0,0,0
places_obj_3_campus_00000922.jpg,"[408, 153, 715, 460]",1,2,0
places_obj_3_campus_00000922.jpg,"[153, 51, 562, 460]",0,0,0
places_obj_3_campus_00000922.jpg,"[295, 9, 757, 471]",0,0,0
places_obj_3_campus_00000922.jpg,"[51, 0, 733, 512]",1,2,0
places_obj_3_campus_00000922.jpg,"[204, 153, 613, 460]",0,0,0
places_obj_3_campus_00000922.jpg,"[0, 51, 546, 460]",0,0,0
places_obj_3_campus_00000922.jpg,"[362, 102, 771, 409]",3,1,2
places_obj_3_campus_00000922.jpg,"[46, 1, 508, 347]",0,0,0
places_obj_3_campus_00000922.jpg,"[13, 162, 475, 508]",0,0,0
places_obj_3_campus_00000922.jpg,"[408, 102, 715, 511]",1,2,0
places_obj_3_campus_00000922.jpg,"[153, 0, 537, 512]",0,0,0
places_obj_3_campus_00000922.jpg,"[0, 0, 384, 512]",0,0,0
places_obj_3_campus_00000922.jpg,"[357, 0, 664, 409]",0,0,0
places_obj_3_campus_00000922.jpg,"[255, 0, 639, 512]",0,0,0
places_obj_3_campus_00000922.jpg,"[385, 2, 759, 500]",1,1,0
places_obj_3_campus_00000922.jpg,"[102, 153, 718, 499]",4,2,1
places_obj_3_campus_00000922.jpg,"[204, 153, 666, 413]",0,0,0
places_obj_3_campus_00000922.jpg,"[0, 51, 771, 484]",1,1,0
places_obj_3_campus_00000922.jpg,"[153, 204, 615, 464]",0,0,0
places_obj_3_campus_00000922.jpg,"[298, 71, 760, 330]",0,0,0
places_obj_3_campus_00000922.jpg,"[6, 109, 545, 412]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[0, 0, 331, 332]",1,1,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[132, 0, 463, 332]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[231, 67, 496, 332]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[132, 0, 331, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[66, 0, 265, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[79, 20, 379, 320]",2,2,3
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[0, 0, 442, 332]",3,1,2
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[0, 0, 265, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[99, 0, 364, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[132, 33, 486, 298]",1,2,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[235, 0, 500, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[43, 78, 343, 303]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[33, 0, 282, 332]",1,2,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[99, 0, 348, 332]",1,1,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[99, 0, 248, 199]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[231, 0, 480, 332]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[301, 67, 500, 332]",0,0,0
k40k_obj_1_farm5_4151_5010034445_ba9c30146e.jpg,"[171, 7, 414, 331]",0,0,0
