name,bbox,score,order_pre,order_final
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[132, 67, 398, 333]",1,2,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[33, 0, 366, 333]",3,3,2
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[165, 99, 364, 298]",1,1,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[198, 66, 397, 265]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[192, 20, 492, 320]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[109, 5, 409, 305]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[99, 66, 454, 332]",1,2,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[132, 66, 398, 265]",4,1,1
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[198, 99, 464, 298]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[66, 99, 332, 298]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[3, 62, 303, 287]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[43, 36, 393, 298]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[132, 0, 381, 333]",1,2,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[198, 66, 397, 332]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[198, 66, 347, 265]",1,3,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[66, 0, 315, 333]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[165, 99, 314, 298]",2,1,3
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[7, 4, 250, 328]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[66, 99, 466, 324]",1,2,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[0, 66, 400, 291]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[132, 99, 432, 267]",1,1,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[0, 0, 500, 281]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[99, 66, 399, 234]",0,0,0
k40k_obj_2_farm1_179_485815377_6c1c1f1182.jpg,"[144, 1, 494, 197]",0,0,0
ava_obj_2_502682.jpg,"[0, 84, 426, 510]",1,1,0
ava_obj_2_502682.jpg,"[42, 42, 382, 382]",0,0,0
ava_obj_2_502682.jpg,"[84, 84, 339, 339]",0,0,0
ava_obj_2_502682.jpg,"[42, 126, 297, 381]",1,2,0
ava_obj_2_502682.jpg,"[109, 328, 364, 583]",0,0,0
ava_obj_2_502682.jpg,"[74, 260, 329, 515]",3,3,2
ava_obj_2_502682.jpg,"[42, 84, 382, 339]",0,0,0
ava_obj_2_502682.jpg,"[84, 126, 339, 317]",0,0,0
ava_obj_2_502682.jpg,"[84, 42, 424, 297]",0,0,0
ava_obj_2_502682.jpg,"[42, 84, 297, 275]",1,1,0
ava_obj_2_502682.jpg,"[0, 126, 426, 445]",1,2,0
ava_obj_2_502682.jpg,"[145, 353, 400, 544]",1,3,0
ava_obj_2_502682.jpg,"[0, 0, 426, 568]",0,0,0
ava_obj_2_502682.jpg,"[42, 126, 297, 466]",4,3,1
ava_obj_2_502682.jpg,"[84, 42, 339, 382]",1,2,0
ava_obj_2_502682.jpg,"[40, 226, 295, 566]",0,0,0
ava_obj_2_502682.jpg,"[101, 139, 399, 536]",2,3,3
ava_obj_2_502682.jpg,"[132, 263, 387, 603]",0,0,0
ava_obj_2_502682.jpg,"[42, 126, 382, 317]",0,0,0
ava_obj_2_502682.jpg,"[84, 126, 339, 269]",1,1,0
ava_obj_2_502682.jpg,"[0, 42, 426, 281]",0,0,0
ava_obj_2_502682.jpg,"[0, 126, 255, 269]",0,0,0
ava_obj_2_502682.jpg,"[33, 429, 373, 620]",1,3,0
ava_obj_2_502682.jpg,"[124, 301, 379, 444]",1,2,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[200, 37, 500, 337]",2,3,3
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[259, 37, 484, 262]",1,1,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[111, 0, 486, 375]",1,2,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[0, 37, 300, 337]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[79, 67, 379, 367]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[62, 3, 362, 303]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[74, 37, 474, 337]",1,3,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[200, 37, 500, 262]",4,1,1
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[12, 5, 312, 230]",1,2,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[124, 101, 424, 326]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[113, 13, 413, 238]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[105, 147, 405, 372]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[219, 0, 500, 375]",1,2,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[259, 37, 427, 262]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[74, 74, 299, 374]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[185, 37, 410, 337]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[12, 0, 282, 360]",3,1,2
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[94, 1, 364, 361]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[74, 37, 474, 262]",1,2,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[200, 37, 500, 205]",1,3,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[185, 74, 485, 242]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[0, 94, 500, 375]",1,1,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[53, 126, 403, 322]",0,0,0
k40k_obj_1_farm7_6094_6405841101_37b6402233.jpg,"[122, 58, 422, 226]",0,0,0
ava_obj_2_559561.jpg,"[112, 0, 565, 453]",0,0,0
ava_obj_2_559561.jpg,"[114, 112, 567, 565]",1,2,0
ava_obj_2_559561.jpg,"[0, 112, 453, 565]",1,1,0
ava_obj_2_559561.jpg,"[56, 299, 396, 639]",3,3,2
ava_obj_2_559561.jpg,"[112, 0, 452, 340]",0,0,0
ava_obj_2_559561.jpg,"[23, 41, 419, 437]",0,0,0
ava_obj_2_559561.jpg,"[0, 0, 567, 425]",0,0,0
ava_obj_2_559561.jpg,"[0, 112, 567, 537]",4,2,1
ava_obj_2_559561.jpg,"[56, 384, 396, 639]",1,3,0
ava_obj_2_559561.jpg,"[114, 224, 567, 564]",0,0,0
ava_obj_2_559561.jpg,"[124, 167, 464, 422]",1,1,0
ava_obj_2_559561.jpg,"[192, 205, 532, 460]",0,0,0
ava_obj_2_559561.jpg,"[88, 0, 567, 639]",1,4,0
ava_obj_2_559561.jpg,"[56, 0, 439, 511]",1,2,0
ava_obj_2_559561.jpg,"[112, 0, 399, 383]",0,0,0
ava_obj_2_559561.jpg,"[124, 173, 464, 626]",0,0,0
ava_obj_2_559561.jpg,"[213, 169, 553, 622]",1,1,0
ava_obj_2_559561.jpg,"[226, 46, 566, 499]",1,3,0
ava_obj_2_559561.jpg,"[0, 0, 567, 318]",1,4,0
ava_obj_2_559561.jpg,"[0, 112, 567, 430]",2,1,3
ava_obj_2_559561.jpg,"[0, 224, 567, 542]",1,2,0
ava_obj_2_559561.jpg,"[0, 321, 567, 639]",1,3,0
ava_obj_2_559561.jpg,"[139, 60, 535, 282]",0,0,0
ava_obj_2_559561.jpg,"[146, 147, 486, 338]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 74, 375, 449]",1,1,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[74, 37, 374, 337]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[75, 185, 375, 485]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[111, 148, 336, 372]",1,2,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[126, 5, 351, 230]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[140, 54, 365, 279]",1,3,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 148, 375, 429]",2,1,3
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 37, 375, 318]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[74, 111, 374, 336]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[111, 185, 336, 353]",3,2,2
coco_obj_1_COCO_train2014_000000298017.jpg,"[51, 29, 313, 225]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[20, 137, 245, 305]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 0, 375, 500]",4,3,1
coco_obj_1_COCO_train2014_000000298017.jpg,"[111, 111, 336, 411]",1,1,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[93, 53, 318, 353]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[58, 129, 320, 478]",1,2,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[10, 173, 235, 473]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[10, 82, 235, 382]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 185, 375, 395]",1,1,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 111, 375, 321]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[0, 37, 375, 247]",1,2,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[112, 225, 337, 351]",0,0,0
coco_obj_1_COCO_train2014_000000298017.jpg,"[135, 283, 360, 409]",0,0,0
