name,bbox,score,order_pre,order_final
coco_obj_3_COCO_train2014_000000501364.jpg,"[125, 0, 500, 375]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[0, 0, 375, 375]",1,2,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[111, 37, 411, 337]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[179, 66, 479, 366]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[23, 48, 323, 348]",1,1,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[147, 4, 447, 304]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[0, 0, 500, 375]",1,2,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[74, 37, 374, 262]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[200, 37, 500, 262]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[37, 74, 337, 299]",3,1,2
coco_obj_3_COCO_train2014_000000501364.jpg,"[119, 86, 419, 311]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[46, 140, 346, 365]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[111, 0, 392, 375]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[219, 0, 500, 375]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[37, 0, 318, 375]",2,1,3
coco_obj_3_COCO_train2014_000000501364.jpg,"[332, 0, 500, 225]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[175, 14, 445, 374]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[8, 5, 278, 365]",1,2,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[0, 0, 500, 281]",1,1,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[0, 74, 400, 299]",4,2,1
coco_obj_3_COCO_train2014_000000501364.jpg,"[200, 37, 500, 205]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[130, 153, 430, 321]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[171, 0, 471, 168]",0,0,0
coco_obj_3_COCO_train2014_000000501364.jpg,"[56, 74, 356, 242]",0,0,0
k40k_obj_0_farm3_2707_4095041216_94f7f82af6.jpg,"[0, 0, 333, 333]",2,1,3
k40k_obj_0_farm3_2707_4095041216_94f7f82af6.jpg,"[0, 134, 199, 333]",1,2,0
k40k_obj_0_farm3_2707_4095041216_94f7f82af6.jpg,"[165, 0, 498, 333]",0,0,0
k40k_obj_0_farm3_2707_4095041216_94f7f82af6.jpg,"[132, 33, 398, 299]",0,0,0
