name,bbox,score,order_pre,order_final
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 0, 465, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 67, 266, 333]",1,1,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 134, 331, 333]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 0, 266, 266]",1,3,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[66, 66, 332, 332]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[82, 9, 382, 309]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 66, 487, 332]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 134, 266, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 134, 398, 333]",2,2,3
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[33, 67, 388, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 66, 266, 265]",4,1,1
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[21, 18, 321, 243]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 66, 149, 265]",3,2,2
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[165, 134, 314, 333]",1,3,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 33, 199, 299]",1,1,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 67, 331, 333]",1,4,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[165, 0, 414, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[53, 6, 296, 330]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[132, 165, 432, 333]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 108, 400, 333]",1,1,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 132, 300, 300]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[0, 0, 500, 281]",1,2,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[79, 80, 379, 248]",0,0,0
k40k_obj_3_farm6_5458_8950916115_c3f2c34a80.jpg,"[27, 15, 327, 183]",0,0,0
ava_obj_3_2428.jpg,"[96, 0, 576, 480]",2,2,3
ava_obj_3_2428.jpg,"[192, 0, 480, 288]",1,1,0
ava_obj_3_2428.jpg,"[144, 48, 432, 336]",0,0,0
ava_obj_3_2428.jpg,"[61, 81, 445, 465]",0,0,0
ava_obj_3_2428.jpg,"[26, 7, 410, 391]",1,3,0
ava_obj_3_2428.jpg,"[251, 30, 635, 414]",0,0,0
ava_obj_3_2428.jpg,"[0, 0, 640, 480]",4,1,1
ava_obj_3_2428.jpg,"[96, 0, 480, 288]",1,2,0
ava_obj_3_2428.jpg,"[144, 48, 528, 336]",0,0,0
ava_obj_3_2428.jpg,"[27, 156, 411, 444]",0,0,0
ava_obj_3_2428.jpg,"[77, 125, 525, 461]",0,0,0
ava_obj_3_2428.jpg,"[190, 1, 638, 337]",1,3,0
ava_obj_3_2428.jpg,"[144, 0, 504, 480]",1,1,0
ava_obj_3_2428.jpg,"[240, 0, 455, 288]",0,0,0
ava_obj_3_2428.jpg,"[240, 0, 528, 384]",0,0,0
ava_obj_3_2428.jpg,"[192, 48, 407, 336]",0,0,0
ava_obj_3_2428.jpg,"[69, 16, 414, 476]",3,2,2
ava_obj_3_2428.jpg,"[274, 3, 619, 463]",0,0,0
ava_obj_3_2428.jpg,"[0, 0, 640, 360]",1,1,0
ava_obj_3_2428.jpg,"[96, 96, 480, 312]",0,0,0
ava_obj_3_2428.jpg,"[0, 96, 640, 456]",1,2,0
ava_obj_3_2428.jpg,"[192, 48, 576, 264]",0,0,0
ava_obj_3_2428.jpg,"[7, 147, 391, 363]",0,0,0
ava_obj_3_2428.jpg,"[225, 140, 609, 356]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 66, 267, 333]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 66, 200, 266]",1,1,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[66, 0, 400, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[193, 29, 493, 329]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[9, 0, 309, 300]",1,3,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[138, 13, 438, 313]",3,2,2
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 33, 356, 300]",2,3,3
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 66, 267, 266]",1,1,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[55, 0, 500, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[66, 33, 333, 233]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[132, 66, 399, 266]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[184, 30, 484, 255]",1,2,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 0, 250, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[66, 0, 316, 334]",1,2,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[132, 0, 382, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 66, 150, 266]",1,1,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[198, 0, 448, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[252, 8, 495, 332]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 33, 400, 258]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 66, 300, 234]",4,2,1
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[132, 66, 432, 234]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[100, 0, 500, 225]",1,1,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[0, 53, 500, 334]",0,0,0
k40k_obj_0_farm8_7188_7109070569_08ab758b61.jpg,"[189, 87, 489, 255]",0,0,0
ava_obj_1_504458.jpg,"[132, 0, 571, 440]",1,3,0
ava_obj_1_504458.jpg,"[264, 0, 703, 440]",0,0,0
ava_obj_1_504458.jpg,"[88, 0, 440, 352]",0,0,0
ava_obj_1_504458.jpg,"[368, 88, 720, 440]",0,0,0
ava_obj_1_504458.jpg,"[176, 0, 440, 264]",1,1,0
ava_obj_1_504458.jpg,"[40, 5, 472, 437]",1,2,0
ava_obj_1_504458.jpg,"[0, 0, 586, 440]",4,1,1
ava_obj_1_504458.jpg,"[176, 44, 645, 396]",3,3,2
ava_obj_1_504458.jpg,"[176, 44, 527, 308]",0,0,0
ava_obj_1_504458.jpg,"[62, 15, 494, 339]",0,0,0
ava_obj_1_504458.jpg,"[281, 90, 713, 414]",1,2,0
ava_obj_1_504458.jpg,"[112, 86, 544, 410]",0,0,0
ava_obj_1_504458.jpg,"[176, 0, 506, 440]",2,1,3
ava_obj_1_504458.jpg,"[264, 0, 594, 440]",1,2,0
ava_obj_1_504458.jpg,"[88, 0, 418, 440]",0,0,0
ava_obj_1_504458.jpg,"[352, 0, 682, 440]",0,0,0
ava_obj_1_504458.jpg,"[440, 88, 704, 440]",0,0,0
ava_obj_1_504458.jpg,"[3, 19, 317, 437]",0,0,0
ava_obj_1_504458.jpg,"[0, 35, 720, 440]",1,4,0
ava_obj_1_504458.jpg,"[0, 0, 576, 324]",1,3,0
ava_obj_1_504458.jpg,"[132, 0, 564, 243]",0,0,0
ava_obj_1_504458.jpg,"[44, 44, 476, 287]",0,0,0
ava_obj_1_504458.jpg,"[264, 132, 696, 375]",1,1,0
ava_obj_1_504458.jpg,"[153, 31, 657, 314]",1,2,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[144, 0, 624, 480]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[96, 0, 384, 288]",3,1,2
coco_obj_0_COCO_train2014_000000162237.jpg,"[192, 48, 480, 336]",1,3,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[48, 0, 432, 384]",1,2,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[92, 73, 476, 457]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[168, 56, 552, 440]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[48, 0, 560, 384]",2,2,3
coco_obj_0_COCO_train2014_000000162237.jpg,"[144, 0, 528, 288]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[96, 48, 480, 336]",1,1,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[128, 96, 640, 480]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[96, 144, 480, 432]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[9, 102, 393, 390]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[192, 0, 552, 480]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[144, 0, 359, 288]",4,1,1
coco_obj_0_COCO_train2014_000000162237.jpg,"[144, 0, 432, 384]",1,3,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[192, 48, 407, 336]",1,2,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[54, 8, 399, 468]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[287, 15, 632, 475]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[96, 96, 480, 312]",1,1,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[48, 0, 560, 288]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[0, 144, 512, 432]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[128, 96, 640, 384]",1,2,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[159, 4, 543, 220]",0,0,0
coco_obj_0_COCO_train2014_000000162237.jpg,"[141, 206, 525, 422]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 132, 299, 398]",1,1,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 99, 232, 298]",1,4,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[0, 33, 333, 366]",1,3,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[66, 132, 265, 331]",3,2,2
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[64, 194, 330, 460]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[28, 33, 261, 266]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[0, 99, 266, 298]",1,3,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 132, 299, 331]",1,1,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 132, 232, 281]",1,2,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 198, 299, 397]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 66, 299, 265]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[4, 40, 203, 189]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 99, 299, 454]",2,2,3
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 132, 232, 398]",4,1,1
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[101, 224, 300, 489]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[93, 38, 326, 348]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[39, 15, 238, 280]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[14, 49, 247, 359]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[0, 132, 266, 281]",1,1,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 132, 232, 244]",1,2,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[33, 198, 299, 347]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[38, 49, 237, 160]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[50, 282, 316, 431]",0,0,0
k40k_obj_1_farm4_3248_2757394271_9d22cc7774.jpg,"[77, 59, 276, 170]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[96, 0, 576, 480]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[0, 0, 384, 384]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[256, 48, 640, 432]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[58, 46, 442, 430]",1,2,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[114, 6, 498, 390]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[137, 72, 521, 456]",4,1,1
coco_obj_3_COCO_train2014_000000143095.jpg,"[0, 0, 640, 480]",1,1,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[144, 0, 528, 288]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[144, 144, 528, 432]",3,3,2
coco_obj_3_COCO_train2014_000000143095.jpg,"[218, 120, 602, 408]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[116, 62, 500, 350]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[36, 168, 420, 456]",1,2,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[144, 0, 504, 480]",2,1,3
coco_obj_3_COCO_train2014_000000143095.jpg,"[240, 0, 600, 480]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[48, 0, 336, 384]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[64, 15, 409, 475]",1,2,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[0, 16, 345, 476]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[199, 16, 544, 476]",1,3,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[0, 0, 640, 360]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[128, 192, 640, 480]",1,2,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[0, 144, 512, 432]",1,1,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[60, 227, 444, 443]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[44, 23, 492, 275]",0,0,0
coco_obj_3_COCO_train2014_000000143095.jpg,"[162, 144, 546, 360]",0,0,0
ava_obj_2_661387.jpg,"[0, 100, 405, 505]",0,0,0
ava_obj_2_661387.jpg,"[50, 100, 354, 404]",0,0,0
ava_obj_2_661387.jpg,"[100, 150, 404, 454]",0,0,0
ava_obj_2_661387.jpg,"[64, 51, 496, 483]",1,2,0
ava_obj_2_661387.jpg,"[275, 43, 707, 475]",0,0,0
ava_obj_2_661387.jpg,"[156, 0, 588, 432]",1,1,0
ava_obj_2_661387.jpg,"[0, 102, 540, 507]",1,1,0
ava_obj_2_661387.jpg,"[0, 150, 405, 454]",0,0,0
ava_obj_2_661387.jpg,"[0, 0, 540, 405]",4,2,1
ava_obj_2_661387.jpg,"[100, 100, 505, 404]",1,3,0
ava_obj_2_661387.jpg,"[280, 67, 712, 391]",0,0,0
ava_obj_2_661387.jpg,"[168, 107, 672, 485]",0,0,0
ava_obj_2_661387.jpg,"[50, 100, 354, 505]",1,2,0
ava_obj_2_661387.jpg,"[100, 100, 328, 404]",0,0,0
ava_obj_2_661387.jpg,"[100, 0, 404, 405]",2,1,3
ava_obj_2_661387.jpg,"[150, 150, 378, 454]",0,0,0
ava_obj_2_661387.jpg,"[316, 27, 665, 492]",0,0,0
ava_obj_2_661387.jpg,"[160, 18, 509, 483]",0,0,0
ava_obj_2_661387.jpg,"[0, 150, 576, 474]",0,0,0
ava_obj_2_661387.jpg,"[0, 150, 432, 392]",1,2,0
ava_obj_2_661387.jpg,"[0, 0, 720, 405]",3,1,2
ava_obj_2_661387.jpg,"[100, 200, 532, 442]",0,0,0
ava_obj_2_661387.jpg,"[157, 146, 661, 429]",0,0,0
ava_obj_2_661387.jpg,"[7, 213, 439, 456]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[103, 102, 512, 511]",2,2,3
places_obj_2_golf_course_00003690.jpg,"[153, 102, 460, 409]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[102, 153, 409, 460]",1,1,0
places_obj_2_golf_course_00003690.jpg,"[2, 175, 411, 584]",1,3,0
places_obj_2_golf_course_00003690.jpg,"[200, 212, 507, 519]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[56, 261, 363, 568]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[0, 102, 512, 486]",1,1,0
places_obj_2_golf_course_00003690.jpg,"[103, 51, 512, 358]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[153, 153, 460, 383]",1,2,0
places_obj_2_golf_course_00003690.jpg,"[70, 234, 377, 464]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[68, 30, 375, 260]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[95, 278, 504, 584]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[103, 102, 512, 648]",4,1,1
places_obj_2_golf_course_00003690.jpg,"[153, 102, 460, 511]",3,2,2
places_obj_2_golf_course_00003690.jpg,"[0, 102, 409, 648]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[73, 10, 380, 419]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[83, 347, 390, 756]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[3, 97, 310, 506]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[0, 102, 512, 390]",1,2,0
places_obj_2_golf_course_00003690.jpg,"[153, 153, 460, 325]",1,1,0
places_obj_2_golf_course_00003690.jpg,"[0, 204, 512, 492]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[116, 334, 474, 535]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[184, 88, 491, 260]",0,0,0
places_obj_2_golf_course_00003690.jpg,"[50, 313, 408, 514]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[198, 33, 464, 299]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[99, 0, 432, 333]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 0, 333, 333]",4,1,1
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[67, 12, 367, 312]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[149, 23, 449, 323]",1,2,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[182, 25, 482, 325]",1,3,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 66, 355, 332]",1,2,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[145, 67, 500, 333]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[165, 99, 431, 298]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 66, 266, 265]",1,1,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[33, 99, 299, 298]",1,3,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[109, 0, 409, 225]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[165, 0, 414, 333]",1,2,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[297, 67, 496, 333]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[132, 67, 331, 333]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 67, 199, 333]",3,1,2
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[72, 4, 315, 328]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[237, 8, 480, 332]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 52, 500, 333]",2,1,3
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[165, 99, 465, 267]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[0, 99, 300, 267]",1,2,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[100, 33, 500, 258]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[182, 141, 482, 309]",0,0,0
k40k_obj_0_farm8_7141_6582295101_596f035135.jpg,"[85, 90, 385, 258]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[0, 0, 512, 512]",2,2,3
places_obj_3_hayfield_00004673.jpg,"[102, 204, 409, 511]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[204, 204, 511, 511]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[255, 103, 664, 512]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[306, 205, 613, 512]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[137, 11, 598, 472]",1,1,0
places_obj_3_hayfield_00004673.jpg,"[51, 0, 733, 512]",4,1,1
places_obj_3_hayfield_00004673.jpg,"[153, 205, 562, 512]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[0, 0, 546, 409]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[255, 153, 664, 460]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[0, 0, 409, 307]",1,2,0
places_obj_3_hayfield_00004673.jpg,"[224, 31, 685, 376]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[51, 0, 435, 512]",3,1,2
places_obj_3_hayfield_00004673.jpg,"[153, 102, 460, 511]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[153, 205, 383, 512]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[255, 204, 485, 511]",1,2,0
places_obj_3_hayfield_00004673.jpg,"[274, 2, 647, 499]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[391, 14, 764, 511]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[0, 166, 615, 512]",1,2,0
places_obj_3_hayfield_00004673.jpg,"[51, 253, 512, 512]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[0, 0, 769, 432]",1,1,0
places_obj_3_hayfield_00004673.jpg,"[102, 204, 563, 463]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[37, 161, 498, 420]",0,0,0
places_obj_3_hayfield_00004673.jpg,"[80, 22, 541, 281]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[0, 84, 427, 511]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[84, 126, 340, 382]",4,1,1
coco_obj_3_COCO_train2014_000000354309.jpg,"[86, 0, 427, 341]",1,2,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[168, 168, 424, 424]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[51, 254, 392, 595]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[65, 69, 321, 325]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[0, 126, 427, 446]",1,1,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[86, 84, 427, 340]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[0, 84, 341, 340]",1,2,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[86, 0, 427, 256]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[84, 210, 425, 466]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[159, 139, 415, 331]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[42, 84, 383, 539]",0,0,0
coco_obj_3_COCO_train2014_000000354309.jpg,"[86, 0, 427, 455]",3,1,2
