name,bbox,score,order_pre,order_final
places_obj_0_supermarket_00001988.jpg,"[0, 204, 409, 613]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 0, 409, 409]",1,2,0
places_obj_0_supermarket_00001988.jpg,"[102, 255, 409, 562]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[50, 118, 408, 476]",2,1,3
places_obj_0_supermarket_00001988.jpg,"[182, 340, 489, 647]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[32, 4, 339, 311]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 255, 409, 562]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 0, 409, 307]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 102, 409, 409]",1,1,0
places_obj_0_supermarket_00001988.jpg,"[102, 255, 409, 485]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[101, 339, 459, 607]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[79, 126, 488, 432]",1,2,0
places_obj_0_supermarket_00001988.jpg,"[0, 1, 512, 683]",4,1,1
places_obj_0_supermarket_00001988.jpg,"[102, 102, 409, 511]",3,2,2
places_obj_0_supermarket_00001988.jpg,"[102, 255, 409, 664]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[6, 108, 313, 517]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[141, 13, 499, 490]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[161, 176, 468, 585]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 255, 512, 543]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 357, 512, 645]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[0, 0, 512, 288]",1,1,0
places_obj_0_supermarket_00001988.jpg,"[102, 51, 409, 223]",1,2,0
places_obj_0_supermarket_00001988.jpg,"[160, 10, 467, 182]",0,0,0
places_obj_0_supermarket_00001988.jpg,"[9, 459, 316, 631]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 48, 480, 528]",4,1,1
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 144, 288, 432]",1,2,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 48, 288, 336]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[48, 96, 336, 384]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[102, 23, 390, 311]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[136, 196, 472, 532]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 144, 480, 504]",3,1,2
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 144, 288, 359]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 96, 384, 384]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[1, 169, 337, 421]",1,2,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[113, 56, 449, 308]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[2, 53, 338, 305]",0,0,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 144, 288, 528]",1,1,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[0, 48, 384, 560]",1,2,0
coco_obj_1_COCO_train2014_000000365470.jpg,"[48, 48, 336, 432]",0,0,0
