name,bbox,score,order_pre,order_final
places_obj_3_discotheque_00001889.jpg,"[153, 0, 665, 512]",3,1,2
places_obj_3_discotheque_00001889.jpg,"[102, 51, 511, 460]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[51, 51, 358, 358]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[153, 51, 460, 358]",1,2,0
places_obj_3_discotheque_00001889.jpg,"[304, 43, 764, 503]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[5, 44, 465, 504]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[51, 0, 733, 512]",4,1,1
places_obj_3_discotheque_00001889.jpg,"[0, 51, 546, 460]",1,2,0
places_obj_3_discotheque_00001889.jpg,"[51, 51, 460, 358]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[222, 103, 768, 512]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[153, 0, 562, 307]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[57, 166, 517, 511]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[102, 0, 486, 512]",1,2,0
places_obj_3_discotheque_00001889.jpg,"[204, 0, 588, 512]",1,1,0
places_obj_3_discotheque_00001889.jpg,"[306, 0, 690, 512]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[51, 51, 358, 460]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[461, 51, 768, 460]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[32, 14, 405, 511]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[0, 0, 768, 432]",2,1,3
places_obj_3_discotheque_00001889.jpg,"[153, 102, 767, 447]",1,2,0
places_obj_3_discotheque_00001889.jpg,"[204, 51, 664, 310]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[0, 51, 460, 310]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[88, 126, 548, 384]",0,0,0
places_obj_3_discotheque_00001889.jpg,"[188, 200, 725, 502]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[72, 0, 321, 249]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[48, 0, 247, 199]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[144, 0, 343, 199]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[168, 0, 417, 249]",2,2,3
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[168, 0, 317, 149]",1,1,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[235, 0, 478, 243]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[48, 0, 313, 199]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[144, 0, 409, 199]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[48, 24, 247, 173]",1,1,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[144, 0, 343, 149]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[185, 0, 485, 225]",1,2,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[91, 21, 391, 246]",1,3,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[72, 0, 258, 249]",0,0,0
k40k_obj_3_farm3_2500_3677912948_a00e47012b.jpg,"[168, 0, 317, 199]",0,0,0
