name,bbox,score,order_pre,order_final
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 288, 288]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 480, 480]",1,1,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[144, 0, 624, 480]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[96, 0, 384, 288]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[48, 48, 336, 336]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[123, 29, 507, 413]",1,2,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 384, 288]",1,2,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 640, 480]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[96, 48, 480, 336]",1,3,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[48, 96, 432, 384]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[225, 191, 609, 479]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[226, 39, 610, 327]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 215, 288]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[96, 0, 311, 288]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 288, 384]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[144, 0, 504, 480]",4,1,1
coco_obj_0_COCO_train2014_000000445216.jpg,"[96, 0, 384, 384]",3,2,2
coco_obj_0_COCO_train2014_000000445216.jpg,"[241, 7, 586, 467]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 48, 384, 264]",1,1,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 0, 512, 288]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[96, 48, 608, 336]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[0, 96, 640, 456]",2,2,3
coco_obj_0_COCO_train2014_000000445216.jpg,"[134, 41, 518, 257]",0,0,0
coco_obj_0_COCO_train2014_000000445216.jpg,"[139, 188, 587, 440]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[70, 0, 420, 350]",4,1,1
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[175, 35, 455, 315]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[175, 35, 385, 245]",2,2,3
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[6, 42, 306, 342]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[46, 1, 346, 301]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[198, 4, 498, 304]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[105, 0, 478, 280]",1,2,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[140, 35, 419, 245]",1,1,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[0, 35, 373, 315]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[70, 35, 349, 245]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[193, 47, 493, 272]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[81, 106, 381, 331]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[175, 0, 437, 350]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[105, 0, 367, 350]",1,1,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[35, 0, 297, 350]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[210, 35, 367, 245]",1,2,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[256, 1, 499, 325]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[7, 18, 250, 342]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[0, 0, 500, 281]",3,2,2
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[100, 70, 500, 295]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[140, 70, 440, 238]",1,1,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[140, 0, 440, 168]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[122, 181, 422, 349]",0,0,0
k40k_obj_1_farm6_5028_5559384954_fd3f047f92.jpg,"[4, 109, 404, 334]",0,0,0
ava_obj_3_550563.jpg,"[0, 92, 375, 467]",0,0,0
ava_obj_3_550563.jpg,"[230, 92, 605, 467]",0,0,0
ava_obj_3_550563.jpg,"[0, 188, 281, 469]",0,0,0
ava_obj_3_550563.jpg,"[92, 0, 561, 469]",1,1,0
ava_obj_3_550563.jpg,"[276, 188, 557, 469]",1,2,0
ava_obj_3_550563.jpg,"[208, 4, 592, 388]",0,0,0
ava_obj_3_550563.jpg,"[92, 92, 592, 467]",3,0,2
ava_obj_3_550563.jpg,"[92, 138, 467, 419]",1,2,0
ava_obj_3_550563.jpg,"[0, 184, 375, 465]",0,0,0
ava_obj_3_550563.jpg,"[230, 138, 605, 419]",0,0,0
ava_obj_3_550563.jpg,"[158, 88, 542, 376]",1,1,0
ava_obj_3_550563.jpg,"[3, 93, 387, 381]",0,0,0
ava_obj_3_550563.jpg,"[230, 138, 441, 419]",0,0,0
ava_obj_3_550563.jpg,"[138, 138, 349, 419]",0,0,0
ava_obj_3_550563.jpg,"[322, 184, 533, 465]",0,0,0
ava_obj_3_550563.jpg,"[276, 92, 557, 467]",0,0,0
ava_obj_3_550563.jpg,"[0, 0, 351, 469]",2,1,3
ava_obj_3_550563.jpg,"[177, 2, 522, 462]",1,2,0
ava_obj_3_550563.jpg,"[0, 109, 640, 469]",4,1,1
ava_obj_3_550563.jpg,"[46, 92, 558, 380]",1,2,0
ava_obj_3_550563.jpg,"[92, 138, 476, 354]",0,0,0
ava_obj_3_550563.jpg,"[46, 184, 430, 400]",0,0,0
ava_obj_3_550563.jpg,"[172, 61, 556, 277]",0,0,0
ava_obj_3_550563.jpg,"[137, 195, 521, 411]",0,0,0
