name,bbox,score,order_pre,order_final
places_obj_2_gift_shop_00002878.jpg,"[102, 0, 614, 512]",2,3,3
places_obj_2_gift_shop_00002878.jpg,"[51, 51, 460, 460]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[204, 0, 511, 307]",1,2,0
places_obj_2_gift_shop_00002878.jpg,"[153, 51, 460, 358]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[245, 84, 654, 493]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[165, 63, 574, 472]",1,1,0
places_obj_2_gift_shop_00002878.jpg,"[102, 0, 648, 409]",1,2,0
places_obj_2_gift_shop_00002878.jpg,"[102, 51, 511, 358]",3,3,2
places_obj_2_gift_shop_00002878.jpg,"[0, 102, 546, 511]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[204, 0, 613, 307]",1,1,0
places_obj_2_gift_shop_00002878.jpg,"[184, 189, 593, 495]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[32, 181, 441, 487]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[102, 0, 486, 512]",1,2,0
places_obj_2_gift_shop_00002878.jpg,"[204, 0, 511, 409]",1,1,0
places_obj_2_gift_shop_00002878.jpg,"[0, 0, 384, 512]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[306, 0, 613, 409]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[226, 14, 594, 504]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[303, 18, 671, 508]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[0, 0, 683, 384]",1,2,0
places_obj_2_gift_shop_00002878.jpg,"[51, 102, 597, 409]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[102, 51, 511, 281]",4,1,1
places_obj_2_gift_shop_00002878.jpg,"[196, 142, 674, 410]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[147, 242, 556, 472]",0,0,0
places_obj_2_gift_shop_00002878.jpg,"[66, 105, 475, 335]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[125, 0, 500, 375]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[0, 0, 375, 375]",3,2,2
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[0, 37, 225, 262]",1,1,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[185, 150, 410, 375]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[95, 60, 395, 360]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[3, 45, 303, 345]",4,3,1
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[0, 0, 500, 375]",2,1,3
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[200, 111, 500, 336]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[200, 37, 500, 262]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[3, 31, 303, 256]",1,2,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[94, 46, 394, 271]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[26, 123, 326, 348]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[0, 0, 225, 300]",1,1,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[222, 148, 390, 373]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[111, 0, 392, 375]",1,2,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[32, 13, 302, 373]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[177, 13, 447, 373]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[200, 74, 500, 242]",1,2,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[100, 37, 500, 262]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[100, 111, 500, 336]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[39, 149, 389, 345]",0,0,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[36, 31, 386, 227]",1,1,0
k40k_obj_0_farm1_165_412999110_0f44d57109.jpg,"[78, 109, 378, 277]",0,0,0
k40k_obj_0_farm3_2515_3814192999_d57fd8a616.jpg,"[111, 75, 411, 375]",1,1,0
