name,bbox,score,order_pre,order_final
places_obj_3_kasbah_00003513.jpg,"[102, 376, 409, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[0, 153, 512, 665]",3,1,2
places_obj_3_kasbah_00003513.jpg,"[51, 274, 460, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[204, 376, 511, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[70, 145, 428, 503]",1,2,0
places_obj_3_kasbah_00003513.jpg,"[11, 374, 318, 681]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[51, 376, 460, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[102, 453, 409, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[153, 408, 460, 638]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[51, 408, 358, 638]",1,2,0
places_obj_3_kasbah_00003513.jpg,"[2, 296, 309, 526]",1,1,0
places_obj_3_kasbah_00003513.jpg,"[34, 141, 443, 447]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[0, 137, 409, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[102, 274, 409, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[103, 51, 512, 597]",2,1,3
places_obj_3_kasbah_00003513.jpg,"[0, 0, 409, 546]",4,2,1
places_obj_3_kasbah_00003513.jpg,"[205, 274, 512, 683]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[106, 39, 413, 448]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[0, 395, 512, 683]",1,1,0
places_obj_3_kasbah_00003513.jpg,"[102, 459, 409, 631]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[102, 510, 409, 682]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[103, 357, 512, 587]",0,0,0
places_obj_3_kasbah_00003513.jpg,"[102, 408, 409, 580]",1,2,0
places_obj_3_kasbah_00003513.jpg,"[88, 297, 497, 527]",0,0,0
ava_obj_2_898118.jpg,"[0, 0, 600, 600]",4,1,1
ava_obj_2_898118.jpg,"[240, 0, 600, 360]",1,2,0
ava_obj_2_898118.jpg,"[240, 240, 600, 600]",0,0,0
ava_obj_2_898118.jpg,"[120, 0, 480, 360]",0,0,0
ava_obj_2_898118.jpg,"[0, 120, 360, 480]",0,0,0
ava_obj_2_898118.jpg,"[41, 201, 401, 561]",0,0,0
ava_obj_2_898118.jpg,"[0, 0, 600, 450]",1,1,0
ava_obj_2_898118.jpg,"[0, 150, 600, 600]",0,0,0
ava_obj_2_898118.jpg,"[240, 0, 600, 270]",0,0,0
ava_obj_2_898118.jpg,"[120, 120, 600, 480]",0,0,0
ava_obj_2_898118.jpg,"[77, 198, 437, 468]",0,0,0
ava_obj_2_898118.jpg,"[104, 54, 464, 324]",2,2,3
ava_obj_2_898118.jpg,"[330, 0, 600, 360]",0,0,0
ava_obj_2_898118.jpg,"[150, 0, 600, 600]",3,1,2
ava_obj_2_898118.jpg,"[240, 0, 510, 360]",0,0,0
ava_obj_2_898118.jpg,"[0, 60, 360, 540]",0,0,0
ava_obj_2_898118.jpg,"[330, 240, 600, 600]",0,0,0
ava_obj_2_898118.jpg,"[92, 38, 452, 518]",1,2,0
ava_obj_2_898118.jpg,"[0, 0, 600, 337]",0,0,0
ava_obj_2_898118.jpg,"[240, 0, 600, 202]",0,0,0
ava_obj_2_898118.jpg,"[0, 263, 600, 600]",0,0,0
ava_obj_2_898118.jpg,"[0, 120, 600, 457]",1,1,0
ava_obj_2_898118.jpg,"[240, 398, 600, 600]",0,0,0
ava_obj_2_898118.jpg,"[18, 361, 378, 563]",1,2,0
k40k_obj_1_farm4_3417_3290668932_987d4bc7f3.jpg,"[33, 0, 299, 266]",1,1,0
k40k_obj_1_farm4_3417_3290668932_987d4bc7f3.jpg,"[33, 231, 299, 497]",0,0,0
k40k_obj_1_farm4_3417_3290668932_987d4bc7f3.jpg,"[0, 132, 333, 465]",2,2,3
k40k_obj_1_farm4_3417_3290668932_987d4bc7f3.jpg,"[66, 0, 265, 199]",0,0,0
k40k_obj_1_farm4_3417_3290668932_987d4bc7f3.jpg,"[66, 301, 265, 500]",0,0,0
