name,bbox,score,order_pre,order_final
places_obj_1_pagoda_00001140.jpg,"[0, 0, 512, 512]",2,4,3
places_obj_1_pagoda_00001140.jpg,"[171, 0, 683, 512]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[153, 103, 562, 512]",1,2,0
places_obj_1_pagoda_00001140.jpg,"[204, 153, 511, 460]",3,3,2
places_obj_1_pagoda_00001140.jpg,"[153, 0, 562, 409]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[246, 33, 655, 442]",1,1,0
places_obj_1_pagoda_00001140.jpg,"[0, 0, 682, 512]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[204, 153, 613, 460]",1,1,0
places_obj_1_pagoda_00001140.jpg,"[0, 0, 409, 307]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[199, 19, 677, 377]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[105, 183, 514, 489]",4,2,1
places_obj_1_pagoda_00001140.jpg,"[97, 100, 506, 406]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[204, 0, 588, 512]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[102, 0, 486, 512]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[0, 0, 384, 512]",1,1,0
places_obj_1_pagoda_00001140.jpg,"[204, 153, 434, 460]",1,3,0
places_obj_1_pagoda_00001140.jpg,"[311, 8, 679, 498]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[160, 6, 528, 496]",1,2,0
places_obj_1_pagoda_00001140.jpg,"[0, 0, 683, 384]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[0, 128, 683, 512]",1,1,0
places_obj_1_pagoda_00001140.jpg,"[0, 0, 409, 230]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[204, 153, 613, 383]",0,0,0
places_obj_1_pagoda_00001140.jpg,"[183, 241, 661, 509]",1,2,0
places_obj_1_pagoda_00001140.jpg,"[66, 175, 475, 405]",1,3,0
places_obj_0_courtyard_00003455.jpg,"[204, 0, 716, 512]",1,4,0
places_obj_0_courtyard_00003455.jpg,"[153, 0, 562, 409]",1,1,0
places_obj_0_courtyard_00003455.jpg,"[0, 0, 512, 512]",1,2,0
places_obj_0_courtyard_00003455.jpg,"[365, 16, 841, 492]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[122, 31, 598, 507]",1,3,0
places_obj_0_courtyard_00003455.jpg,"[295, 33, 771, 509]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[153, 51, 699, 460]",1,4,0
places_obj_0_courtyard_00003455.jpg,"[51, 0, 597, 409]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[306, 51, 852, 460]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[204, 102, 613, 409]",1,3,0
places_obj_0_courtyard_00003455.jpg,"[40, 113, 569, 509]",1,1,0
places_obj_0_courtyard_00003455.jpg,"[213, 110, 742, 506]",1,2,0
places_obj_0_courtyard_00003455.jpg,"[204, 0, 588, 512]",1,2,0
places_obj_0_courtyard_00003455.jpg,"[0, 0, 384, 512]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[306, 0, 613, 409]",1,3,0
places_obj_0_courtyard_00003455.jpg,"[102, 0, 486, 512]",1,1,0
places_obj_0_courtyard_00003455.jpg,"[513, 42, 860, 504]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[420, 10, 767, 472]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[0, 0, 882, 496]",0,0,0
places_obj_0_courtyard_00003455.jpg,"[204, 102, 733, 399]",3,3,2
places_obj_0_courtyard_00003455.jpg,"[0, 102, 529, 399]",4,1,1
places_obj_0_courtyard_00003455.jpg,"[0, 116, 705, 512]",2,0,3
places_obj_0_courtyard_00003455.jpg,"[79, 62, 608, 359]",1,2,0
places_obj_0_courtyard_00003455.jpg,"[247, 140, 864, 487]",0,0,0
ava_obj_0_921.jpg,"[0, 0, 480, 480]",1,1,0
ava_obj_0_921.jpg,"[144, 96, 528, 480]",1,5,0
ava_obj_0_921.jpg,"[48, 192, 336, 480]",1,4,0
ava_obj_0_921.jpg,"[116, 3, 500, 387]",0,0,0
ava_obj_0_921.jpg,"[196, 37, 580, 421]",1,2,0
ava_obj_0_921.jpg,"[248, 95, 632, 479]",1,3,0
ava_obj_0_921.jpg,"[48, 96, 560, 480]",0,0,0
ava_obj_0_921.jpg,"[0, 192, 384, 480]",0,0,0
ava_obj_0_921.jpg,"[48, 144, 432, 432]",2,1,3
ava_obj_0_921.jpg,"[11, 60, 459, 396]",1,2,0
ava_obj_0_921.jpg,"[195, 44, 579, 332]",0,0,0
ava_obj_0_921.jpg,"[121, 68, 505, 356]",0,0,0
ava_obj_0_921.jpg,"[144, 96, 432, 480]",1,2,0
ava_obj_0_921.jpg,"[48, 96, 336, 480]",3,1,2
ava_obj_0_921.jpg,"[192, 0, 552, 480]",0,0,0
ava_obj_0_921.jpg,"[96, 192, 311, 480]",1,4,0
ava_obj_0_921.jpg,"[70, 0, 415, 460]",1,3,0
ava_obj_0_921.jpg,"[284, 9, 629, 469]",0,0,0
