name,bbox,score,order_pre,order_final
places_obj_1_campus_00001700.jpg,"[51, 51, 460, 460]",1,4,0
places_obj_1_campus_00001700.jpg,"[102, 153, 409, 460]",1,2,0
places_obj_1_campus_00001700.jpg,"[153, 102, 460, 409]",2,3,3
places_obj_1_campus_00001700.jpg,"[29, 74, 336, 381]",0,0,0
places_obj_1_campus_00001700.jpg,"[142, 296, 449, 603]",0,0,0
places_obj_1_campus_00001700.jpg,"[142, 158, 500, 516]",1,1,0
places_obj_1_campus_00001700.jpg,"[0, 102, 512, 486]",1,1,0
places_obj_1_campus_00001700.jpg,"[102, 153, 409, 383]",1,3,0
places_obj_1_campus_00001700.jpg,"[0, 0, 512, 384]",1,2,0
places_obj_1_campus_00001700.jpg,"[120, 451, 427, 681]",0,0,0
places_obj_1_campus_00001700.jpg,"[144, 94, 451, 324]",1,4,0
places_obj_1_campus_00001700.jpg,"[6, 117, 313, 347]",0,0,0
places_obj_1_campus_00001700.jpg,"[102, 51, 409, 460]",1,1,0
places_obj_1_campus_00001700.jpg,"[51, 0, 460, 546]",1,4,0
places_obj_1_campus_00001700.jpg,"[51, 102, 358, 511]",1,2,0
places_obj_1_campus_00001700.jpg,"[0, 51, 307, 460]",0,0,0
places_obj_1_campus_00001700.jpg,"[11, 230, 318, 639]",0,0,0
places_obj_1_campus_00001700.jpg,"[135, 125, 442, 534]",4,3,1
places_obj_1_campus_00001700.jpg,"[0, 102, 512, 390]",1,3,0
places_obj_1_campus_00001700.jpg,"[102, 153, 409, 325]",3,4,2
places_obj_1_campus_00001700.jpg,"[51, 204, 358, 376]",0,0,0
places_obj_1_campus_00001700.jpg,"[102, 206, 511, 436]",1,1,0
places_obj_1_campus_00001700.jpg,"[45, 370, 352, 542]",0,0,0
places_obj_1_campus_00001700.jpg,"[88, 25, 497, 255]",1,2,0
ava_obj_0_950099.jpg,"[306, 102, 719, 515]",0,0,3
ava_obj_0_950099.jpg,"[102, 102, 515, 515]",1,2,0
ava_obj_0_950099.jpg,"[306, 207, 616, 517]",0,0,0
ava_obj_0_950099.jpg,"[9, 6, 489, 486]",0,0,0
ava_obj_0_950099.jpg,"[183, 14, 663, 494]",1,1,0
ava_obj_0_950099.jpg,"[311, 2, 791, 482]",0,0,0
ava_obj_0_950099.jpg,"[51, 0, 740, 517]",1,2,0
ava_obj_0_950099.jpg,"[102, 207, 515, 517]",0,0,0
ava_obj_0_950099.jpg,"[306, 207, 719, 517]",0,0,0
ava_obj_0_950099.jpg,"[249, 102, 800, 515]",1,1,0
ava_obj_0_950099.jpg,"[0, 0, 551, 413]",0,0,0
ava_obj_0_950099.jpg,"[195, 63, 675, 423]",0,0,0
ava_obj_0_950099.jpg,"[357, 0, 744, 517]",3,1,2
ava_obj_0_950099.jpg,"[306, 102, 616, 515]",0,0,0
ava_obj_0_950099.jpg,"[0, 0, 387, 517]",0,0,0
ava_obj_0_950099.jpg,"[147, 32, 496, 497]",0,0,0
ava_obj_0_950099.jpg,"[240, 5, 589, 470]",0,0,0
ava_obj_0_950099.jpg,"[449, 34, 798, 499]",1,2,0
ava_obj_0_950099.jpg,"[160, 153, 800, 513]",1,2,0
ava_obj_0_950099.jpg,"[0, 0, 800, 450]",4,1,1
ava_obj_0_950099.jpg,"[153, 247, 633, 517]",0,0,0
ava_obj_0_950099.jpg,"[255, 204, 735, 474]",0,0,0
ava_obj_0_950099.jpg,"[172, 57, 732, 372]",0,0,0
ava_obj_0_950099.jpg,"[19, 120, 659, 480]",0,0,0
ava_obj_1_739933.jpg,"[48, 0, 528, 480]",1,1,0
ava_obj_1_739933.jpg,"[0, 0, 384, 384]",0,0,0
ava_obj_1_739933.jpg,"[96, 144, 384, 432]",0,0,0
ava_obj_1_739933.jpg,"[244, 85, 628, 469]",0,0,0
ava_obj_1_739933.jpg,"[190, 36, 574, 420]",0,0,0
ava_obj_1_739933.jpg,"[52, 85, 436, 469]",2,2,3
ava_obj_1_739933.jpg,"[0, 0, 640, 480]",3,1,2
ava_obj_1_739933.jpg,"[48, 96, 432, 384]",1,2,0
ava_obj_1_739933.jpg,"[245, 161, 629, 449]",0,0,0
ava_obj_1_739933.jpg,"[149, 101, 597, 437]",0,0,0
ava_obj_1_739933.jpg,"[26, 131, 474, 467]",0,0,0
ava_obj_1_739933.jpg,"[165, 47, 549, 335]",0,0,0
ava_obj_1_739933.jpg,"[96, 0, 456, 480]",4,1,1
ava_obj_1_739933.jpg,"[0, 0, 360, 480]",0,0,0
ava_obj_1_739933.jpg,"[144, 144, 359, 432]",0,0,0
ava_obj_1_739933.jpg,"[192, 0, 552, 480]",1,2,0
ava_obj_1_739933.jpg,"[144, 48, 359, 336]",0,0,0
ava_obj_1_739933.jpg,"[286, 16, 631, 476]",0,0,0
ava_obj_1_739933.jpg,"[0, 48, 640, 408]",1,1,0
ava_obj_1_739933.jpg,"[48, 192, 560, 480]",1,2,0
ava_obj_1_739933.jpg,"[48, 192, 432, 408]",0,0,0
ava_obj_1_739933.jpg,"[212, 212, 596, 428]",0,0,0
ava_obj_1_739933.jpg,"[80, 260, 464, 476]",0,0,0
ava_obj_1_739933.jpg,"[47, 4, 559, 292]",0,0,0
ava_obj_3_321916.jpg,"[45, 0, 405, 360]",4,2,1
ava_obj_3_321916.jpg,"[90, 90, 360, 360]",0,0,0
