name,bbox,score,order_pre,order_final
places_obj_2_fishpond_00001411.jpg,"[204, 0, 613, 409]",1,2,0
places_obj_2_fishpond_00001411.jpg,"[408, 102, 715, 409]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[306, 103, 715, 512]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[306, 51, 613, 358]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[72, 49, 531, 508]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[196, 45, 655, 504]",1,1,0
places_obj_2_fishpond_00001411.jpg,"[153, 0, 699, 409]",3,1,2
places_obj_2_fishpond_00001411.jpg,"[204, 51, 613, 358]",1,2,0
places_obj_2_fishpond_00001411.jpg,"[222, 100, 681, 444]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[5, 54, 464, 398]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[6, 159, 465, 503]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[93, 79, 552, 423]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[383, 0, 766, 512]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[255, 0, 638, 512]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[408, 102, 638, 409]",1,1,0
places_obj_2_fishpond_00001411.jpg,"[357, 103, 664, 512]",1,2,0
places_obj_2_fishpond_00001411.jpg,"[357, 0, 664, 409]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[113, 2, 485, 498]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[154, 51, 766, 395]",4,2,1
places_obj_2_fishpond_00001411.jpg,"[153, 51, 612, 309]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[51, 0, 663, 344]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[204, 102, 663, 360]",2,1,3
places_obj_2_fishpond_00001411.jpg,"[51, 102, 663, 446]",0,0,0
places_obj_2_fishpond_00001411.jpg,"[11, 191, 470, 449]",0,0,0
ava_obj_3_573068.jpg,"[252, 42, 593, 383]",2,1,3
ava_obj_3_573068.jpg,"[126, 0, 552, 427]",1,2,0
ava_obj_3_573068.jpg,"[252, 84, 508, 340]",0,0,0
ava_obj_3_573068.jpg,"[40, 2, 424, 386]",0,0,0
ava_obj_3_573068.jpg,"[76, 39, 460, 423]",0,0,0
ava_obj_3_573068.jpg,"[8, 31, 392, 415]",0,0,0
ava_obj_3_573068.jpg,"[84, 42, 539, 383]",1,2,0
ava_obj_3_573068.jpg,"[168, 86, 623, 427]",0,0,0
ava_obj_3_573068.jpg,"[168, 84, 509, 340]",4,1,1
ava_obj_3_573068.jpg,"[252, 42, 593, 298]",0,0,0
ava_obj_3_573068.jpg,"[5, 86, 453, 422]",0,0,0
ava_obj_3_573068.jpg,"[41, 25, 425, 313]",0,0,0
ava_obj_3_573068.jpg,"[252, 0, 572, 427]",1,1,0
ava_obj_3_573068.jpg,"[336, 84, 528, 340]",1,2,0
ava_obj_3_573068.jpg,"[336, 0, 592, 341]",0,0,0
ava_obj_3_573068.jpg,"[210, 0, 466, 341]",0,0,0
ava_obj_3_573068.jpg,"[125, 0, 436, 414]",0,0,0
ava_obj_3_573068.jpg,"[24, 11, 335, 425]",0,0,0
ava_obj_3_573068.jpg,"[0, 67, 640, 427]",3,1,2
ava_obj_3_573068.jpg,"[84, 42, 596, 330]",0,0,0
ava_obj_3_573068.jpg,"[168, 126, 552, 342]",1,2,0
ava_obj_3_573068.jpg,"[114, 62, 498, 278]",0,0,0
ava_obj_3_573068.jpg,"[196, 32, 580, 248]",0,0,0
ava_obj_3_573068.jpg,"[3, 20, 387, 236]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[0, 0, 480, 480]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[144, 0, 624, 480]",1,1,0
places_obj_0_bookstore_00004245.jpg,"[256, 96, 640, 480]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[288, 192, 576, 480]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[113, 46, 497, 430]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[210, 51, 594, 435]",4,2,1
places_obj_0_bookstore_00004245.jpg,"[0, 96, 512, 480]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[256, 192, 640, 480]",1,1,0
places_obj_0_bookstore_00004245.jpg,"[48, 48, 432, 336]",0,0,0
places_obj_0_bookstore_00004245.jpg,"[144, 192, 528, 480]",1,2,0
places_obj_0_bookstore_00004245.jpg,"[128, 0, 640, 384]",0,0,0
