name,bbox,score,order_pre,order_final
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[74, 0, 449, 375]",1,2,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 37, 300, 337]",1,1,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[200, 0, 500, 300]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[222, 0, 447, 225]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[167, 51, 467, 351]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[59, 7, 359, 307]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 0, 500, 375]",1,1,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[200, 0, 500, 225]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[148, 37, 448, 262]",1,3,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 37, 300, 262]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[43, 103, 343, 328]",1,2,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[140, 142, 440, 367]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 0, 281, 375]",4,1,1
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[148, 0, 429, 375]",3,2,2
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[259, 0, 484, 300]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[74, 0, 355, 375]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[259, 0, 427, 225]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[210, 11, 480, 371]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[100, 37, 500, 262]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[200, 37, 500, 205]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 0, 400, 225]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[185, 0, 485, 168]",0,0,0
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[0, 74, 500, 355]",2,1,3
k40k_obj_0_farm1_208_504850071_60974d8f63.jpg,"[137, 152, 487, 348]",1,2,0
ava_obj_3_921602.jpg,"[382, 104, 800, 522]",0,0,0
ava_obj_3_921602.jpg,"[104, 0, 627, 523]",1,1,0
ava_obj_3_921602.jpg,"[260, 104, 678, 522]",2,2,3
ava_obj_3_921602.jpg,"[104, 208, 417, 521]",0,0,0
ava_obj_3_921602.jpg,"[0, 105, 418, 523]",0,0,0
ava_obj_3_921602.jpg,"[19, 22, 499, 502]",0,0,0
ava_obj_3_921602.jpg,"[104, 104, 661, 522]",3,1,2
ava_obj_3_921602.jpg,"[104, 208, 522, 521]",0,0,0
ava_obj_3_921602.jpg,"[312, 210, 730, 523]",1,2,0
ava_obj_3_921602.jpg,"[202, 72, 682, 432]",0,0,0
ava_obj_3_921602.jpg,"[297, 16, 777, 376]",0,0,0
ava_obj_3_921602.jpg,"[138, 19, 618, 379]",0,0,0
ava_obj_3_921602.jpg,"[312, 0, 704, 523]",1,1,0
ava_obj_3_921602.jpg,"[416, 104, 729, 522]",0,0,0
ava_obj_3_921602.jpg,"[104, 0, 496, 523]",0,0,0
ava_obj_3_921602.jpg,"[260, 105, 573, 523]",1,2,0
ava_obj_3_921602.jpg,"[2, 3, 390, 520]",0,0,0
ava_obj_3_921602.jpg,"[208, 0, 596, 517]",0,0,0
ava_obj_3_921602.jpg,"[52, 163, 692, 523]",4,2,1
ava_obj_3_921602.jpg,"[260, 253, 740, 523]",1,3,0
ava_obj_3_921602.jpg,"[52, 208, 532, 478]",0,0,0
ava_obj_3_921602.jpg,"[208, 208, 688, 478]",1,1,0
ava_obj_3_921602.jpg,"[156, 104, 796, 464]",0,0,0
ava_obj_3_921602.jpg,"[187, 98, 667, 368]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[48, 96, 432, 480]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[352, 48, 640, 336]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[256, 0, 640, 384]",1,2,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[96, 0, 576, 480]",1,1,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[96, 144, 384, 432]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[12, 14, 396, 398]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[96, 48, 608, 432]",2,2,3
coco_obj_2_COCO_train2014_000000499204.jpg,"[48, 144, 432, 432]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[256, 48, 640, 336]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[15, 55, 399, 343]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[97, 8, 481, 296]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[155, 162, 539, 450]",4,1,1
coco_obj_2_COCO_train2014_000000499204.jpg,"[336, 0, 624, 384]",1,2,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[96, 48, 384, 432]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[384, 48, 599, 336]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[425, 0, 640, 288]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[144, 96, 432, 480]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[209, 6, 554, 466]",3,1,2
coco_obj_2_COCO_train2014_000000499204.jpg,"[0, 48, 640, 408]",1,2,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[96, 144, 608, 432]",1,1,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[48, 192, 432, 408]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[256, 48, 640, 264]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[0, 240, 384, 456]",0,0,0
coco_obj_2_COCO_train2014_000000499204.jpg,"[165, 57, 549, 273]",0,0,0
places_obj_3_fountain_00000418.jpg,"[0, 204, 512, 716]",1,2,0
places_obj_3_fountain_00000418.jpg,"[0, 51, 512, 563]",0,0,0
places_obj_3_fountain_00000418.jpg,"[103, 357, 512, 766]",0,0,0
places_obj_3_fountain_00000418.jpg,"[153, 357, 460, 664]",0,0,0
places_obj_3_fountain_00000418.jpg,"[0, 357, 409, 766]",1,1,0
places_obj_3_fountain_00000418.jpg,"[0, 149, 358, 507]",0,0,0
places_obj_3_fountain_00000418.jpg,"[0, 306, 512, 690]",2,2,3
