name,bbox,score,order_pre,order_final
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[74, 0, 449, 375]",1,1,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[185, 37, 485, 337]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[37, 37, 337, 337]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[110, 59, 410, 359]",2,2,3
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[69, 0, 369, 300]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[133, 6, 433, 306]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[100, 37, 500, 337]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[37, 75, 437, 375]",3,1,2
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[111, 74, 411, 299]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[111, 148, 411, 373]",1,2,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[3, 139, 303, 364]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[172, 16, 472, 241]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[111, 0, 392, 375]",1,1,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[185, 0, 466, 375]",1,3,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[37, 0, 318, 375]",1,4,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[185, 74, 353, 299]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[4, 8, 274, 368]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[82, 11, 352, 371]",1,2,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[0, 74, 500, 355]",4,1,1
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[100, 148, 500, 373]",1,2,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[100, 37, 500, 262]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[40, 137, 390, 333]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[15, 13, 415, 238]",0,0,0
k40k_obj_1_farm1_30_64353529_70ade8c0bc.jpg,"[153, 171, 453, 339]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[67, 66, 333, 332]",3,1,2
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[134, 99, 333, 298]",1,3,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[134, 33, 333, 232]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[0, 66, 266, 332]",1,2,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[18, 250, 217, 449]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[108, 298, 307, 497]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[0, 66, 333, 315]",4,1,1
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[134, 99, 333, 248]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[66, 33, 332, 232]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[66, 132, 332, 331]",2,2,3
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[32, 165, 231, 314]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[82, 275, 281, 424]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[134, 66, 333, 332]",1,3,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[67, 33, 333, 388]",1,1,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[66, 66, 265, 332]",1,4,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[0, 33, 266, 388]",1,2,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[52, 178, 251, 443]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[103, 15, 302, 280]",0,0,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[0, 99, 333, 286]",1,1,0
k40k_obj_0_farm4_3452_3245830879_0c9fe35d82.jpg,"[67, 66, 333, 215]",0,0,0
