name,bbox,score,order_pre,order_final
places_obj_3_boxing_ring_00000663.jpg,"[0, 0, 512, 512]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[153, 0, 665, 512]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 205, 307, 512]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[282, 37, 742, 497]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[88, 32, 548, 492]",4,2,1
places_obj_3_boxing_ring_00000663.jpg,"[227, 6, 687, 466]",1,1,0
places_obj_3_boxing_ring_00000663.jpg,"[153, 51, 699, 460]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 51, 546, 460]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[153, 102, 562, 409]",3,1,2
places_obj_3_boxing_ring_00000663.jpg,"[204, 153, 613, 460]",2,2,3
places_obj_3_boxing_ring_00000663.jpg,"[0, 204, 409, 511]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[165, 10, 625, 355]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 0, 384, 512]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 205, 230, 512]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[153, 0, 537, 512]",1,2,0
places_obj_3_boxing_ring_00000663.jpg,"[255, 0, 562, 409]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[255, 102, 485, 409]",1,1,0
places_obj_3_boxing_ring_00000663.jpg,"[317, 12, 690, 509]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 51, 614, 396]",1,2,0
places_obj_3_boxing_ring_00000663.jpg,"[0, 153, 614, 498]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[102, 102, 716, 447]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[102, 153, 562, 412]",1,1,0
places_obj_3_boxing_ring_00000663.jpg,"[278, 80, 738, 338]",0,0,0
places_obj_3_boxing_ring_00000663.jpg,"[135, 248, 595, 506]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[68, 0, 407, 340]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[161, 0, 500, 340]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[34, 34, 306, 306]",4,2,1
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[296, 0, 500, 204]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[130, 25, 430, 325]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[52, 30, 352, 330]",1,1,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[34, 0, 487, 340]",1,2,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[0, 34, 362, 306]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[34, 34, 305, 238]",3,1,2
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[102, 34, 373, 238]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[229, 34, 500, 238]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[189, 78, 489, 303]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[296, 0, 500, 272]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[34, 0, 289, 340]",1,1,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[238, 0, 442, 272]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[340, 0, 492, 204]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[170, 0, 425, 340]",1,2,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[111, 3, 354, 327]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[0, 0, 500, 281]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[34, 68, 434, 293]",1,1,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[102, 34, 402, 202]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[0, 68, 300, 236]",2,2,3
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[2, 113, 352, 309]",0,0,0
k40k_obj_2_farm5_4088_5008488638_a6abed2f1d.jpg,"[134, 64, 434, 232]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[86, 43, 433, 390]",3,1,2
coco_obj_3_COCO_train2014_000000520272.jpg,"[172, 0, 606, 434]",1,2,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[293, 43, 640, 390]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[0, 21, 384, 405]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[129, 13, 513, 397]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[237, 3, 621, 387]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[43, 43, 505, 390]",1,1,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[62, 0, 640, 434]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[86, 86, 433, 346]",4,2,1
coco_obj_3_COCO_train2014_000000520272.jpg,"[129, 129, 476, 389]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[246, 35, 630, 323]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[248, 134, 632, 422]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[129, 0, 454, 434]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[43, 43, 303, 390]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[86, 87, 346, 434]",1,2,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[380, 87, 640, 434]",1,1,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[215, 87, 475, 434]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[229, 2, 540, 416]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[0, 74, 640, 434]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[128, 43, 640, 331]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[86, 86, 470, 302]",2,2,3
coco_obj_3_COCO_train2014_000000520272.jpg,"[256, 172, 640, 388]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[127, 180, 575, 432]",0,0,0
coco_obj_3_COCO_train2014_000000520272.jpg,"[19, 189, 403, 405]",1,1,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[37, 0, 412, 375]",1,1,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[148, 0, 373, 225]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[148, 0, 448, 300]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[200, 37, 500, 337]",1,2,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[12, 63, 312, 363]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[129, 60, 429, 360]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[0, 0, 500, 375]",4,1,1
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[111, 0, 411, 225]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[74, 37, 374, 262]",3,2,2
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[61, 107, 411, 369]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[184, 101, 484, 326]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[136, 54, 436, 279]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[111, 0, 392, 375]",2,1,3
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[185, 0, 466, 375]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[185, 0, 353, 225]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[37, 0, 318, 375]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[3, 9, 273, 369]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[82, 3, 352, 363]",1,2,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[74, 0, 474, 225]",1,2,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[111, 185, 411, 353]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[111, 0, 411, 168]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[0, 74, 500, 355]",1,1,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[103, 47, 403, 215]",0,0,0
k40k_obj_1_farm4_3345_3572179146_41eb82e55c.jpg,"[14, 204, 314, 372]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 0, 391, 391]",1,1,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[78, 0, 312, 234]",1,2,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[39, 156, 351, 468]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[139, 76, 373, 310]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[60, 90, 333, 363]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[24, 219, 297, 492]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 39, 391, 332]",3,1,2
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[39, 0, 351, 234]",1,2,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[78, 39, 312, 214]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 117, 391, 410]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[79, 195, 391, 429]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[84, 193, 318, 368]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[39, 0, 339, 400]",2,2,3
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[78, 0, 302, 300]",4,1,1
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[91, 78, 391, 478]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[78, 78, 302, 378]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[4, 111, 238, 423]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[141, 67, 375, 379]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 0, 391, 219]",1,1,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[39, 39, 273, 170]",1,2,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 78, 391, 297]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[0, 195, 391, 414]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[78, 78, 312, 209]",0,0,0
k40k_obj_1_farm6_5456_6950904174_9560131d76.jpg,"[100, 104, 373, 257]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 0, 480, 480]",1,1,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[96, 192, 384, 480]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 288, 336]",1,2,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[144, 96, 528, 480]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[172, 12, 620, 460]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[137, 1, 521, 385]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 512, 432]",4,1,1
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 384, 336]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[48, 192, 432, 480]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 144, 384, 432]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[118, 35, 630, 419]",1,2,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[223, 6, 607, 294]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[48, 0, 408, 480]",3,1,2
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 288, 432]",2,2,3
coco_obj_1_COCO_train2014_000000436607.jpg,"[144, 0, 504, 480]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[144, 192, 359, 480]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[48, 0, 263, 288]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[276, 15, 621, 475]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 640, 408]",1,1,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 0, 512, 288]",0,0,0
coco_obj_1_COCO_train2014_000000436607.jpg,"[0, 48, 384, 264]",1,2,0
