name,bbox,score,order_pre,order_final
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 0, 387, 387]",4,1,1
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 38, 232, 270]",1,2,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[155, 0, 387, 232]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[96, 211, 328, 443]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[53, 107, 323, 377]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[68, 176, 377, 485]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 0, 387, 290]",3,1,2
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 38, 232, 212]",2,2,3
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[155, 38, 387, 212]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 76, 387, 366]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[4, 124, 236, 298]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[53, 163, 285, 337]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 0, 375, 500]",1,1,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 0, 224, 300]",1,2,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[163, 38, 387, 338]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 76, 224, 376]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[100, 55, 370, 415]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[42, 113, 274, 422]",0,0,0
k40k_obj_2_farm7_6041_6292056661_1282b00880.jpg,"[0, 0, 387, 217]",1,1,0
