name,bbox,score,order_pre,order_final
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[167, 0, 500, 333]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[231, 0, 430, 199]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[264, 33, 463, 232]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[98, 21, 398, 321]",3,1,2
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[6, 9, 306, 309]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[53, 32, 353, 332]",1,2,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[0, 0, 444, 333]",2,1,3
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[145, 0, 500, 266]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[198, 0, 464, 199]",1,2,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[0, 134, 266, 333]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[132, 33, 398, 232]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[145, 71, 445, 296]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[198, 0, 447, 333]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[264, 0, 463, 266]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[264, 0, 413, 199]",1,2,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[132, 0, 381, 333]",1,1,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[0, 0, 249, 333]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[73, 8, 316, 332]",0,0,0
k40k_obj_1_farm7_6031_6285408289_eea06a4d1f.jpg,"[0, 33, 500, 314]",4,1,1
