name,bbox,score,order_pre,order_final
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[67, 198, 334, 465]",1,1,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[66, 99, 333, 366]",1,2,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 198, 267, 465]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[33, 165, 233, 365]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 0, 334, 334]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[74, 27, 274, 227]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[66, 264, 333, 464]",1,1,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[66, 165, 333, 365]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[33, 297, 300, 497]",4,2,1
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 99, 334, 349]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[33, 198, 233, 348]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[133, 142, 333, 292]",1,3,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[66, 198, 266, 465]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 0, 334, 445]",1,2,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[33, 144, 300, 500]",1,1,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[132, 198, 332, 465]",1,3,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[5, 28, 205, 294]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[76, 94, 276, 360]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 165, 334, 352]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 264, 334, 451]",3,2,2
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[67, 99, 334, 249]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[33, 330, 300, 480]",2,1,3
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[0, 0, 334, 187]",0,0,0
k40k_obj_0_farm3_2278_2395873513_d443da3a7c.jpg,"[61, 290, 261, 402]",0,0,0
ava_obj_0_843226.jpg,"[320, 320, 800, 800]",2,1,3
ava_obj_0_843226.jpg,"[160, 160, 800, 800]",1,2,0
ava_obj_0_843226.jpg,"[160, 320, 640, 800]",0,0,0
ava_obj_0_843226.jpg,"[0, 320, 480, 800]",0,0,0
ava_obj_0_843226.jpg,"[80, 160, 640, 720]",0,0,0
ava_obj_0_843226.jpg,"[227, 156, 707, 636]",0,0,0
ava_obj_0_843226.jpg,"[160, 320, 800, 800]",4,1,1
ava_obj_0_843226.jpg,"[0, 440, 480, 800]",0,0,0
ava_obj_0_843226.jpg,"[160, 440, 640, 800]",0,0,0
ava_obj_0_843226.jpg,"[320, 440, 800, 800]",0,0,0
ava_obj_0_843226.jpg,"[320, 320, 800, 680]",1,2,0
ava_obj_0_843226.jpg,"[70, 7, 710, 487]",0,0,0
ava_obj_0_843226.jpg,"[441, 320, 800, 800]",1,1,0
ava_obj_0_843226.jpg,"[320, 160, 800, 800]",3,2,2
ava_obj_0_843226.jpg,"[0, 160, 480, 800]",0,0,0
ava_obj_0_843226.jpg,"[160, 160, 640, 800]",0,0,0
ava_obj_0_843226.jpg,"[320, 320, 679, 800]",0,0,0
ava_obj_0_843226.jpg,"[237, 60, 717, 700]",0,0,0
ava_obj_0_843226.jpg,"[80, 440, 720, 800]",1,2,0
ava_obj_0_843226.jpg,"[0, 530, 480, 800]",0,0,0
ava_obj_0_843226.jpg,"[240, 530, 720, 800]",0,0,0
ava_obj_0_843226.jpg,"[320, 480, 800, 750]",0,0,0
ava_obj_0_843226.jpg,"[23, 383, 583, 698]",0,0,0
ava_obj_0_843226.jpg,"[79, 7, 639, 322]",1,1,0
ava_obj_1_672789.jpg,"[0, 0, 515, 515]",2,2,3
ava_obj_1_672789.jpg,"[208, 102, 620, 514]",4,1,1
ava_obj_1_672789.jpg,"[102, 204, 411, 513]",0,0,0
ava_obj_1_672789.jpg,"[84, 33, 456, 405]",0,0,0
ava_obj_1_672789.jpg,"[210, 22, 582, 394]",0,0,0
ava_obj_1_672789.jpg,"[6, 100, 378, 472]",0,0,0
ava_obj_1_672789.jpg,"[0, 51, 620, 515]",3,1,2
ava_obj_1_672789.jpg,"[102, 236, 474, 515]",1,2,0
ava_obj_1_672789.jpg,"[0, 0, 372, 279]",0,0,0
ava_obj_1_672789.jpg,"[0, 0, 496, 372]",0,0,0
ava_obj_1_672789.jpg,"[102, 0, 474, 279]",0,0,0
ava_obj_1_672789.jpg,"[162, 68, 596, 393]",0,0,0
ava_obj_1_672789.jpg,"[102, 0, 488, 515]",0,0,0
ava_obj_1_672789.jpg,"[0, 0, 386, 515]",0,0,0
ava_obj_1_672789.jpg,"[204, 0, 590, 515]",1,2,0
ava_obj_1_672789.jpg,"[311, 102, 620, 514]",1,1,0
ava_obj_1_672789.jpg,"[56, 12, 428, 508]",0,0,0
ava_obj_1_672789.jpg,"[163, 18, 535, 514]",0,0,0
ava_obj_1_672789.jpg,"[51, 236, 547, 515]",1,2,0
ava_obj_1_672789.jpg,"[0, 0, 496, 279]",0,0,0
ava_obj_1_672789.jpg,"[0, 0, 372, 209]",1,1,0
ava_obj_1_672789.jpg,"[102, 306, 474, 515]",0,0,0
ava_obj_1_672789.jpg,"[0, 51, 620, 399]",0,0,0
ava_obj_1_672789.jpg,"[129, 91, 563, 335]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[0, 76, 305, 381]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[304, 76, 609, 381]",1,1,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[76, 0, 458, 382]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[76, 114, 305, 343]",1,2,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[171, 29, 516, 374]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[245, 6, 590, 351]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[38, 77, 445, 382]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[152, 77, 559, 382]",2,1,3
coco_obj_3_COCO_train2014_000000353711.jpg,"[38, 114, 343, 343]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[304, 114, 609, 343]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[38, 0, 445, 305]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[140, 4, 524, 292]",1,2,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[76, 76, 305, 381]",1,2,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[304, 0, 590, 382]",3,1,2
coco_obj_3_COCO_train2014_000000353711.jpg,"[0, 0, 286, 382]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[114, 76, 285, 305]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[116, 4, 395, 376]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[205, 9, 484, 381]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[76, 94, 588, 382]",4,1,1
coco_obj_3_COCO_train2014_000000353711.jpg,"[76, 76, 460, 292]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[0, 114, 384, 330]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[0, 0, 512, 288]",1,2,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[185, 76, 569, 292]",0,0,0
coco_obj_3_COCO_train2014_000000353711.jpg,"[41, 4, 425, 220]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[0, 99, 333, 432]",4,1,1
coco_obj_1_COCO_train2014_000000388075.jpg,"[33, 198, 299, 464]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[66, 198, 265, 397]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[1, 257, 234, 490]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[38, 54, 304, 320]",1,2,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[52, 49, 251, 248]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[0, 165, 333, 414]",1,1,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[66, 198, 265, 347]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[0, 99, 333, 348]",1,2,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[1, 55, 267, 254]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[111, 184, 310, 333]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[116, 127, 315, 276]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[0, 56, 333, 500]",3,2,2
coco_obj_1_COCO_train2014_000000388075.jpg,"[66, 165, 265, 431]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[0, 33, 266, 388]",0,0,0
coco_obj_1_COCO_train2014_000000388075.jpg,"[33, 132, 232, 398]",2,1,3
coco_obj_1_COCO_train2014_000000388075.jpg,"[2, 204, 201, 469]",0,0,0
