name,bbox,score,order_pre,order_final
ava_obj_2_878069.jpg,"[0, 0, 400, 400]",3,1,2
ava_obj_2_878069.jpg,"[40, 40, 280, 279]",0,0,0
ava_obj_2_878069.jpg,"[80, 120, 400, 440]",1,2,0
ava_obj_2_878069.jpg,"[137, 206, 377, 446]",0,0,0
ava_obj_2_878069.jpg,"[73, 46, 353, 326]",0,0,0
ava_obj_2_878069.jpg,"[60, 240, 300, 480]",0,0,0
ava_obj_2_878069.jpg,"[0, 40, 400, 340]",1,1,0
ava_obj_2_878069.jpg,"[0, 120, 400, 420]",0,0,0
ava_obj_2_878069.jpg,"[0, 0, 320, 240]",0,0,0
ava_obj_2_878069.jpg,"[40, 40, 280, 220]",1,2,0
ava_obj_2_878069.jpg,"[103, 194, 343, 374]",0,0,0
ava_obj_2_878069.jpg,"[17, 273, 257, 453]",0,0,0
ava_obj_2_878069.jpg,"[0, 0, 400, 533]",1,2,0
ava_obj_2_878069.jpg,"[40, 0, 280, 320]",0,0,0
ava_obj_2_878069.jpg,"[160, 120, 400, 440]",0,0,0
ava_obj_2_878069.jpg,"[37, 234, 277, 554]",0,0,0
ava_obj_2_878069.jpg,"[122, 85, 362, 405]",4,1,1
ava_obj_2_878069.jpg,"[68, 208, 348, 581]",0,0,0
ava_obj_2_878069.jpg,"[0, 40, 400, 265]",2,1,3
ava_obj_2_878069.jpg,"[0, 120, 400, 345]",1,2,0
ava_obj_2_878069.jpg,"[0, 0, 320, 180]",0,0,0
ava_obj_2_878069.jpg,"[0, 40, 240, 175]",0,0,0
ava_obj_2_878069.jpg,"[41, 388, 321, 545]",0,0,0
ava_obj_2_878069.jpg,"[42, 113, 282, 248]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[37, 0, 412, 375]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[148, 0, 448, 300]",4,2,1
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[148, 0, 373, 225]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[0, 0, 300, 300]",1,1,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[186, 56, 486, 356]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[25, 67, 325, 367]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[74, 0, 474, 300]",1,1,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[111, 0, 411, 225]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[37, 75, 437, 375]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[111, 150, 411, 375]",1,2,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[5, 10, 355, 272]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[84, 86, 384, 311]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[111, 0, 392, 375]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[37, 0, 318, 375]",3,2,2
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[185, 0, 466, 375]",2,1,3
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[6, 3, 276, 363]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[225, 7, 495, 367]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[153, 13, 423, 373]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[74, 0, 474, 225]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[111, 0, 411, 168]",1,2,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[111, 185, 411, 353]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[0, 74, 500, 355]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[37, 148, 437, 373]",0,0,0
k40k_obj_1_farm3_2788_4040150170_e95d38764b.jpg,"[7, 49, 357, 245]",1,1,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 67, 266, 333]",1,1,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[33, 0, 366, 333]",1,2,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[198, 0, 397, 199]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[132, 0, 398, 266]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[167, 0, 500, 333]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[123, 29, 423, 329]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 0, 444, 333]",3,2,2
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 66, 266, 265]",2,0,3
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[132, 0, 398, 199]",4,1,1
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[132, 0, 487, 266]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[124, 64, 474, 326]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[95, 42, 395, 267]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[198, 0, 397, 266]",1,1,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[231, 0, 380, 199]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 0, 249, 333]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[99, 0, 348, 333]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[251, 0, 500, 333]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[164, 6, 407, 330]",1,2,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 0, 500, 281]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[132, 0, 432, 168]",1,1,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[99, 33, 399, 201]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 66, 400, 291]",0,0,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[0, 99, 300, 267]",1,2,0
k40k_obj_3_farm9_8196_8146354977_06a366850a.jpg,"[117, 129, 417, 297]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[99, 0, 433, 334]",1,2,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[198, 33, 465, 300]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 66, 332, 266]",4,2,1
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[43, 23, 343, 323]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[4, 0, 304, 300]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[77, 11, 377, 311]",1,3,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[144, 33, 500, 300]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 66, 399, 266]",2,1,3
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[33, 66, 389, 333]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[165, 99, 432, 299]",1,2,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[6, 27, 306, 252]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[116, 6, 416, 231]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[165, 0, 415, 334]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 67, 332, 334]",1,2,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[231, 0, 481, 334]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 0, 332, 267]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[4, 6, 247, 330]",1,1,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[70, 3, 313, 327]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[99, 33, 499, 258]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 99, 432, 267]",3,2,2
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[33, 66, 433, 291]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[132, 33, 432, 201]",0,0,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[114, 133, 464, 329]",1,1,0
k40k_obj_1_farm9_8250_8557334721_02246d2ee2.jpg,"[4, 158, 304, 326]",0,0,0
ava_obj_0_579892.jpg,"[270, 45, 634, 409]",0,0,0
ava_obj_0_579892.jpg,"[315, 45, 588, 318]",0,0,0
ava_obj_0_579892.jpg,"[360, 0, 633, 273]",0,0,0
ava_obj_0_579892.jpg,"[134, 2, 582, 450]",1,2,0
ava_obj_0_579892.jpg,"[54, 53, 438, 437]",1,1,0
ava_obj_0_579892.jpg,"[7, 10, 391, 394]",0,0,0
ava_obj_0_579892.jpg,"[276, 45, 640, 318]",0,0,0
ava_obj_0_579892.jpg,"[154, 45, 640, 409]",0,0,0
ava_obj_0_579892.jpg,"[270, 135, 634, 408]",3,2,2
ava_obj_0_579892.jpg,"[180, 45, 544, 318]",0,0,0
ava_obj_0_579892.jpg,"[20, 126, 404, 414]",4,2,1
ava_obj_0_579892.jpg,"[39, 26, 487, 362]",0,0,0
ava_obj_0_579892.jpg,"[298, 0, 640, 456]",1,2,0
ava_obj_0_579892.jpg,"[360, 45, 565, 318]",0,0,0
ava_obj_0_579892.jpg,"[270, 45, 543, 409]",0,0,0
ava_obj_0_579892.jpg,"[21, 31, 332, 445]",0,0,0
ava_obj_0_579892.jpg,"[140, 14, 451, 428]",0,0,0
ava_obj_0_579892.jpg,"[199, 37, 510, 451]",1,1,0
ava_obj_0_579892.jpg,"[0, 45, 640, 405]",2,1,3
ava_obj_0_579892.jpg,"[256, 90, 640, 306]",0,0,0
ava_obj_0_579892.jpg,"[128, 135, 640, 423]",1,2,0
ava_obj_0_579892.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_0_579892.jpg,"[120, 212, 504, 428]",0,0,0
ava_obj_0_579892.jpg,"[51, 35, 435, 251]",0,0,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[200, 37, 500, 337]",0,0,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[275, 74, 500, 299]",2,1,3
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[111, 0, 411, 300]",1,2,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[29, 71, 329, 371]",0,0,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[126, 68, 426, 368]",0,0,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[2, 15, 302, 315]",0,0,0
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[200, 74, 500, 299]",3,1,2
k40k_obj_1_farm1_74_179511361_fda7c27206.jpg,"[100, 37, 500, 337]",0,0,0
