name,bbox,score,order_pre,order_final
places_obj_0_ski_resort_00004766.jpg,"[0, 103, 409, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[188, 0, 700, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[0, 205, 307, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[153, 102, 562, 511]",1,1,0
places_obj_0_ski_resort_00004766.jpg,"[102, 204, 409, 511]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[77, 32, 497, 452]",1,2,0
places_obj_0_ski_resort_00004766.jpg,"[0, 205, 409, 512]",3,3,2
places_obj_0_ski_resort_00004766.jpg,"[18, 0, 700, 512]",1,2,0
places_obj_0_ski_resort_00004766.jpg,"[291, 205, 700, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[0, 102, 409, 409]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[234, 144, 654, 459]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[110, 131, 600, 498]",1,1,0
places_obj_0_ski_resort_00004766.jpg,"[0, 0, 384, 512]",1,3,0
places_obj_0_ski_resort_00004766.jpg,"[204, 0, 588, 512]",1,1,0
places_obj_0_ski_resort_00004766.jpg,"[393, 102, 700, 511]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[102, 0, 486, 512]",1,2,0
places_obj_0_ski_resort_00004766.jpg,"[0, 205, 230, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[300, 1, 678, 505]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[0, 119, 700, 512]",2,2,3
places_obj_0_ski_resort_00004766.jpg,"[0, 255, 420, 491]",4,1,1
places_obj_0_ski_resort_00004766.jpg,"[280, 276, 700, 512]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[224, 125, 644, 361]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[125, 228, 545, 464]",0,0,0
places_obj_0_ski_resort_00004766.jpg,"[205, 57, 625, 293]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 66, 333, 399]",1,2,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 33, 266, 299]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 66, 199, 265]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[33, 99, 232, 298]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[45, 185, 311, 451]",2,1,3
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[37, 166, 236, 365]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 99, 333, 348]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 33, 333, 282]",1,1,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 99, 199, 248]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[132, 165, 331, 314]",0,0,0
k40k_obj_0_farm6_5240_5908822885_36a9a055db.jpg,"[0, 165, 333, 414]",1,2,0
