name,bbox,score,order_pre,order_final
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[111, 0, 486, 375]",4,1,1
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[74, 74, 374, 374]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[148, 150, 373, 375]",1,2,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[38, 11, 338, 311]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[132, 17, 432, 317]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[0, 57, 300, 357]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[100, 75, 500, 375]",3,1,2
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[148, 148, 448, 373]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[74, 150, 374, 375]",2,2,3
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[47, 12, 347, 237]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[90, 68, 390, 293]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[195, 60, 495, 285]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[148, 0, 429, 375]",1,1,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[185, 148, 353, 373]",1,2,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[111, 75, 336, 375]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[30, 14, 300, 374]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[92, 1, 362, 361]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[74, 148, 474, 373]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[0, 37, 500, 318]",1,2,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[148, 185, 448, 353]",1,1,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[108, 45, 458, 241]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[23, 18, 373, 214]",0,0,0
k40k_obj_1_farm3_2374_2485491446_25ef634e6a.jpg,"[28, 96, 378, 292]",0,0,0
ava_obj_1_4099.jpg,"[96, 0, 576, 480]",2,2,3
ava_obj_1_4099.jpg,"[256, 48, 640, 432]",0,0,0
ava_obj_1_4099.jpg,"[48, 96, 432, 480]",0,0,0
ava_obj_1_4099.jpg,"[144, 144, 432, 432]",0,0,0
ava_obj_1_4099.jpg,"[0, 8, 384, 392]",0,0,0
ava_obj_1_4099.jpg,"[131, 21, 515, 405]",1,1,0
ava_obj_1_4099.jpg,"[0, 0, 640, 480]",4,1,1
ava_obj_1_4099.jpg,"[96, 192, 480, 480]",0,0,0
ava_obj_1_4099.jpg,"[96, 96, 480, 384]",0,0,0
ava_obj_1_4099.jpg,"[0, 144, 384, 432]",0,0,0
ava_obj_1_4099.jpg,"[18, 1, 466, 337]",1,2,0
ava_obj_1_4099.jpg,"[227, 87, 611, 375]",0,0,0
ava_obj_1_4099.jpg,"[144, 0, 504, 480]",1,1,0
ava_obj_1_4099.jpg,"[352, 48, 640, 432]",0,0,0
ava_obj_1_4099.jpg,"[96, 96, 384, 480]",0,0,0
ava_obj_1_4099.jpg,"[13, 0, 358, 460]",0,0,0
ava_obj_1_4099.jpg,"[243, 14, 588, 474]",1,2,0
ava_obj_1_4099.jpg,"[86, 15, 431, 475]",0,0,0
ava_obj_1_4099.jpg,"[0, 96, 640, 456]",1,2,0
ava_obj_1_4099.jpg,"[48, 192, 560, 480]",0,0,0
ava_obj_1_4099.jpg,"[0, 0, 640, 360]",3,1,2
ava_obj_1_4099.jpg,"[96, 240, 480, 456]",0,0,0
ava_obj_1_4099.jpg,"[205, 154, 589, 370]",0,0,0
ava_obj_1_4099.jpg,"[106, 77, 554, 329]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[0, 0, 375, 375]",1,2,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[148, 37, 448, 337]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[148, 74, 373, 299]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[74, 37, 299, 262]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[103, 0, 403, 300]",2,1,3
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[62, 55, 362, 355]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[0, 0, 500, 375]",3,1,2
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[37, 37, 337, 262]",1,2,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[37, 111, 337, 336]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[139, 61, 489, 323]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[172, 146, 472, 371]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[87, 18, 437, 280]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[37, 0, 318, 375]",1,2,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[111, 0, 336, 300]",1,1,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[148, 74, 316, 299]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[148, 0, 316, 225]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[225, 11, 495, 371]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[139, 2, 409, 362]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[0, 37, 500, 318]",4,1,1
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[74, 111, 374, 279]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[37, 74, 337, 242]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[74, 111, 474, 336]",1,2,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[68, 164, 418, 360]",0,0,0
k40k_obj_1_farm5_4111_5092267466_0abb534c01.jpg,"[149, 18, 449, 186]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[192, 144, 480, 432]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[144, 96, 528, 480]",3,1,2
coco_obj_0_COCO_train2014_000000061672.jpg,"[0, 0, 480, 480]",1,2,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[166, 4, 614, 452]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[7, 85, 391, 469]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[121, 0, 505, 384]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[144, 144, 528, 432]",4,1,1
coco_obj_0_COCO_train2014_000000061672.jpg,"[128, 96, 640, 480]",2,2,3
coco_obj_0_COCO_train2014_000000061672.jpg,"[48, 48, 560, 432]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[245, 2, 629, 290]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[90, 68, 474, 356]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[1, 1, 449, 337]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[192, 96, 480, 480]",1,1,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[96, 0, 456, 480]",1,2,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[192, 144, 407, 432]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[0, 0, 360, 480]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[259, 17, 604, 477]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[182, 2, 527, 462]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[128, 144, 640, 432]",1,1,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[144, 240, 528, 456]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[144, 144, 528, 360]",1,2,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[0, 192, 512, 480]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[0, 0, 640, 360]",0,0,0
coco_obj_0_COCO_train2014_000000061672.jpg,"[160, 60, 544, 276]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[74, 0, 449, 375]",2,2,3
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[37, 37, 337, 337]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[111, 37, 336, 262]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[185, 37, 485, 337]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[102, 10, 402, 310]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[85, 70, 385, 370]",1,1,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[37, 37, 437, 337]",4,1,1
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[111, 111, 411, 336]",1,2,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[111, 37, 411, 262]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[22, 73, 322, 298]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[188, 104, 488, 329]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[196, 24, 496, 249]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[111, 0, 392, 375]",1,1,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[185, 74, 410, 374]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[148, 37, 316, 262]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[74, 0, 299, 300]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[185, 111, 353, 336]",1,2,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[214, 9, 484, 369]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[74, 111, 474, 336]",1,2,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[0, 37, 500, 318]",3,1,2
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[111, 148, 411, 316]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[28, 42, 378, 238]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[158, 114, 458, 282]",0,0,0
k40k_obj_1_farm6_5061_5886797478_c06b43154f.jpg,"[55, 127, 355, 295]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[74, 0, 447, 373]",1,1,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[37, 0, 335, 298]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[111, 37, 334, 260]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[259, 19, 604, 364]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[179, 3, 524, 348]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[19, 20, 364, 365]",1,2,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[37, 0, 534, 373]",4,1,1
coco_obj_1_COCO_train2014_000000149237.jpg,"[0, 37, 397, 335]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[111, 37, 409, 260]",1,2,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[74, 0, 372, 223]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[157, 30, 541, 318]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[97, 76, 481, 364]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[111, 0, 390, 373]",1,1,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[37, 0, 316, 373]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[148, 0, 315, 223]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[185, 0, 464, 373]",1,2,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[367, 19, 618, 353]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[269, 4, 520, 338]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[0, 0, 640, 360]",2,1,3
coco_obj_1_COCO_train2014_000000149237.jpg,"[74, 37, 458, 253]",3,2,2
coco_obj_1_COCO_train2014_000000149237.jpg,"[0, 0, 384, 216]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[18, 153, 402, 369]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[115, 112, 499, 328]",0,0,0
coco_obj_1_COCO_train2014_000000149237.jpg,"[183, 76, 567, 292]",0,0,0
