name,bbox,score,order_pre,order_final
ava_obj_3_519679.jpg,"[56, 113, 506, 563]",1,2,0
ava_obj_3_519679.jpg,"[168, 112, 618, 562]",1,4,0
ava_obj_3_519679.jpg,"[56, 0, 506, 450]",1,3,0
ava_obj_3_519679.jpg,"[168, 56, 505, 393]",0,0,0
ava_obj_3_519679.jpg,"[112, 112, 449, 449]",1,1,0
ava_obj_3_519679.jpg,"[249, 82, 633, 466]",0,0,0
ava_obj_3_519679.jpg,"[0, 84, 640, 563]",4,2,1
ava_obj_3_519679.jpg,"[56, 56, 568, 440]",2,5,3
ava_obj_3_519679.jpg,"[112, 112, 496, 400]",1,3,0
ava_obj_3_519679.jpg,"[128, 0, 640, 384]",1,4,0
ava_obj_3_519679.jpg,"[25, 167, 409, 455]",1,1,0
ava_obj_3_519679.jpg,"[237, 37, 621, 325]",0,0,0
ava_obj_3_519679.jpg,"[56, 0, 478, 563]",3,3,2
ava_obj_3_519679.jpg,"[218, 0, 640, 563]",0,0,0
ava_obj_3_519679.jpg,"[168, 113, 505, 563]",0,0,0
ava_obj_3_519679.jpg,"[0, 113, 337, 563]",1,2,0
ava_obj_3_519679.jpg,"[112, 112, 365, 449]",1,1,0
ava_obj_3_519679.jpg,"[6, 7, 390, 519]",1,4,0
ava_obj_3_519679.jpg,"[0, 168, 640, 528]",0,0,0
ava_obj_3_519679.jpg,"[0, 56, 640, 416]",1,1,0
ava_obj_3_519679.jpg,"[112, 112, 496, 328]",0,0,0
ava_obj_3_519679.jpg,"[0, 275, 512, 563]",0,0,0
ava_obj_3_519679.jpg,"[56, 168, 440, 384]",1,2,0
ava_obj_3_519679.jpg,"[85, 36, 597, 324]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[256, 0, 640, 384]",2,2,3
coco_obj_0_COCO_train2014_000000185200.jpg,"[0, 0, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[336, 0, 624, 288]",3,1,2
coco_obj_0_COCO_train2014_000000185200.jpg,"[240, 0, 528, 288]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[336, 96, 624, 384]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[53, 69, 437, 453]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[0, 48, 384, 336]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[0, 0, 640, 480]",0,0,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[144, 0, 528, 288]",1,2,0
coco_obj_0_COCO_train2014_000000185200.jpg,"[256, 0, 640, 288]",4,1,1
coco_obj_0_COCO_train2014_000000185200.jpg,"[256, 96, 640, 384]",0,0,0
