name,bbox,score,order_pre,order_final
ava_obj_0_778250.jpg,"[0, 42, 427, 469]",3,1,2
ava_obj_0_778250.jpg,"[84, 210, 425, 551]",0,0,0
ava_obj_0_778250.jpg,"[126, 336, 382, 592]",0,0,0
ava_obj_0_778250.jpg,"[21, 287, 319, 585]",0,0,0
ava_obj_0_778250.jpg,"[111, 243, 367, 499]",0,0,0
ava_obj_0_778250.jpg,"[81, 77, 337, 333]",1,2,0
ava_obj_0_778250.jpg,"[86, 336, 427, 592]",0,0,0
ava_obj_0_778250.jpg,"[0, 252, 427, 572]",1,2,0
ava_obj_0_778250.jpg,"[0, 168, 427, 488]",1,1,0
ava_obj_0_778250.jpg,"[42, 378, 383, 634]",0,0,0
ava_obj_0_778250.jpg,"[44, 0, 300, 192]",0,0,0
ava_obj_0_778250.jpg,"[36, 291, 334, 514]",0,0,0
ava_obj_0_778250.jpg,"[0, 0, 427, 569]",4,2,1
ava_obj_0_778250.jpg,"[86, 168, 427, 623]",0,0,0
ava_obj_0_778250.jpg,"[126, 252, 382, 593]",0,0,0
ava_obj_0_778250.jpg,"[42, 60, 340, 457]",2,1,3
ava_obj_0_778250.jpg,"[97, 155, 353, 496]",0,0,0
ava_obj_0_778250.jpg,"[107, 22, 405, 419]",0,0,0
ava_obj_0_778250.jpg,"[0, 336, 427, 576]",0,0,0
ava_obj_0_778250.jpg,"[0, 400, 427, 640]",0,0,0
ava_obj_0_778250.jpg,"[0, 252, 427, 492]",0,0,0
ava_obj_0_778250.jpg,"[0, 168, 427, 408]",1,3,0
ava_obj_0_778250.jpg,"[25, 11, 366, 202]",1,1,0
ava_obj_0_778250.jpg,"[103, 114, 401, 281]",1,2,0
ava_obj_0_659407.jpg,"[0, 0, 378, 378]",0,0,0
ava_obj_0_659407.jpg,"[148, 0, 450, 302]",0,0,0
ava_obj_0_659407.jpg,"[148, 37, 374, 263]",1,1,0
ava_obj_0_659407.jpg,"[240, 5, 585, 350]",0,0,0
ava_obj_0_659407.jpg,"[162, 32, 507, 377]",0,0,0
ava_obj_0_659407.jpg,"[79, 13, 424, 358]",1,2,0
ava_obj_0_659407.jpg,"[0, 37, 403, 339]",0,0,0
ava_obj_0_659407.jpg,"[74, 0, 578, 378]",0,0,0
ava_obj_0_659407.jpg,"[74, 37, 376, 263]",3,1,2
ava_obj_0_659407.jpg,"[37, 111, 339, 337]",2,3,3
ava_obj_0_659407.jpg,"[196, 35, 580, 323]",0,0,0
ava_obj_0_659407.jpg,"[141, 79, 525, 367]",0,0,0
ava_obj_0_659407.jpg,"[74, 0, 357, 378]",1,1,0
ava_obj_0_659407.jpg,"[0, 0, 283, 378]",0,0,0
ava_obj_0_659407.jpg,"[185, 0, 411, 302]",0,0,0
ava_obj_0_659407.jpg,"[222, 37, 392, 263]",1,2,0
ava_obj_0_659407.jpg,"[279, 2, 558, 374]",0,0,0
ava_obj_0_659407.jpg,"[199, 1, 478, 373]",0,0,0
ava_obj_0_659407.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_659407.jpg,"[222, 0, 606, 216]",1,2,0
ava_obj_0_659407.jpg,"[37, 37, 421, 253]",4,1,1
ava_obj_0_659407.jpg,"[148, 37, 532, 253]",0,0,0
ava_obj_0_659407.jpg,"[0, 90, 512, 378]",0,0,0
ava_obj_0_659407.jpg,"[188, 54, 636, 306]",0,0,0
ava_obj_0_951598.jpg,"[0, 330, 330, 660]",1,2,0
ava_obj_0_951598.jpg,"[0, 338, 440, 778]",0,0,0
ava_obj_0_951598.jpg,"[55, 385, 385, 715]",1,1,0
ava_obj_0_951598.jpg,"[55, 275, 385, 605]",0,0,0
ava_obj_0_951598.jpg,"[55, 220, 495, 660]",0,0,0
ava_obj_0_951598.jpg,"[42, 164, 372, 494]",0,0,0
ava_obj_0_951598.jpg,"[0, 275, 550, 687]",0,0,0
ava_obj_0_951598.jpg,"[0, 385, 330, 632]",4,2,1
ava_obj_0_951598.jpg,"[0, 385, 440, 715]",1,1,0
ava_obj_0_951598.jpg,"[114, 397, 444, 644]",0,0,0
ava_obj_0_951598.jpg,"[4, 59, 444, 389]",0,0,0
ava_obj_0_951598.jpg,"[93, 160, 533, 490]",0,0,0
ava_obj_0_951598.jpg,"[0, 330, 330, 769]",3,1,2
ava_obj_0_951598.jpg,"[0, 220, 330, 659]",0,0,0
ava_obj_0_951598.jpg,"[0, 165, 440, 751]",0,0,0
ava_obj_0_951598.jpg,"[55, 275, 385, 714]",1,2,0
ava_obj_0_951598.jpg,"[55, 165, 385, 604]",0,0,0
ava_obj_0_951598.jpg,"[198, 226, 528, 666]",0,0,0
ava_obj_0_951598.jpg,"[0, 385, 550, 694]",2,2,3
ava_obj_0_951598.jpg,"[0, 385, 330, 570]",1,1,0
ava_obj_0_951598.jpg,"[0, 440, 330, 625]",0,0,0
ava_obj_0_951598.jpg,"[0, 275, 550, 584]",0,0,0
ava_obj_0_951598.jpg,"[129, 444, 514, 660]",0,0,0
ava_obj_0_951598.jpg,"[172, 527, 502, 712]",0,0,0
ava_obj_0_946845.jpg,"[100, 0, 609, 509]",1,1,0
ava_obj_0_946845.jpg,"[0, 0, 407, 407]",0,0,0
ava_obj_0_946845.jpg,"[200, 0, 505, 305]",0,0,0
ava_obj_0_946845.jpg,"[100, 0, 405, 305]",0,0,0
ava_obj_0_946845.jpg,"[231, 10, 711, 490]",0,0,0
ava_obj_0_946845.jpg,"[13, 17, 493, 497]",1,2,0
ava_obj_0_946845.jpg,"[0, 0, 678, 509]",1,2,0
ava_obj_0_946845.jpg,"[150, 0, 557, 305]",0,0,0
ava_obj_0_946845.jpg,"[0, 0, 407, 305]",0,0,0
ava_obj_0_946845.jpg,"[114, 139, 594, 499]",1,1,0
ava_obj_0_946845.jpg,"[153, 61, 633, 421]",0,0,0
ava_obj_0_946845.jpg,"[290, 138, 770, 498]",0,0,0
ava_obj_0_946845.jpg,"[250, 0, 631, 509]",1,1,0
ava_obj_0_946845.jpg,"[150, 0, 531, 509]",0,0,0
ava_obj_0_946845.jpg,"[250, 0, 479, 305]",0,0,0
ava_obj_0_946845.jpg,"[50, 0, 431, 509]",0,0,0
ava_obj_0_946845.jpg,"[0, 0, 305, 407]",0,0,0
ava_obj_0_946845.jpg,"[389, 15, 738, 480]",2,2,3
ava_obj_0_946845.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_946845.jpg,"[0, 149, 640, 509]",4,2,1
ava_obj_0_946845.jpg,"[150, 50, 630, 320]",0,0,0
ava_obj_0_946845.jpg,"[0, 0, 480, 270]",0,0,0
ava_obj_0_946845.jpg,"[150, 50, 790, 410]",3,1,2
ava_obj_0_946845.jpg,"[75, 225, 555, 495]",0,0,0
ava_obj_0_745915.jpg,"[76, 0, 460, 384]",0,0,0
ava_obj_0_745915.jpg,"[190, 0, 497, 307]",1,2,0
ava_obj_0_745915.jpg,"[0, 0, 307, 307]",3,1,2
ava_obj_0_745915.jpg,"[228, 38, 458, 268]",0,0,0
ava_obj_0_745915.jpg,"[230, 34, 575, 379]",0,0,0
ava_obj_0_745915.jpg,"[292, 4, 637, 349]",0,0,0
ava_obj_0_745915.jpg,"[76, 0, 485, 307]",1,2,0
ava_obj_0_745915.jpg,"[0, 76, 409, 383]",0,0,0
ava_obj_0_745915.jpg,"[38, 38, 345, 268]",1,1,0
ava_obj_0_745915.jpg,"[190, 38, 497, 268]",0,0,0
ava_obj_0_745915.jpg,"[218, 88, 602, 376]",0,0,0
ava_obj_0_745915.jpg,"[121, 93, 505, 381]",0,0,0
ava_obj_0_745915.jpg,"[76, 0, 364, 384]",0,0,0
ava_obj_0_745915.jpg,"[228, 0, 458, 307]",1,1,0
ava_obj_0_745915.jpg,"[0, 0, 288, 384]",1,2,0
ava_obj_0_745915.jpg,"[266, 0, 554, 384]",0,0,0
ava_obj_0_745915.jpg,"[155, 10, 434, 382]",0,0,0
ava_obj_0_745915.jpg,"[349, 11, 628, 383]",0,0,0
ava_obj_0_745915.jpg,"[0, 0, 512, 288]",4,1,1
ava_obj_0_745915.jpg,"[38, 38, 422, 254]",2,2,3
ava_obj_0_745915.jpg,"[0, 76, 512, 364]",0,0,0
ava_obj_0_745915.jpg,"[114, 38, 626, 326]",0,0,0
ava_obj_0_745915.jpg,"[190, 38, 574, 254]",0,0,0
ava_obj_0_745915.jpg,"[114, 20, 498, 236]",0,0,0
