name,bbox,score,order_pre,order_final
ava_obj_0_924162.jpg,"[0, 0, 533, 533]",0,0,0
ava_obj_0_924162.jpg,"[267, 0, 800, 533]",4,1,1
ava_obj_0_924162.jpg,"[212, 159, 531, 478]",0,0,0
ava_obj_0_924162.jpg,"[147, 13, 627, 493]",0,0,0
ava_obj_0_924162.jpg,"[225, 22, 705, 502]",1,2,0
ava_obj_0_924162.jpg,"[93, 50, 573, 530]",0,0,0
ava_obj_0_924162.jpg,"[0, 107, 568, 533]",0,0,0
ava_obj_0_924162.jpg,"[159, 159, 585, 478]",0,0,0
ava_obj_0_924162.jpg,"[318, 0, 744, 319]",1,2,0
ava_obj_0_924162.jpg,"[159, 0, 727, 426]",2,1,3
ava_obj_0_924162.jpg,"[212, 107, 780, 533]",0,0,0
ava_obj_0_924162.jpg,"[19, 26, 499, 386]",0,0,0
ava_obj_0_924162.jpg,"[212, 106, 531, 532]",0,0,0
ava_obj_0_924162.jpg,"[265, 159, 504, 478]",0,0,0
ava_obj_0_924162.jpg,"[265, 0, 664, 533]",1,1,0
ava_obj_0_924162.jpg,"[371, 0, 770, 533]",1,2,0
ava_obj_0_924162.jpg,"[73, 0, 461, 517]",0,0,0
ava_obj_0_924162.jpg,"[189, 0, 577, 517]",0,0,0
ava_obj_0_924162.jpg,"[106, 159, 746, 519]",0,0,0
ava_obj_0_924162.jpg,"[265, 0, 745, 270]",3,2,2
ava_obj_0_924162.jpg,"[53, 159, 533, 429]",0,0,0
ava_obj_0_924162.jpg,"[0, 212, 480, 482]",0,0,0
ava_obj_0_924162.jpg,"[0, 0, 800, 450]",1,1,0
ava_obj_0_924162.jpg,"[213, 32, 773, 347]",0,0,0
ava_obj_2_738483.jpg,"[0, 84, 424, 508]",1,3,0
ava_obj_2_738483.jpg,"[42, 252, 381, 591]",0,0,0
ava_obj_2_738483.jpg,"[170, 294, 424, 548]",1,2,0
ava_obj_2_738483.jpg,"[0, 210, 254, 464]",1,1,0
ava_obj_2_738483.jpg,"[69, 22, 408, 361]",0,0,0
ava_obj_2_738483.jpg,"[13, 49, 309, 345]",0,0,0
ava_obj_2_738483.jpg,"[0, 252, 424, 570]",1,2,0
ava_obj_2_738483.jpg,"[42, 210, 381, 464]",0,0,0
ava_obj_2_738483.jpg,"[0, 252, 254, 442]",3,1,2
ava_obj_2_738483.jpg,"[170, 336, 424, 526]",1,3,0
ava_obj_2_738483.jpg,"[78, 412, 332, 602]",0,0,0
ava_obj_2_738483.jpg,"[29, 316, 325, 538]",0,0,0
ava_obj_2_738483.jpg,"[0, 0, 424, 565]",4,3,1
ava_obj_2_738483.jpg,"[168, 294, 422, 633]",0,0,0
ava_obj_2_738483.jpg,"[42, 168, 381, 620]",0,0,0
ava_obj_2_738483.jpg,"[170, 210, 424, 549]",1,2,0
ava_obj_2_738483.jpg,"[107, 104, 361, 442]",0,0,0
ava_obj_2_738483.jpg,"[16, 115, 270, 453]",1,1,0
ava_obj_2_738483.jpg,"[0, 252, 424, 490]",2,1,3
ava_obj_2_738483.jpg,"[42, 336, 381, 526]",0,0,0
ava_obj_2_738483.jpg,"[0, 294, 254, 437]",1,2,0
ava_obj_2_738483.jpg,"[0, 252, 254, 395]",0,0,0
ava_obj_2_738483.jpg,"[168, 420, 422, 563]",0,0,0
ava_obj_2_738483.jpg,"[91, 312, 387, 478]",0,0,0
ava_obj_2_609717.jpg,"[0, 86, 435, 521]",4,1,1
ava_obj_2_609717.jpg,"[0, 215, 261, 476]",0,0,0
ava_obj_2_609717.jpg,"[87, 43, 435, 391]",0,0,0
ava_obj_2_609717.jpg,"[43, 215, 391, 563]",1,2,0
ava_obj_2_609717.jpg,"[113, 43, 374, 304]",0,0,0
ava_obj_2_609717.jpg,"[85, 118, 346, 379]",0,0,0
ava_obj_2_609717.jpg,"[0, 172, 435, 498]",1,2,0
ava_obj_2_609717.jpg,"[0, 86, 435, 412]",2,1,3
ava_obj_2_609717.jpg,"[0, 0, 435, 326]",0,0,0
ava_obj_2_609717.jpg,"[0, 258, 348, 519]",0,0,0
ava_obj_2_609717.jpg,"[64, 240, 368, 468]",0,0,0
ava_obj_2_609717.jpg,"[45, 106, 349, 334]",0,0,0
ava_obj_2_609717.jpg,"[0, 43, 435, 623]",3,1,2
ava_obj_2_609717.jpg,"[0, 215, 261, 563]",0,0,0
ava_obj_2_609717.jpg,"[0, 0, 348, 464]",1,2,0
ava_obj_2_609717.jpg,"[119, 117, 423, 522]",0,0,0
ava_obj_2_609717.jpg,"[168, 38, 429, 386]",0,0,0
ava_obj_2_609717.jpg,"[94, 211, 398, 616]",0,0,0
ava_obj_2_609717.jpg,"[0, 172, 435, 416]",1,1,0
ava_obj_2_609717.jpg,"[0, 258, 435, 502]",1,2,0
ava_obj_2_609717.jpg,"[0, 0, 435, 244]",0,0,0
ava_obj_2_609717.jpg,"[0, 86, 435, 330]",0,0,0
ava_obj_2_609717.jpg,"[45, 240, 393, 435]",0,0,0
ava_obj_2_609717.jpg,"[150, 209, 411, 355]",0,0,0
ava_obj_1_773421.jpg,"[0, 52, 419, 471]",1,1,0
ava_obj_1_773421.jpg,"[104, 156, 418, 470]",2,2,3
ava_obj_1_773421.jpg,"[104, 0, 628, 524]",1,3,0
ava_obj_1_773421.jpg,"[104, 52, 418, 366]",0,0,0
ava_obj_1_773421.jpg,"[214, 143, 593, 522]",0,0,0
ava_obj_1_773421.jpg,"[208, 25, 587, 404]",0,0,0
ava_obj_1_773421.jpg,"[0, 50, 632, 524]",4,4,1
ava_obj_1_773421.jpg,"[104, 156, 483, 440]",1,1,0
ava_obj_1_773421.jpg,"[0, 156, 379, 440]",1,3,0
ava_obj_1_773421.jpg,"[52, 52, 431, 336]",0,0,0
ava_obj_1_773421.jpg,"[189, 126, 631, 457]",0,0,0
ava_obj_1_773421.jpg,"[144, 77, 523, 361]",1,2,0
ava_obj_1_773421.jpg,"[0, 0, 393, 524]",0,0,0
ava_obj_1_773421.jpg,"[104, 52, 418, 471]",0,0,0
ava_obj_1_773421.jpg,"[156, 104, 470, 523]",1,3,0
ava_obj_1_773421.jpg,"[156, 156, 391, 470]",1,2,0
ava_obj_1_773421.jpg,"[156, 52, 391, 366]",1,1,0
ava_obj_1_773421.jpg,"[237, 7, 616, 512]",0,0,0
ava_obj_1_773421.jpg,"[0, 156, 632, 511]",1,3,0
ava_obj_1_773421.jpg,"[0, 52, 632, 407]",1,1,0
ava_obj_1_773421.jpg,"[104, 156, 483, 369]",3,2,2
ava_obj_1_773421.jpg,"[226, 82, 605, 295]",0,0,0
ava_obj_1_773421.jpg,"[31, 36, 473, 284]",0,0,0
ava_obj_1_773421.jpg,"[199, 136, 578, 349]",0,0,0
ava_obj_3_323161.jpg,"[205, 0, 624, 419]",0,0,0
ava_obj_3_323161.jpg,"[164, 41, 499, 376]",1,2,0
ava_obj_3_323161.jpg,"[41, 0, 460, 419]",1,3,0
ava_obj_3_323161.jpg,"[246, 41, 497, 292]",1,1,0
ava_obj_3_323161.jpg,"[0, 82, 335, 417]",0,0,0
ava_obj_3_323161.jpg,"[10, 4, 385, 379]",0,0,0
ava_obj_3_323161.jpg,"[41, 0, 599, 419]",1,3,0
ava_obj_3_323161.jpg,"[205, 41, 540, 292]",4,1,1
ava_obj_3_323161.jpg,"[0, 82, 446, 417]",1,2,0
ava_obj_3_323161.jpg,"[180, 84, 626, 419]",0,0,0
ava_obj_3_323161.jpg,"[142, 96, 517, 377]",0,0,0
ava_obj_3_323161.jpg,"[85, 11, 460, 292]",0,0,0
ava_obj_3_323161.jpg,"[246, 0, 560, 419]",1,2,0
ava_obj_3_323161.jpg,"[164, 0, 478, 419]",1,3,0
ava_obj_3_323161.jpg,"[0, 82, 251, 417]",0,0,0
ava_obj_3_323161.jpg,"[287, 0, 475, 251]",0,0,0
ava_obj_3_323161.jpg,"[49, 12, 353, 417]",0,0,0
ava_obj_3_323161.jpg,"[313, 7, 617, 412]",1,1,0
ava_obj_3_323161.jpg,"[0, 67, 626, 419]",3,2,2
ava_obj_3_323161.jpg,"[41, 41, 541, 322]",2,3,3
ava_obj_3_323161.jpg,"[126, 0, 626, 281]",1,1,0
ava_obj_3_323161.jpg,"[205, 41, 580, 252]",0,0,0
ava_obj_3_323161.jpg,"[148, 100, 586, 346]",0,0,0
ava_obj_3_323161.jpg,"[178, 165, 553, 375]",0,0,0
