name,bbox,score,order_pre,order_final
ava_obj_1_932746.jpg,"[113, 112, 564, 563]",3,1,2
ava_obj_1_932746.jpg,"[224, 112, 562, 450]",1,2,0
ava_obj_1_932746.jpg,"[0, 236, 564, 800]",0,0,0
ava_obj_1_932746.jpg,"[184, 268, 522, 606]",0,0,0
ava_obj_1_932746.jpg,"[81, 23, 419, 361]",0,0,0
ava_obj_1_932746.jpg,"[102, 338, 440, 676]",0,0,0
ava_obj_1_932746.jpg,"[113, 112, 564, 450]",2,1,3
ava_obj_1_932746.jpg,"[0, 0, 564, 423]",1,2,0
ava_obj_1_932746.jpg,"[226, 168, 564, 421]",1,3,0
ava_obj_1_932746.jpg,"[0, 336, 564, 759]",0,0,0
ava_obj_1_932746.jpg,"[112, 224, 563, 562]",0,0,0
ava_obj_1_932746.jpg,"[179, 544, 517, 797]",0,0,0
ava_obj_1_932746.jpg,"[113, 112, 564, 713]",4,1,1
ava_obj_1_932746.jpg,"[226, 112, 564, 563]",1,2,0
ava_obj_1_932746.jpg,"[56, 0, 394, 451]",0,0,0
ava_obj_1_932746.jpg,"[186, 4, 524, 454]",0,0,0
ava_obj_1_932746.jpg,"[15, 258, 353, 708]",0,0,0
ava_obj_1_932746.jpg,"[25, 27, 476, 628]",0,0,0
ava_obj_1_932746.jpg,"[0, 112, 564, 429]",1,2,0
ava_obj_1_932746.jpg,"[226, 168, 564, 358]",1,1,0
ava_obj_1_932746.jpg,"[0, 0, 564, 317]",0,0,0
ava_obj_1_932746.jpg,"[0, 224, 564, 541]",0,0,0
ava_obj_1_932746.jpg,"[0, 168, 338, 358]",0,0,0
ava_obj_1_932746.jpg,"[58, 211, 396, 401]",0,0,0
ava_obj_0_498555.jpg,"[48, 96, 432, 480]",3,1,2
ava_obj_0_498555.jpg,"[288, 96, 672, 480]",0,0,0
ava_obj_0_498555.jpg,"[96, 0, 576, 480]",0,0,0
ava_obj_0_498555.jpg,"[96, 192, 384, 480]",1,3,0
ava_obj_0_498555.jpg,"[144, 144, 432, 432]",2,3,3
ava_obj_0_498555.jpg,"[274, 5, 706, 437]",0,0,0
ava_obj_0_498555.jpg,"[0, 96, 512, 480]",1,1,0
ava_obj_0_498555.jpg,"[144, 96, 656, 480]",4,2,1
ava_obj_0_498555.jpg,"[48, 144, 432, 432]",0,0,0
ava_obj_0_498555.jpg,"[288, 144, 672, 432]",0,0,0
ava_obj_0_498555.jpg,"[172, 58, 604, 382]",1,3,0
ava_obj_0_498555.jpg,"[92, 2, 524, 326]",0,0,0
ava_obj_0_498555.jpg,"[288, 96, 576, 480]",0,0,0
ava_obj_0_498555.jpg,"[48, 0, 408, 480]",0,0,0
ava_obj_0_498555.jpg,"[144, 96, 432, 480]",1,1,0
ava_obj_0_498555.jpg,"[360, 0, 720, 480]",0,0,0
ava_obj_0_498555.jpg,"[192, 0, 552, 480]",1,2,0
ava_obj_0_498555.jpg,"[283, 4, 632, 469]",0,0,0
ava_obj_0_498555.jpg,"[0, 75, 720, 480]",1,1,0
ava_obj_0_498555.jpg,"[0, 237, 432, 480]",0,0,0
ava_obj_0_498555.jpg,"[0, 48, 576, 372]",0,0,0
ava_obj_0_498555.jpg,"[288, 96, 720, 339]",0,0,0
ava_obj_0_498555.jpg,"[192, 144, 624, 387]",0,0,0
ava_obj_0_498555.jpg,"[136, 186, 568, 429]",1,2,0
ava_obj_3_902307.jpg,"[159, 53, 583, 477]",2,1,3
ava_obj_3_902307.jpg,"[265, 106, 583, 424]",0,0,0
ava_obj_3_902307.jpg,"[265, 0, 796, 531]",0,0,0
ava_obj_3_902307.jpg,"[7, 46, 487, 526]",0,0,0
ava_obj_3_902307.jpg,"[224, 1, 704, 481]",0,0,0
ava_obj_3_902307.jpg,"[65, 9, 545, 489]",3,2,2
ava_obj_3_902307.jpg,"[53, 107, 619, 531]",0,0,0
ava_obj_3_902307.jpg,"[159, 106, 583, 424]",4,2,1
ava_obj_3_902307.jpg,"[92, 0, 800, 531]",1,1,0
ava_obj_3_902307.jpg,"[53, 0, 619, 424]",0,0,0
ava_obj_3_902307.jpg,"[282, 76, 762, 436]",0,0,0
ava_obj_3_902307.jpg,"[206, 160, 686, 520]",0,0,0
ava_obj_3_902307.jpg,"[159, 0, 557, 531]",1,1,0
ava_obj_3_902307.jpg,"[265, 53, 583, 477]",0,0,0
ava_obj_3_902307.jpg,"[318, 106, 556, 424]",0,0,0
ava_obj_3_902307.jpg,"[106, 107, 424, 531]",0,0,0
ava_obj_3_902307.jpg,"[106, 106, 344, 424]",1,2,0
ava_obj_3_902307.jpg,"[389, 6, 777, 523]",0,0,0
ava_obj_3_902307.jpg,"[0, 53, 800, 503]",1,1,0
ava_obj_3_902307.jpg,"[106, 159, 586, 429]",1,2,0
ava_obj_3_902307.jpg,"[0, 159, 640, 519]",0,0,0
ava_obj_3_902307.jpg,"[91, 13, 571, 283]",0,0,0
ava_obj_3_902307.jpg,"[317, 27, 797, 297]",0,0,0
