name,bbox,score,order_pre,order_final
ava_obj_0_522335.jpg,"[0, 0, 475, 475]",3,1,2
ava_obj_0_522335.jpg,"[0, 165, 475, 640]",0,0,0
ava_obj_0_522335.jpg,"[0, 0, 285, 285]",0,0,0
ava_obj_0_522335.jpg,"[188, 94, 473, 379]",0,0,0
ava_obj_0_522335.jpg,"[12, 213, 344, 545]",0,0,0
ava_obj_0_522335.jpg,"[76, 0, 408, 332]",1,2,0
ava_obj_0_522335.jpg,"[0, 0, 475, 356]",2,2,3
ava_obj_0_522335.jpg,"[95, 94, 475, 379]",1,1,0
ava_obj_0_522335.jpg,"[0, 284, 475, 640]",0,0,0
ava_obj_0_522335.jpg,"[47, 0, 332, 213]",0,0,0
ava_obj_0_522335.jpg,"[0, 188, 475, 544]",0,0,0
ava_obj_0_522335.jpg,"[73, 92, 358, 305]",0,0,0
ava_obj_0_522335.jpg,"[0, 7, 475, 640]",4,2,1
ava_obj_0_522335.jpg,"[188, 94, 473, 474]",0,0,0
ava_obj_0_522335.jpg,"[188, 235, 473, 615]",0,0,0
ava_obj_0_522335.jpg,"[0, 0, 285, 380]",1,3,0
ava_obj_0_522335.jpg,"[7, 209, 292, 589]",0,0,0
ava_obj_0_522335.jpg,"[40, 68, 325, 448]",1,1,0
ava_obj_0_522335.jpg,"[0, 0, 475, 267]",0,0,0
ava_obj_0_522335.jpg,"[0, 94, 475, 361]",1,1,0
ava_obj_0_522335.jpg,"[0, 188, 475, 455]",0,0,0
ava_obj_0_522335.jpg,"[0, 373, 475, 640]",0,0,0
ava_obj_0_522335.jpg,"[165, 336, 450, 496]",0,0,0
ava_obj_0_522335.jpg,"[176, 105, 461, 265]",1,2,0
ava_obj_0_665148.jpg,"[54, 108, 486, 540]",1,1,0
ava_obj_0_665148.jpg,"[216, 270, 540, 593]",0,0,0
ava_obj_0_665148.jpg,"[108, 216, 540, 648]",1,2,0
ava_obj_0_665148.jpg,"[162, 0, 486, 323]",0,0,0
ava_obj_0_665148.jpg,"[52, 36, 430, 414]",0,0,0
ava_obj_0_665148.jpg,"[141, 51, 519, 429]",0,0,0
ava_obj_0_665148.jpg,"[108, 0, 540, 324]",0,0,0
ava_obj_0_665148.jpg,"[0, 108, 540, 513]",1,2,0
ava_obj_0_665148.jpg,"[108, 216, 540, 540]",1,1,0
ava_obj_0_665148.jpg,"[108, 324, 540, 648]",0,0,0
ava_obj_0_665148.jpg,"[82, 428, 460, 711]",0,0,0
ava_obj_0_665148.jpg,"[66, 159, 444, 442]",0,0,0
ava_obj_0_665148.jpg,"[216, 216, 540, 648]",1,2,0
ava_obj_0_665148.jpg,"[54, 0, 486, 576]",3,1,2
ava_obj_0_665148.jpg,"[216, 0, 540, 432]",0,0,0
ava_obj_0_665148.jpg,"[108, 0, 432, 432]",2,0,3
ava_obj_0_665148.jpg,"[0, 288, 324, 720]",0,0,0
ava_obj_0_665148.jpg,"[65, 182, 443, 686]",4,3,1
ava_obj_0_665148.jpg,"[0, 54, 540, 357]",1,2,0
ava_obj_0_665148.jpg,"[0, 216, 540, 519]",1,1,0
ava_obj_0_665148.jpg,"[108, 0, 540, 243]",0,0,0
ava_obj_0_665148.jpg,"[0, 324, 540, 627]",1,3,0
ava_obj_0_665148.jpg,"[151, 304, 475, 486]",0,0,0
ava_obj_0_665148.jpg,"[14, 272, 392, 484]",0,0,0
ava_obj_1_523678.jpg,"[96, 0, 576, 480]",0,0,0
ava_obj_1_523678.jpg,"[0, 48, 384, 432]",2,1,3
ava_obj_1_523678.jpg,"[48, 144, 336, 432]",1,3,0
ava_obj_1_523678.jpg,"[240, 0, 624, 384]",0,0,0
ava_obj_1_523678.jpg,"[217, 78, 601, 462]",0,0,0
ava_obj_1_523678.jpg,"[58, 93, 442, 477]",1,2,0
ava_obj_1_523678.jpg,"[0, 0, 640, 480]",4,1,1
ava_obj_1_523678.jpg,"[0, 144, 384, 432]",1,2,0
ava_obj_1_523678.jpg,"[256, 0, 640, 288]",0,0,0
ava_obj_1_523678.jpg,"[96, 96, 480, 384]",0,0,0
ava_obj_1_523678.jpg,"[52, 3, 500, 339]",0,0,0
ava_obj_1_523678.jpg,"[124, 190, 508, 478]",0,0,0
ava_obj_1_523678.jpg,"[0, 0, 360, 480]",3,2,2
ava_obj_1_523678.jpg,"[96, 96, 311, 384]",1,1,0
ava_obj_1_523678.jpg,"[96, 0, 456, 480]",0,0,0
ava_obj_1_523678.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_1_523678.jpg,"[192, 1, 537, 461]",0,0,0
ava_obj_1_523678.jpg,"[236, 12, 581, 472]",0,0,0
ava_obj_1_523678.jpg,"[0, 48, 640, 408]",1,3,0
ava_obj_1_523678.jpg,"[0, 144, 512, 432]",1,1,0
ava_obj_1_523678.jpg,"[0, 192, 384, 408]",0,0,0
ava_obj_1_523678.jpg,"[256, 0, 640, 216]",0,0,0
ava_obj_1_523678.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_1_523678.jpg,"[131, 107, 515, 323]",0,0,0
ava_obj_0_604112.jpg,"[0, 0, 480, 480]",3,1,2
ava_obj_0_604112.jpg,"[0, 144, 384, 528]",1,3,0
ava_obj_0_604112.jpg,"[96, 144, 384, 432]",1,2,0
ava_obj_0_604112.jpg,"[55, 327, 343, 615]",0,0,0
ava_obj_0_604112.jpg,"[98, 231, 434, 567]",0,0,0
ava_obj_0_604112.jpg,"[158, 330, 446, 618]",0,0,0
ava_obj_0_604112.jpg,"[0, 96, 480, 456]",2,3,3
ava_obj_0_604112.jpg,"[0, 0, 480, 360]",0,0,0
ava_obj_0_604112.jpg,"[48, 192, 432, 480]",1,1,0
ava_obj_0_604112.jpg,"[86, 118, 374, 334]",0,0,0
ava_obj_0_604112.jpg,"[136, 227, 424, 443]",0,0,0
ava_obj_0_604112.jpg,"[3, 197, 291, 413]",1,2,0
ava_obj_0_604112.jpg,"[0, 0, 480, 640]",4,2,1
ava_obj_0_604112.jpg,"[96, 144, 384, 528]",1,3,0
ava_obj_0_604112.jpg,"[144, 48, 432, 432]",1,4,0
ava_obj_0_604112.jpg,"[187, 1, 475, 385]",1,1,0
ava_obj_0_604112.jpg,"[7, 55, 295, 439]",0,0,0
ava_obj_0_604112.jpg,"[35, 120, 323, 504]",0,0,0
ava_obj_0_604112.jpg,"[0, 144, 480, 414]",1,2,0
ava_obj_0_604112.jpg,"[0, 48, 480, 318]",0,0,0
ava_obj_0_604112.jpg,"[48, 240, 432, 456]",0,0,0
ava_obj_0_604112.jpg,"[135, 133, 423, 295]",0,0,0
ava_obj_0_604112.jpg,"[70, 379, 454, 595]",0,0,0
ava_obj_0_604112.jpg,"[105, 169, 441, 358]",1,1,0
ava_obj_0_551201.jpg,"[0, 88, 444, 532]",3,1,2
ava_obj_0_551201.jpg,"[89, 0, 444, 355]",0,0,0
ava_obj_0_551201.jpg,"[132, 88, 398, 354]",1,2,0
ava_obj_0_551201.jpg,"[125, 166, 391, 432]",0,0,0
ava_obj_0_551201.jpg,"[22, 370, 288, 636]",0,0,0
ava_obj_0_551201.jpg,"[89, 283, 355, 549]",0,0,0
ava_obj_0_551201.jpg,"[0, 88, 444, 421]",1,2,0
ava_obj_0_551201.jpg,"[0, 0, 444, 333]",0,0,0
ava_obj_0_551201.jpg,"[0, 176, 444, 509]",1,1,0
ava_obj_0_551201.jpg,"[132, 132, 398, 331]",0,0,0
ava_obj_0_551201.jpg,"[0, 307, 444, 640]",0,0,0
ava_obj_0_551201.jpg,"[31, 191, 341, 423]",0,0,0
ava_obj_0_551201.jpg,"[0, 0, 444, 592]",4,1,1
ava_obj_0_551201.jpg,"[132, 88, 398, 443]",0,0,0
ava_obj_0_551201.jpg,"[178, 176, 444, 531]",0,0,0
ava_obj_0_551201.jpg,"[89, 167, 444, 640]",0,0,0
ava_obj_0_551201.jpg,"[13, 47, 323, 460]",2,2,3
ava_obj_0_551201.jpg,"[44, 177, 354, 590]",0,0,0
ava_obj_0_551201.jpg,"[0, 132, 444, 381]",1,1,0
ava_obj_0_551201.jpg,"[0, 308, 444, 557]",0,0,0
ava_obj_0_551201.jpg,"[0, 220, 444, 469]",0,0,0
ava_obj_0_551201.jpg,"[132, 176, 398, 325]",1,2,0
ava_obj_0_551201.jpg,"[88, 88, 443, 287]",0,0,0
ava_obj_0_551201.jpg,"[1, 271, 267, 420]",0,0,0
