name,bbox,score,order_pre,order_final
ava_obj_0_321996.jpg,"[210, 0, 465, 255]",0,0,0
ava_obj_0_321996.jpg,"[126, 0, 466, 340]",0,0,0
ava_obj_0_321996.jpg,"[126, 0, 381, 255]",0,0,0
ava_obj_0_321996.jpg,"[252, 0, 592, 340]",3,1,2
ava_obj_0_321996.jpg,"[7, 6, 391, 390]",0,0,0
ava_obj_0_321996.jpg,"[151, 33, 535, 417]",1,2,0
ava_obj_0_321996.jpg,"[126, 0, 466, 255]",0,0,0
ava_obj_0_321996.jpg,"[186, 0, 640, 340]",2,1,3
ava_obj_0_321996.jpg,"[0, 0, 454, 340]",0,0,0
ava_obj_0_321996.jpg,"[252, 42, 592, 297]",1,2,0
ava_obj_0_321996.jpg,"[300, 0, 640, 255]",0,0,0
ava_obj_0_321996.jpg,"[225, 123, 609, 411]",0,0,0
ava_obj_0_321996.jpg,"[210, 0, 465, 340]",1,2,0
ava_obj_0_321996.jpg,"[210, 0, 401, 255]",0,0,0
ava_obj_0_321996.jpg,"[126, 0, 381, 340]",0,0,0
ava_obj_0_321996.jpg,"[252, 42, 443, 297]",0,0,0
ava_obj_0_321996.jpg,"[290, 5, 601, 419]",1,1,0
ava_obj_0_321996.jpg,"[39, 6, 350, 420]",0,0,0
ava_obj_0_321996.jpg,"[84, 0, 468, 216]",0,0,0
ava_obj_0_321996.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_321996.jpg,"[0, 42, 384, 258]",0,0,0
ava_obj_0_321996.jpg,"[168, 42, 552, 258]",1,2,0
ava_obj_0_321996.jpg,"[128, 42, 640, 330]",4,1,1
ava_obj_0_321996.jpg,"[25, 136, 409, 352]",0,0,0
ava_obj_0_571970.jpg,"[228, 0, 640, 412]",0,0,0
ava_obj_0_571970.jpg,"[205, 83, 534, 412]",0,0,0
ava_obj_0_571970.jpg,"[82, 0, 494, 412]",1,1,0
ava_obj_0_571970.jpg,"[246, 123, 493, 370]",0,0,0
ava_obj_0_571970.jpg,"[0, 13, 384, 397]",0,0,0
ava_obj_0_571970.jpg,"[184, 1, 568, 385]",4,2,1
ava_obj_0_571970.jpg,"[201, 83, 640, 412]",3,2,2
ava_obj_0_571970.jpg,"[0, 0, 549, 412]",1,1,0
ava_obj_0_571970.jpg,"[205, 123, 534, 370]",0,0,0
ava_obj_0_571970.jpg,"[148, 10, 532, 298]",0,0,0
ava_obj_0_571970.jpg,"[32, 40, 416, 328]",0,0,0
ava_obj_0_571970.jpg,"[86, 123, 470, 411]",0,0,0
ava_obj_0_571970.jpg,"[205, 0, 514, 412]",1,1,0
ava_obj_0_571970.jpg,"[287, 0, 596, 412]",0,0,0
ava_obj_0_571970.jpg,"[123, 0, 432, 412]",1,2,0
ava_obj_0_571970.jpg,"[393, 83, 640, 412]",0,0,0
ava_obj_0_571970.jpg,"[43, 21, 322, 393]",0,0,0
ava_obj_0_571970.jpg,"[359, 0, 638, 372]",0,0,0
ava_obj_0_571970.jpg,"[123, 123, 635, 411]",2,1,3
ava_obj_0_571970.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_571970.jpg,"[256, 164, 640, 380]",1,2,0
ava_obj_0_571970.jpg,"[116, 1, 500, 217]",0,0,0
ava_obj_0_571970.jpg,"[8, 120, 392, 336]",0,0,0
ava_obj_0_571970.jpg,"[36, 70, 484, 322]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 480, 480]",0,0,0
ava_obj_0_5105.jpg,"[48, 0, 336, 288]",0,0,0
ava_obj_0_5105.jpg,"[256, 48, 640, 432]",0,0,0
ava_obj_0_5105.jpg,"[192, 0, 576, 384]",0,0,0
ava_obj_0_5105.jpg,"[116, 56, 500, 440]",1,1,0
ava_obj_0_5105.jpg,"[40, 31, 424, 415]",1,2,0
ava_obj_0_5105.jpg,"[0, 0, 640, 480]",4,1,1
ava_obj_0_5105.jpg,"[0, 0, 384, 288]",0,0,0
ava_obj_0_5105.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_5105.jpg,"[139, 121, 587, 457]",0,0,0
ava_obj_0_5105.jpg,"[100, 38, 484, 326]",1,2,0
ava_obj_0_5105.jpg,"[182, 70, 566, 358]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 360, 480]",1,1,0
ava_obj_0_5105.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_0_5105.jpg,"[96, 0, 456, 480]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 215, 288]",0,0,0
ava_obj_0_5105.jpg,"[192, 19, 537, 479]",0,0,0
ava_obj_0_5105.jpg,"[56, 16, 401, 476]",1,2,0
ava_obj_0_5105.jpg,"[0, 48, 640, 408]",3,1,2
ava_obj_0_5105.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 384, 216]",2,2,3
ava_obj_0_5105.jpg,"[83, 209, 531, 461]",0,0,0
ava_obj_0_5105.jpg,"[156, 25, 540, 241]",0,0,0
ava_obj_0_5105.jpg,"[52, 50, 436, 266]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 462, 462]",2,1,3
ava_obj_0_547664.jpg,"[0, 0, 277, 277]",1,2,0
ava_obj_0_547664.jpg,"[230, 0, 599, 369]",0,0,0
ava_obj_0_547664.jpg,"[276, 0, 553, 277]",0,0,0
ava_obj_0_547664.jpg,"[138, 0, 415, 277]",0,0,0
ava_obj_0_547664.jpg,"[120, 7, 568, 455]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 369, 277]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 492, 369]",1,2,0
ava_obj_0_547664.jpg,"[0, 93, 492, 462]",4,1,1
ava_obj_0_547664.jpg,"[271, 0, 640, 277]",0,0,0
ava_obj_0_547664.jpg,"[230, 46, 599, 323]",0,0,0
ava_obj_0_547664.jpg,"[106, 11, 618, 395]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 346, 462]",1,1,0
ava_obj_0_547664.jpg,"[276, 0, 553, 369]",0,0,0
ava_obj_0_547664.jpg,"[46, 0, 253, 277]",1,2,0
ava_obj_0_547664.jpg,"[184, 0, 461, 369]",0,0,0
ava_obj_0_547664.jpg,"[363, 0, 640, 369]",0,0,0
ava_obj_0_547664.jpg,"[89, 1, 434, 461]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 384, 216]",0,0,0
ava_obj_0_547664.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_547664.jpg,"[0, 138, 512, 426]",3,1,2
ava_obj_0_547664.jpg,"[256, 0, 640, 216]",0,0,0
ava_obj_0_547664.jpg,"[152, 206, 600, 458]",0,0,0
ava_obj_0_547664.jpg,"[136, 124, 584, 376]",1,2,0
ava_obj_0_525288.jpg,"[410, 0, 640, 230]",2,1,3
ava_obj_0_525288.jpg,"[0, 0, 307, 307]",0,0,0
ava_obj_0_525288.jpg,"[0, 38, 230, 268]",1,2,0
ava_obj_0_525288.jpg,"[333, 0, 640, 307]",0,0,0
ava_obj_0_525288.jpg,"[38, 0, 268, 230]",0,0,0
ava_obj_0_525288.jpg,"[226, 8, 571, 353]",0,0,0
ava_obj_0_525288.jpg,"[333, 0, 640, 230]",1,2,0
ava_obj_0_525288.jpg,"[231, 0, 640, 307]",0,0,0
ava_obj_0_525288.jpg,"[0, 0, 307, 230]",0,0,0
ava_obj_0_525288.jpg,"[0, 0, 409, 307]",0,0,0
ava_obj_0_525288.jpg,"[0, 76, 307, 306]",0,0,0
ava_obj_0_525288.jpg,"[80, 5, 528, 341]",3,1,2
ava_obj_0_525288.jpg,"[0, 0, 230, 307]",1,1,0
ava_obj_0_525288.jpg,"[410, 0, 640, 307]",0,0,0
ava_obj_0_525288.jpg,"[418, 0, 590, 230]",1,2,0
ava_obj_0_525288.jpg,"[0, 38, 172, 268]",0,0,0
ava_obj_0_525288.jpg,"[63, 4, 342, 376]",0,0,0
ava_obj_0_525288.jpg,"[276, 0, 555, 372]",0,0,0
ava_obj_0_525288.jpg,"[0, 0, 640, 360]",4,1,1
ava_obj_0_525288.jpg,"[256, 0, 640, 216]",0,0,0
ava_obj_0_525288.jpg,"[0, 38, 384, 254]",0,0,0
ava_obj_0_525288.jpg,"[233, 58, 617, 274]",0,0,0
ava_obj_0_525288.jpg,"[55, 126, 503, 378]",0,0,0
ava_obj_0_525288.jpg,"[164, 129, 548, 345]",1,2,0
