name,bbox,score,order_pre,order_final
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 375, 375]",4,2,1
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 225, 336]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 37, 225, 262]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[178, 53, 478, 353]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[89, 49, 389, 349]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[128, 4, 428, 304]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 75, 400, 375]",3,2,2
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 300, 336]",2,1,3
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[74, 148, 374, 373]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 300, 225]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[100, 74, 500, 374]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[87, 32, 437, 294]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 225, 300]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[37, 75, 262, 375]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 0, 168, 225]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[37, 37, 205, 262]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 168, 336]",1,2,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[125, 5, 395, 365]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 148, 400, 373]",1,1,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 37, 500, 318]",1,2,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 111, 300, 279]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[0, 185, 300, 353]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[100, 178, 400, 346]",0,0,0
k40k_obj_0_farm3_2124_2314380063_578f03fee9.jpg,"[193, 184, 493, 352]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[35, 0, 393, 358]",1,1,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[70, 144, 284, 358]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 72, 286, 358]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[35, 105, 249, 319]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[171, 29, 471, 329]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[112, 13, 412, 313]",1,2,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 0, 477, 358]",4,1,1
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 140, 286, 354]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[70, 144, 356, 358]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[35, 105, 321, 319]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[180, 36, 480, 261]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[55, 45, 405, 307]",1,2,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[35, 0, 303, 358]",2,1,3
coco_obj_2_COCO_train2014_000000038986.jpg,"[105, 0, 373, 358]",3,2,2
coco_obj_2_COCO_train2014_000000038986.jpg,"[70, 144, 231, 358]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[105, 105, 266, 319]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[242, 13, 485, 337]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[178, 16, 421, 340]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 133, 400, 358]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 140, 300, 308]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[0, 0, 500, 281]",1,1,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[100, 105, 500, 330]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[177, 142, 477, 310]",0,0,0
coco_obj_2_COCO_train2014_000000038986.jpg,"[12, 32, 312, 200]",1,2,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 0, 375, 375]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[37, 148, 262, 373]",1,2,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[111, 74, 411, 374]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[111, 150, 336, 375]",1,1,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[200, 37, 500, 337]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[138, 14, 438, 314]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 0, 500, 375]",4,2,1
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[37, 150, 337, 375]",1,1,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[200, 148, 500, 373]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[94, 0, 444, 262]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[51, 56, 351, 281]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[39, 0, 339, 225]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 0, 281, 375]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[111, 148, 279, 373]",1,2,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[111, 0, 392, 375]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[74, 75, 299, 375]",2,1,3
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[167, 0, 437, 360]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 94, 500, 375]",3,2,2
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 0, 500, 281]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[37, 185, 337, 353]",1,1,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[0, 148, 300, 316]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[18, 12, 318, 180]",0,0,0
k40k_obj_0_farm3_2858_10902181674_832ab03e40.jpg,"[74, 42, 374, 210]",0,0,0
ava_obj_2_784244.jpg,"[164, 0, 576, 412]",3,1,2
ava_obj_2_784244.jpg,"[123, 41, 452, 370]",0,0,0
ava_obj_2_784244.jpg,"[0, 0, 412, 412]",0,0,0
ava_obj_2_784244.jpg,"[205, 0, 452, 247]",0,0,0
