name,bbox,score,order_pre,order_final
ava_obj_0_662622.jpg,"[160, 0, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[144, 192, 432, 480]",1,2,0
ava_obj_0_662622.jpg,"[240, 192, 528, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 96, 432, 480]",3,1,2
ava_obj_0_662622.jpg,"[144, 0, 528, 384]",0,0,0
ava_obj_0_662622.jpg,"[31, 8, 415, 392]",0,0,0
ava_obj_0_662622.jpg,"[128, 96, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[256, 192, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[240, 0, 624, 288]",2,2,3
ava_obj_0_662622.jpg,"[48, 192, 432, 480]",1,1,0
ava_obj_0_662622.jpg,"[192, 144, 576, 432]",0,0,0
ava_obj_0_662622.jpg,"[73, 6, 585, 390]",0,0,0
ava_obj_0_662622.jpg,"[240, 0, 600, 480]",0,0,0
ava_obj_0_662622.jpg,"[96, 0, 456, 480]",4,1,1
ava_obj_0_662622.jpg,"[336, 0, 624, 384]",1,2,0
ava_obj_0_662622.jpg,"[0, 0, 360, 480]",0,0,0
ava_obj_0_662622.jpg,"[176, 6, 521, 466]",0,0,0
ava_obj_0_662622.jpg,"[57, 6, 402, 466]",0,0,0
ava_obj_0_662622.jpg,"[48, 192, 560, 480]",0,0,0
ava_obj_0_662622.jpg,"[128, 0, 640, 288]",1,3,0
ava_obj_0_662622.jpg,"[192, 264, 576, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 264, 432, 480]",0,0,0
ava_obj_0_662622.jpg,"[240, 0, 624, 216]",1,2,0
ava_obj_0_662622.jpg,"[128, 221, 512, 437]",1,1,0
ava_obj_0_545928.jpg,"[235, 0, 618, 383]",3,2,2
ava_obj_0_545928.jpg,"[282, 47, 569, 334]",0,0,0
ava_obj_0_545928.jpg,"[235, 94, 522, 381]",0,0,0
ava_obj_0_545928.jpg,"[235, 96, 618, 479]",1,1,0
ava_obj_0_545928.jpg,"[120, 8, 504, 392]",0,0,0
ava_obj_0_545928.jpg,"[1, 76, 385, 460]",0,0,0
ava_obj_0_545928.jpg,"[2, 0, 640, 479]",1,2,0
ava_obj_0_545928.jpg,"[141, 47, 524, 334]",0,0,0
ava_obj_0_545928.jpg,"[235, 94, 618, 381]",2,1,3
ava_obj_0_545928.jpg,"[113, 167, 497, 455]",0,0,0
ava_obj_0_545928.jpg,"[44, 13, 428, 301]",0,0,0
ava_obj_0_545928.jpg,"[68, 77, 516, 413]",0,0,0
ava_obj_0_545928.jpg,"[235, 0, 522, 383]",0,0,0
ava_obj_0_545928.jpg,"[329, 0, 616, 383]",4,2,1
ava_obj_0_545928.jpg,"[329, 47, 544, 334]",0,0,0
ava_obj_0_545928.jpg,"[282, 96, 569, 479]",1,1,0
ava_obj_0_545928.jpg,"[83, 2, 428, 462]",0,0,0
ava_obj_0_545928.jpg,"[162, 16, 507, 476]",0,0,0
ava_obj_0_545928.jpg,"[47, 47, 559, 335]",1,2,0
ava_obj_0_545928.jpg,"[0, 94, 640, 454]",1,1,0
ava_obj_0_545928.jpg,"[141, 94, 525, 310]",0,0,0
ava_obj_0_545928.jpg,"[76, 156, 460, 372]",0,0,0
ava_obj_0_545928.jpg,"[86, 178, 534, 430]",0,0,0
ava_obj_0_545928.jpg,"[64, 7, 512, 259]",0,0,0
ava_obj_0_558485.jpg,"[0, 0, 341, 341]",0,0,0
ava_obj_0_558485.jpg,"[0, 213, 427, 640]",0,0,0
ava_obj_0_558485.jpg,"[42, 0, 298, 256]",1,1,0
ava_obj_0_558485.jpg,"[0, 84, 427, 511]",4,2,1
ava_obj_0_558485.jpg,"[8, 117, 264, 373]",0,0,0
ava_obj_0_558485.jpg,"[30, 316, 286, 572]",0,0,0
ava_obj_0_558485.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_0_558485.jpg,"[42, 0, 298, 192]",1,2,0
ava_obj_0_558485.jpg,"[0, 320, 427, 640]",1,1,0
ava_obj_0_558485.jpg,"[0, 84, 341, 340]",0,0,0
ava_obj_0_558485.jpg,"[42, 210, 383, 466]",0,0,0
ava_obj_0_558485.jpg,"[71, 410, 327, 602]",0,0,0
ava_obj_0_558485.jpg,"[0, 0, 341, 455]",0,0,0
ava_obj_0_558485.jpg,"[42, 0, 298, 341]",1,2,0
ava_obj_0_558485.jpg,"[42, 185, 383, 640]",3,1,2
ava_obj_0_558485.jpg,"[126, 0, 382, 341]",0,0,0
ava_obj_0_558485.jpg,"[73, 88, 329, 429]",0,0,0
ava_obj_0_558485.jpg,"[22, 148, 320, 545]",0,0,0
ava_obj_0_558485.jpg,"[0, 0, 427, 240]",2,1,3
ava_obj_0_558485.jpg,"[0, 378, 427, 618]",0,0,0
ava_obj_0_558485.jpg,"[0, 84, 427, 324]",0,0,0
ava_obj_0_558485.jpg,"[86, 448, 427, 640]",0,0,0
ava_obj_0_558485.jpg,"[42, 294, 383, 486]",1,2,0
ava_obj_0_558485.jpg,"[165, 0, 421, 144]",0,0,0
ava_obj_0_2757.jpg,"[160, 0, 640, 480]",0,0,0
