name,bbox,score,order_pre,order_final
ava_obj_3_869620.jpg,"[0, 0, 450, 450]",1,1,0
ava_obj_3_869620.jpg,"[0, 350, 450, 800]",1,2,0
ava_obj_3_869620.jpg,"[90, 45, 360, 315]",0,0,0
ava_obj_3_869620.jpg,"[45, 0, 315, 270]",1,3,0
ava_obj_3_869620.jpg,"[94, 490, 364, 760]",0,0,0
ava_obj_3_869620.jpg,"[49, 428, 319, 698]",0,0,0
ava_obj_3_869620.jpg,"[0, 463, 450, 800]",0,0,0
ava_obj_3_869620.jpg,"[0, 0, 450, 337]",4,1,1
ava_obj_3_869620.jpg,"[45, 585, 315, 787]",0,0,0
ava_obj_3_869620.jpg,"[0, 315, 450, 652]",1,2,0
ava_obj_3_869620.jpg,"[20, 252, 290, 454]",0,0,0
ava_obj_3_869620.jpg,"[75, 237, 390, 473]",0,0,0
ava_obj_3_869620.jpg,"[0, 0, 360, 480]",3,1,2
ava_obj_3_869620.jpg,"[45, 0, 315, 359]",2,2,3
ava_obj_3_869620.jpg,"[0, 200, 450, 800]",1,3,0
ava_obj_3_869620.jpg,"[135, 441, 405, 800]",0,0,0
ava_obj_3_869620.jpg,"[45, 441, 315, 800]",0,0,0
ava_obj_3_869620.jpg,"[118, 275, 433, 695]",0,0,0
ava_obj_3_869620.jpg,"[0, 540, 450, 793]",0,0,0
ava_obj_3_869620.jpg,"[0, 45, 450, 298]",1,1,0
ava_obj_3_869620.jpg,"[0, 0, 360, 202]",1,2,0
ava_obj_3_869620.jpg,"[53, 281, 413, 483]",0,0,0
ava_obj_3_869620.jpg,"[176, 302, 446, 453]",0,0,0
ava_obj_3_869620.jpg,"[110, 414, 380, 565]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 0, 375, 375]",1,1,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[111, 0, 486, 375]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[37, 0, 262, 225]",1,2,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[111, 0, 336, 225]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[198, 35, 498, 335]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[98, 38, 398, 338]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 0, 300, 225]",1,2,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 0, 500, 375]",1,3,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 74, 300, 299]",3,1,2
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[148, 0, 448, 225]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[63, 12, 363, 237]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[93, 97, 443, 359]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[148, 0, 316, 225]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 0, 281, 375]",4,1,1
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[111, 0, 336, 300]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[219, 0, 500, 375]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 0, 168, 225]",1,2,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[152, 2, 422, 362]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[74, 0, 474, 225]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 37, 500, 318]",2,1,3
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[0, 37, 300, 205]",1,2,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[37, 74, 337, 242]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[22, 163, 322, 331]",0,0,0
k40k_obj_0_farm5_4041_4269060608_0ae9ee1c1e.jpg,"[129, 155, 429, 323]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 300, 300]",1,1,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[74, 0, 449, 375]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[37, 0, 262, 225]",3,2,2
coco_obj_2_COCO_train2014_000000581009.jpg,"[2, 74, 302, 374]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[186, 53, 486, 353]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[55, 44, 355, 344]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 400, 300]",4,1,1
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 300, 225]",1,2,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[37, 74, 337, 299]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[74, 37, 374, 262]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[146, 121, 446, 346]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[104, 90, 404, 315]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 281, 375]",1,1,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[74, 0, 355, 375]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[37, 0, 205, 225]",1,2,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[148, 0, 429, 375]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[222, 9, 492, 369]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[119, 5, 389, 365]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 37, 500, 318]",2,2,3
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 300, 168]",1,3,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[0, 0, 400, 225]",1,1,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[74, 37, 374, 205]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[111, 0, 411, 168]",0,0,0
coco_obj_2_COCO_train2014_000000581009.jpg,"[59, 139, 459, 364]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[84, 0, 508, 424]",1,1,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[42, 85, 381, 424]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[210, 42, 549, 381]",1,3,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[210, 126, 464, 380]",1,2,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[28, 5, 412, 389]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[252, 33, 636, 417]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[75, 0, 640, 424]",4,1,1
coco_obj_2_COCO_train2014_000000127945.jpg,"[0, 85, 452, 424]",1,3,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[42, 84, 381, 338]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[126, 126, 465, 380]",3,2,2
coco_obj_2_COCO_train2014_000000127945.jpg,"[203, 6, 587, 294]",1,5,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[159, 68, 543, 356]",1,4,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[168, 0, 486, 424]",2,3,3
coco_obj_2_COCO_train2014_000000127945.jpg,"[42, 0, 360, 424]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[252, 85, 506, 424]",1,2,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[252, 126, 442, 380]",1,1,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[126, 85, 380, 424]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[317, 5, 628, 419]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[0, 42, 640, 402]",1,3,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[0, 0, 512, 288]",1,2,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[84, 136, 596, 424]",1,4,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[42, 84, 426, 300]",1,5,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[168, 208, 552, 424]",0,0,0
coco_obj_2_COCO_train2014_000000127945.jpg,"[149, 137, 533, 353]",1,1,0
ava_obj_0_583148.jpg,"[0, 77, 560, 637]",3,2,2
ava_obj_0_583148.jpg,"[224, 301, 560, 637]",1,3,0
ava_obj_0_583148.jpg,"[0, 56, 448, 504]",0,0,0
ava_obj_0_583148.jpg,"[112, 301, 448, 637]",2,1,3
ava_obj_0_583148.jpg,"[117, 29, 453, 365]",0,0,0
ava_obj_0_583148.jpg,"[201, 68, 537, 404]",0,0,0
ava_obj_0_583148.jpg,"[0, 217, 560, 637]",1,2,0
ava_obj_0_583148.jpg,"[168, 385, 504, 637]",1,1,0
ava_obj_0_583148.jpg,"[224, 336, 560, 588]",0,0,0
ava_obj_0_583148.jpg,"[6, 311, 398, 605]",0,0,0
ava_obj_0_583148.jpg,"[160, 7, 496, 259]",0,0,0
ava_obj_0_583148.jpg,"[100, 218, 436, 470]",0,0,0
ava_obj_0_583148.jpg,"[83, 0, 560, 637]",1,1,0
ava_obj_0_583148.jpg,"[56, 128, 438, 637]",4,2,1
ava_obj_0_583148.jpg,"[274, 255, 560, 637]",1,3,0
ava_obj_0_583148.jpg,"[0, 0, 382, 509]",0,0,0
ava_obj_0_583148.jpg,"[206, 134, 542, 582]",0,0,0
ava_obj_0_583148.jpg,"[168, 57, 504, 505]",0,0,0
