name,bbox,score,order_pre,order_final
ava_obj_0_557958.jpg,"[0, 103, 411, 514]",0,0,0
ava_obj_0_557958.jpg,"[153, 102, 564, 513]",1,3,0
ava_obj_0_557958.jpg,"[51, 0, 462, 411]",1,4,0
ava_obj_0_557958.jpg,"[153, 102, 461, 410]",0,0,0
ava_obj_0_557958.jpg,"[260, 60, 692, 492]",1,1,0
ava_obj_0_557958.jpg,"[188, 10, 620, 442]",1,2,0
ava_obj_0_557958.jpg,"[0, 102, 548, 513]",0,0,0
ava_obj_0_557958.jpg,"[153, 102, 564, 410]",0,0,0
ava_obj_0_557958.jpg,"[153, 51, 701, 462]",1,2,0
ava_obj_0_557958.jpg,"[51, 51, 462, 359]",1,1,0
ava_obj_0_557958.jpg,"[184, 153, 616, 477]",0,0,0
ava_obj_0_557958.jpg,"[213, 29, 645, 353]",4,3,1
ava_obj_0_557958.jpg,"[0, 0, 385, 514]",1,2,0
ava_obj_0_557958.jpg,"[204, 103, 512, 514]",0,0,0
ava_obj_0_557958.jpg,"[102, 0, 487, 514]",1,1,0
ava_obj_0_557958.jpg,"[231, 0, 580, 465]",0,0,0
ava_obj_0_557958.jpg,"[359, 8, 708, 473]",0,0,0
ava_obj_0_557958.jpg,"[290, 40, 639, 505]",0,0,0
ava_obj_0_557958.jpg,"[0, 102, 576, 426]",0,0,0
ava_obj_0_557958.jpg,"[0, 0, 576, 324]",3,2,2
ava_obj_0_557958.jpg,"[102, 102, 534, 345]",0,0,0
ava_obj_0_557958.jpg,"[102, 153, 678, 477]",0,0,0
ava_obj_0_557958.jpg,"[144, 51, 720, 375]",2,1,3
ava_obj_0_557958.jpg,"[60, 228, 564, 511]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 480, 480]",2,2,3
ava_obj_0_5105.jpg,"[48, 0, 336, 288]",0,0,0
ava_obj_0_5105.jpg,"[256, 48, 640, 432]",0,0,0
ava_obj_0_5105.jpg,"[192, 0, 576, 384]",0,0,0
ava_obj_0_5105.jpg,"[116, 56, 500, 440]",1,1,0
ava_obj_0_5105.jpg,"[40, 31, 424, 415]",0,0,0
