name,bbox,score,order_pre,order_final
ava_obj_0_664987.jpg,"[0, 42, 341, 383]",1,2,0
ava_obj_0_664987.jpg,"[299, 42, 640, 383]",1,4,0
ava_obj_0_664987.jpg,"[378, 126, 634, 382]",0,0,0
ava_obj_0_664987.jpg,"[0, 126, 256, 382]",1,3,0
ava_obj_0_664987.jpg,"[0, 42, 256, 298]",0,0,0
ava_obj_0_664987.jpg,"[183, 22, 567, 406]",1,1,0
ava_obj_0_664987.jpg,"[0, 42, 455, 383]",3,4,2
ava_obj_0_664987.jpg,"[0, 126, 341, 382]",4,1,1
ava_obj_0_664987.jpg,"[0, 42, 341, 298]",1,2,0
ava_obj_0_664987.jpg,"[185, 42, 640, 383]",1,3,0
ava_obj_0_664987.jpg,"[294, 126, 635, 382]",0,0,0
ava_obj_0_664987.jpg,"[154, 17, 538, 305]",0,0,0
ava_obj_0_664987.jpg,"[378, 42, 634, 383]",1,1,0
ava_obj_0_664987.jpg,"[294, 42, 550, 383]",1,2,0
ava_obj_0_664987.jpg,"[0, 126, 192, 382]",0,0,0
ava_obj_0_664987.jpg,"[0, 42, 256, 383]",0,0,0
ava_obj_0_664987.jpg,"[378, 126, 570, 382]",0,0,0
ava_obj_0_664987.jpg,"[162, 12, 473, 426]",1,3,0
ava_obj_0_664987.jpg,"[0, 42, 640, 402]",2,1,3
ava_obj_0_664987.jpg,"[0, 126, 384, 342]",0,0,0
ava_obj_0_664987.jpg,"[0, 139, 512, 427]",0,0,0
ava_obj_0_664987.jpg,"[0, 0, 512, 288]",1,2,0
ava_obj_0_664987.jpg,"[13, 42, 397, 258]",0,0,0
ava_obj_0_664987.jpg,"[179, 8, 627, 260]",0,0,0
ava_obj_0_652782.jpg,"[0, 48, 384, 432]",0,0,0
ava_obj_0_652782.jpg,"[0, 48, 288, 336]",0,0,0
ava_obj_0_652782.jpg,"[0, 240, 384, 624]",3,1,2
ava_obj_0_652782.jpg,"[96, 48, 384, 336]",0,0,0
ava_obj_0_652782.jpg,"[0, 240, 288, 528]",0,0,0
ava_obj_0_652782.jpg,"[67, 249, 355, 537]",1,2,0
ava_obj_0_652782.jpg,"[0, 48, 384, 336]",0,0,0
ava_obj_0_652782.jpg,"[0, 240, 384, 528]",1,1,0
ava_obj_0_652782.jpg,"[0, 48, 288, 264]",0,0,0
ava_obj_0_652782.jpg,"[96, 48, 384, 264]",0,0,0
ava_obj_0_652782.jpg,"[38, 224, 326, 440]",1,3,0
ava_obj_0_652782.jpg,"[23, 315, 311, 531]",1,2,0
ava_obj_0_652782.jpg,"[0, 0, 384, 512]",1,2,0
ava_obj_0_652782.jpg,"[0, 48, 288, 432]",0,0,0
ava_obj_0_652782.jpg,"[96, 48, 384, 432]",0,0,0
ava_obj_0_652782.jpg,"[0, 240, 288, 624]",2,1,3
ava_obj_0_652782.jpg,"[176, 134, 464, 518]",0,0,0
ava_obj_0_652782.jpg,"[78, 97, 462, 609]",4,3,1
ava_obj_0_652782.jpg,"[0, 48, 384, 264]",0,0,0
ava_obj_0_652782.jpg,"[0, 192, 480, 462]",1,1,0
ava_obj_0_652782.jpg,"[0, 48, 288, 210]",0,0,0
ava_obj_0_652782.jpg,"[96, 48, 384, 210]",0,0,0
ava_obj_0_652782.jpg,"[40, 423, 376, 612]",1,2,0
ava_obj_0_652782.jpg,"[70, 512, 358, 674]",0,0,0
ava_obj_0_1781.jpg,"[160, 0, 640, 480]",1,2,0
ava_obj_0_1781.jpg,"[336, 0, 624, 288]",1,1,0
ava_obj_0_1781.jpg,"[352, 96, 640, 384]",0,0,0
ava_obj_0_1781.jpg,"[77, 55, 461, 439]",0,0,0
ava_obj_0_1781.jpg,"[15, 7, 399, 391]",0,0,0
ava_obj_0_1781.jpg,"[191, 13, 575, 397]",0,0,0
ava_obj_0_1781.jpg,"[0, 0, 640, 480]",4,1,1
ava_obj_0_1781.jpg,"[256, 48, 640, 336]",2,2,3
ava_obj_0_1781.jpg,"[240, 144, 624, 432]",0,0,0
ava_obj_0_1781.jpg,"[19, 177, 403, 465]",0,0,0
ava_obj_0_1781.jpg,"[44, 75, 428, 363]",0,0,0
ava_obj_0_1781.jpg,"[165, 62, 549, 350]",0,0,0
ava_obj_0_1781.jpg,"[280, 0, 640, 480]",1,3,0
ava_obj_0_1781.jpg,"[425, 48, 640, 336]",1,2,0
ava_obj_0_1781.jpg,"[384, 0, 599, 288]",1,1,0
ava_obj_0_1781.jpg,"[160, 5, 505, 465]",0,0,0
ava_obj_0_1781.jpg,"[57, 14, 402, 474]",0,0,0
ava_obj_0_1781.jpg,"[226, 18, 571, 478]",0,0,0
ava_obj_0_1781.jpg,"[0, 0, 640, 360]",3,1,2
ava_obj_0_1781.jpg,"[0, 96, 640, 456]",1,2,0
ava_obj_0_1781.jpg,"[256, 96, 640, 312]",0,0,0
ava_obj_0_1781.jpg,"[128, 192, 640, 480]",0,0,0
ava_obj_0_1781.jpg,"[240, 144, 624, 360]",0,0,0
ava_obj_0_1781.jpg,"[162, 52, 546, 268]",0,0,0
ava_obj_0_532015.jpg,"[336, 0, 592, 256]",0,0,0
ava_obj_0_532015.jpg,"[294, 0, 636, 342]",0,0,0
ava_obj_0_532015.jpg,"[252, 0, 508, 256]",0,0,0
ava_obj_0_532015.jpg,"[84, 0, 512, 428]",1,2,0
ava_obj_0_532015.jpg,"[378, 42, 634, 298]",0,0,0
ava_obj_0_532015.jpg,"[21, 4, 405, 388]",1,1,0
ava_obj_0_532015.jpg,"[294, 0, 636, 256]",0,0,0
ava_obj_0_532015.jpg,"[42, 0, 612, 428]",3,3,2
ava_obj_0_532015.jpg,"[184, 0, 640, 342]",0,0,0
ava_obj_0_532015.jpg,"[0, 0, 456, 342]",2,1,3
ava_obj_0_532015.jpg,"[184, 86, 640, 428]",0,0,0
ava_obj_0_532015.jpg,"[33, 85, 481, 421]",4,2,1
ava_obj_0_532015.jpg,"[319, 0, 640, 428]",0,0,0
