name,bbox,score,order_pre,order_final
ava_obj_0_806937.jpg,"[0, 172, 434, 606]",4,1,1
ava_obj_0_806937.jpg,"[0, 293, 347, 640]",1,2,0
ava_obj_0_806937.jpg,"[0, 0, 434, 434]",2,3,3
ava_obj_0_806937.jpg,"[86, 301, 346, 561]",0,0,0
ava_obj_0_806937.jpg,"[138, 156, 398, 416]",0,0,0
ava_obj_0_806937.jpg,"[29, 341, 289, 601]",0,0,0
ava_obj_0_806937.jpg,"[0, 301, 434, 626]",1,2,0
ava_obj_0_806937.jpg,"[0, 215, 434, 540]",0,0,0
ava_obj_0_806937.jpg,"[0, 43, 434, 368]",1,1,0
ava_obj_0_806937.jpg,"[0, 129, 347, 389]",0,0,0
ava_obj_0_806937.jpg,"[84, 262, 387, 489]",0,0,0
ava_obj_0_806937.jpg,"[103, 405, 363, 600]",1,3,0
ava_obj_0_806937.jpg,"[0, 172, 347, 634]",3,2,2
ava_obj_0_806937.jpg,"[87, 172, 434, 634]",0,0,0
ava_obj_0_806937.jpg,"[86, 293, 346, 640]",0,0,0
ava_obj_0_806937.jpg,"[0, 0, 260, 347]",0,0,0
ava_obj_0_806937.jpg,"[0, 0, 347, 462]",1,2,0
ava_obj_0_806937.jpg,"[85, 24, 388, 428]",0,0,0
ava_obj_0_806937.jpg,"[0, 86, 434, 330]",1,1,0
ava_obj_0_806937.jpg,"[0, 301, 434, 545]",1,2,0
ava_obj_0_806937.jpg,"[0, 215, 434, 459]",0,0,0
ava_obj_0_806937.jpg,"[0, 396, 434, 640]",1,3,0
ava_obj_0_806937.jpg,"[43, 43, 390, 238]",0,0,0
ava_obj_0_806937.jpg,"[61, 210, 321, 356]",0,0,0
ava_obj_0_815969.jpg,"[42, 0, 298, 256]",0,0,0
ava_obj_0_815969.jpg,"[252, 0, 508, 256]",1,1,0
ava_obj_0_815969.jpg,"[168, 0, 424, 256]",0,0,0
ava_obj_0_815969.jpg,"[336, 0, 592, 256]",1,2,0
ava_obj_0_815969.jpg,"[0, 0, 341, 341]",0,0,0
ava_obj_0_815969.jpg,"[46, 8, 430, 392]",1,3,0
ava_obj_0_815969.jpg,"[0, 0, 341, 256]",0,0,0
ava_obj_0_815969.jpg,"[0, 0, 455, 341]",0,0,0
ava_obj_0_815969.jpg,"[210, 0, 551, 256]",3,2,2
ava_obj_0_815969.jpg,"[84, 42, 425, 298]",0,0,0
ava_obj_0_815969.jpg,"[168, 0, 623, 341]",4,1,1
ava_obj_0_815969.jpg,"[21, 137, 405, 425]",0,0,0
ava_obj_0_815969.jpg,"[336, 0, 528, 256]",0,0,0
ava_obj_0_815969.jpg,"[320, 0, 640, 427]",1,1,0
ava_obj_0_815969.jpg,"[252, 0, 444, 256]",1,2,0
ava_obj_0_815969.jpg,"[252, 0, 508, 341]",1,3,0
ava_obj_0_815969.jpg,"[42, 0, 234, 256]",0,0,0
ava_obj_0_815969.jpg,"[21, 8, 332, 422]",0,0,0
ava_obj_0_815969.jpg,"[0, 42, 384, 258]",0,0,0
ava_obj_0_815969.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_815969.jpg,"[210, 0, 594, 216]",1,2,0
ava_obj_0_815969.jpg,"[126, 84, 510, 300]",1,3,0
ava_obj_0_815969.jpg,"[168, 42, 552, 258]",2,1,3
ava_obj_0_815969.jpg,"[16, 93, 528, 381]",0,0,0
ava_obj_0_740175.jpg,"[0, 42, 341, 383]",1,3,0
ava_obj_0_740175.jpg,"[86, 42, 427, 383]",0,0,0
ava_obj_0_740175.jpg,"[86, 168, 427, 509]",0,0,0
ava_obj_0_740175.jpg,"[0, 210, 427, 637]",2,1,3
ava_obj_0_740175.jpg,"[124, 287, 422, 585]",1,2,0
ava_obj_0_740175.jpg,"[129, 130, 385, 386]",0,0,0
ava_obj_0_740175.jpg,"[0, 42, 427, 362]",1,2,0
ava_obj_0_740175.jpg,"[0, 126, 427, 446]",0,0,0
ava_obj_0_740175.jpg,"[42, 0, 383, 256]",0,0,0
ava_obj_0_740175.jpg,"[0, 210, 427, 530]",1,1,0
ava_obj_0_740175.jpg,"[102, 395, 400, 618]",0,0,0
ava_obj_0_740175.jpg,"[70, 242, 326, 434]",0,0,0
ava_obj_0_740175.jpg,"[0, 71, 427, 640]",3,2,2
ava_obj_0_740175.jpg,"[0, 42, 341, 497]",0,0,0
ava_obj_0_740175.jpg,"[84, 0, 340, 341]",0,0,0
